state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
AR,Terri Yarbrough Green,false,false,Democratic,U.S. House,1,White,Female,,,https://www.facebook.com/people/Terri-Yarbrough-Green-for-Congress/61585254656309/,,,,,"campaign website link found on ballotpedia looks to be owned by someone else entirely, and doesnt feel safe at all, so I am not going to include it"
AR,Rick Crawford,true,false,Republican,U.S. House,1,White,Male,,,,,,,,
AR,Chris Jones,false,false,Democratic,U.S. House,2,Black,Male,https://chrisjonesforcongress.com/,https://chrisjonesforcongress.com/x/,https://chrisjonesforcongress.com/facebook/,https://chrisjonesforcongress.com/instagram/,https://chrisjonesforcongress.com/youtube/,https://www.tiktok.com/@jonesforar?lang=en,https://bsky.app/profile/did:plc:fzfi67lrwsei5xcpfr73jc3p,
AR,Zack Huffman,false,false,Democratic,U.S. House,2,White,Male,https://huffmanforthehouse.com/,,https://www.facebook.com/people/Huffman-For-The-House/61579901583479/,https://www.instagram.com/zackforar/,,https://www.tiktok.com/@HUFFMANFORTHEHOUSE,,
AR,French Hill,true,false,Republican,U.S. House,2,White,Male,,,,,,,,
AR,Chase McDowell,false,false,Republican,U.S. House,2,White,Male,https://www.mcdowellforarkansas.com/,,https://www.facebook.com/McDowellforArkansas/,,,,,"has a twitter, but hasnt been used in years, and no campaign use"
AR,Robb Ryerse,false,false,Democratic,U.S. House,3,White,Male,https://www.robbforcongress.com/,https://x.com/RobbRyerse,https://www.facebook.com/robbforarkansas,https://www.instagram.com/robbryerse,https://www.youtube.com/@RobbforCongress,,https://bsky.app/profile/robbryerse.bsky.social,
AR,Steve Womack,true,false,Republican,U.S. House,3,White,Male,,,,,,,,
AR,Steven Layne O'Donnell,false,false,Democratic,U.S. House,4,White,Male,https://steveo4congress.com/,https://steveo4congress.com/#,,https://steveo4congress.com/#,,,,"the two sites listed for twitter and instagram dont exist, the links on the campaign website direct you right back to the campaign website"
AR,"James ""Rus"" Russell, III",false,false,Democratic,U.S. House,4,White,Male,https://russellforar.com/,https://www.x.com/@JamesRussell3rd,https://www.facebook.com/JamesRussell3rd,https://www.instagram.com/russellforar/,https://www.youtube.com/@RussellForAR,https://www.tiktok.com/@russellforarkansas?lang=en,,
AR,Bruce Westerman,true,false,Republican,U.S. House,4,White,Male,,,,,,,,
AR,Hallie Shoffner,false,false,Democratic,U.S. Senate,,White,Female,https://www.hallieshoffner.com/,https://x.com/hallieshoffner,https://www.facebook.com/farmherhallie,https://www.instagram.com/hallieshoffner/,,https://www.tiktok.com/@hallieshoffner,https://bsky.app/profile/hallieshoffner.bsky.social,
AR,Ethan N. Dunbar,false,false,Democratic,U.S. Senate,,Black,Male,https://ethanforarkansas.com/,https://x.com/EthanForAR,https://www.facebook.com/p/Ethan-for-Arkansas-61579951440881/,https://www.instagram.com/ethanforarkansas/,,https://www.tiktok.com/@ethanforarkansas,,
AR,Tom Cotton,true,false,Republican,U.S. Senate,,White,Male,,,,,,,,
AR,Micah Ashby,false,false,Republican,U.S. Senate,,White,Female,https://www.ashbyforussenate.com/,https://x.com/Micah4USSenate,https://www.facebook.com/profile.php?id=61581167725197,https://www.instagram.com/micahforussenate/,https://www.youtube.com/@MicahAshbyforUSSenate,https://www.tiktok.com/@micahashbyforussenate,,
AR,Jeb Little,false,false,Republican,U.S. Senate,,White,Male,https://jeblittleforsenate.com/,https://x.com/JebLittleforAR,https://www.facebook.com/profile.php?id=61583979325342,https://www.instagram.com/jeblittleforsenate2026/,,,,
IL,Kevin Ryan,false,false,Democratic,U.S. Senate,,,Male,https://www.runwithkev.com/,https://x.com/KevforIllinois,,https://www.instagram.com/kevryanforil/,https://www.youtube.com/@KevinRyanForIllinois,,https://bsky.app/profile/kevryanforillinois.bsky.social,
IL,Robin Kelly,false,false,Democratic,U.S. Senate,,,Female,https://www.robinforsenate.com/,https://x.com/robinlynnekelly,https://www.facebook.com/RobinLynneKelly,https://www.instagram.com/robinlynnekelly,https://www.youtube.com/@RobinLynneKelly,https://www.tiktok.com/@robinlynnekelly,https://bsky.app/profile/robinlynnekelly.bsky.social,
IL,Juliana Stratton,false,false,Democratic,U.S. Senate,,,Female,https://www.julianastratton.com/,https://x.com/JulianaStratton,https://www.facebook.com/JulianaForIL,https://www.instagram.com/julianaforillinois/,https://www.youtube.com/@Juliana_Stratton,https://www.tiktok.com/@julianaforil,https://bsky.app/profile/julianastratton.bsky.social,
