State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
AK	country	legislatorLowerBody	United States	ocd-division/country:us	Alaska	ocd-division/country:us/state:ak	7eeaa5f0-8db2-4d0e-a430-cf9baa233d06		U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1977-10-21	Nick_Begich_III		https://www.instagram.com/RepNickBegich	RepNickBegich	https://www.facebook.com/RepNickBegich	https://begich.house.gov/sites/evo-subsites/begich.house.gov/files/styles/large/public/evo-media-image/2024-11-15_ike_-begich_nick_0003_re_web_0.jpg.webp?itok=q8Kv8WR_	https://begich.house.gov/address_authentication?form=/contact/email-me		153 Cannon House Office Building, Washington, DC 20515	(202) 225-5765	https://begich.house.gov/			2f08599a-8a45-40b6-be47-a22fab83c064	Nick Begich	Republican Party	Republican Party
AK	country	legislatorUpperBody	United States	ocd-division/country:us	Alaska	ocd-division/country:us/state:ak	4f4dc7c8-2016-4e72-8d51-bbf98c1257a9		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2002-12-01		2028-11-04	1957-05-22	Lisa_Murkowski	https://www.youtube.com/senatormurkowski	https://www.instagram.com/senlisamurkowski/	lisamurkowski	https://www.facebook.com/SenLisaMurkowski/	https://www.murkowski.senate.gov/imo/media/image/SenatorLisaMurkowski1.jpg	https://www.murkowski.senate.gov/contact/email		522 Hart Senate Office Building, Washington, DC 20510	(202) 224-6665	https://www.murkowski.senate.gov/			59544f93-4c37-4369-b9ab-bf7de13d6d4e	Lisa Murkowski	Republican Party	Republican Party
AK	country	legislatorUpperBody	United States	ocd-division/country:us	Alaska	ocd-division/country:us/state:ak	886d3681-306d-42c1-9a7f-338f0e590e09		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2015-01-06		2026-11-03	1964-11-13	Dan_Sullivan_(U.S._Senator)	https://www.youtube.com/channel/UC7tXCm8gKlAhTFo2kuf5ylw	https://www.instagram.com/sen_dansullivan/	SenDanSullivan	https://www.facebook.com/SenDanSullivan	https://www.sullivan.senate.gov/imo/media/image/bio-small.jpg	https://www.sullivan.senate.gov/contact/email		302 Hart Senate Office Building, Washington, DC 20510	(202) 224-3004	https://www.sullivan.senate.gov/			c73295b3-8238-418e-8327-dc412404d266	Dan Sullivan	Republican Party	Republican Party
AK	administrativeArea1	highestCourtJudge	Alaska	ocd-division/country:us/state:ak	Alaska	ocd-division/country:us/state:ak	c76c4078-3599-4395-9110-8acf69171836		AK State Supreme Court Justice	State Supreme Court Justice	AK State Supreme Court		2025-02-03		2021-07-07		2024-11-05	1976-06-10	Jennifer_S._Henderson					https://www.adn.com/resizer//L_u9NsPeJxO15BwEBFYO1QAismE=/1200x630/cloudfront-us-east-1.images.arcpublishing.com/adn/U2PK2F6BL5APFNAMX43T5GOXLU.jpg			303 K St, Anchorage, AK 99501	(907) 264-0612	http://courts.alaska.gov/judges/			b9a0d954-2954-47c4-b196-253bb26bca25	Jennifer Stuart Henderson	Nonpartisan	Nonpartisan
AK	administrativeArea1	highestCourtJudge	Alaska	ocd-division/country:us/state:ak	Alaska	ocd-division/country:us/state:ak	fb3a0907-d057-4d6d-a3e7-1d0d8f37b77a		AK State Supreme Court Justice	State Supreme Court Justice	AK State Supreme Court		2027-02-01		2025-01-20		2026-11-03										303 K St, Anchorage, AK 99501	(907) 264-0612	http://courts.alaska.gov/judges/			2d8bd5a8-5227-4ded-aae8-6d222da1d274	Aimee A. Oravec	Nonpartisan	Nonpartisan
AK	administrativeArea1	highestCourtJudge	Alaska	ocd-division/country:us/state:ak	Alaska	ocd-division/country:us/state:ak	41cee45d-7921-44bf-87ee-4325cbb3a901		AK State Supreme Court Justice	State Supreme Court Justice	AK State Supreme Court		2025-02-03		2020-07-01		2024-11-05		Dario_Borghesan					https://mmo.aiircdn.com/141/5efcf15e06896.jpg			303 K St, Anchorage, AK 99501	(907) 264-0612	http://courts.alaska.gov/judges/			45533774-90a0-4227-8877-5aee4c5b8178	Dario Borghesan	Nonpartisan	Nonpartisan
AK	administrativeArea1	highestCourtJudge	Alaska	ocd-division/country:us/state:ak	Alaska	ocd-division/country:us/state:ak	2b52e5d3-3448-4ac1-be88-b64e8f4e1468		AK State Supreme Court Justice	State Supreme Court Justice	AK State Supreme Court		2027-02-01		2023-03-01		2026-11-03		Jude_Pate								303 K St, Anchorage, AK 99501	(907) 264-0612	http://courts.alaska.gov/judges/			16ed8125-3911-45c1-9705-7b4eff4259f0	Jude Pate	Nonpartisan	Nonpartisan
AK	administrativeArea1	highestCourtJudge	Alaska	ocd-division/country:us/state:ak	Alaska	ocd-division/country:us/state:ak	647a7c27-01c6-444f-b227-8c61541321eb		AK State Supreme Court Justice	State Supreme Court Justice	AK State Supreme Court		2031-02-03		2016-08-26		2030-11-05		Susan_M._Carney					http://www.ajc.state.ak.us/retention/retent20/judge_photos/carney_photo.JPG			303 K St, Anchorage, AK 99501	(907) 264-0612	http://courts.alaska.gov/judges/			ec3cc5b9-bdb0-4285-8bb6-87d500ba060f	Susan M. Carney	Nonpartisan	Nonpartisan
AK	administrativeArea1	headOfGovernment	Alaska	ocd-division/country:us/state:ak	Alaska	ocd-division/country:us/state:ak	db22a120-a79d-4a0b-a1cd-d7c898e1080a		Governor of Alaska	Governor			2026-12-07		2018-12-03		2026-11-03	1961-05-05	Mike_Dunleavy_(politician)	https://www.youtube.com/channel/UCV-aZVxBDQ-SZU6KPSzG4Pg	https://www.instagram.com/govdunleavy/	GovDunleavy	https://www.facebook.com/GovDunleavy/	https://gov.alaska.gov/wp-content/uploads/Gov-website-photo.jpg	https://gov.alaska.gov/contact/feedback/		P.O Box 110001, Juneau, AK 99811	(907) 465-3500	https://gov.alaska.gov/		govdunleavy	028dd494-dc1c-4e25-a3fd-5cdb76c9726b	Mike Dunleavy	Republican Party	Republican Party
AK	administrativeArea1	deputyHeadOfGovernment	Alaska	ocd-division/country:us/state:ak	Alaska	ocd-division/country:us/state:ak	f92af3da-7c38-4147-b81f-5c043d964be6		Lieutenant Governor of Alaska	Lieutenant Governor			2026-12-07		2022-12-05		2026-11-03	1957-08-13	Nancy_Dahlstrom			ltgovdahlstrom	https://www.facebook.com/profile.php?id=61552420079528	https://ltgov.alaska.gov/wp-content/uploads/Screenshot-2022-12-14-150552-e1671062916621.png	https://ltgov.alaska.gov/email-the-lt-governor/		P.O Box 110015, Juneau, AK 99811	(907) 465-3520	https://ltgov.alaska.gov/			a457258c-d21f-46a4-aa50-a6426a5cfff9	Nancy Dahlstrom	Republican Party	Republican Party
