State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
AS	country	legislatorLowerBody	United States	ocd-division/country:us	American Samoa	ocd-division/country:us/territory:as	c1a5f1e9-ced5-4a5b-82e9-16a224eb1fec		Delegate to the U.S. House of Representatives	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1947-12-29	Amata_Coleman_Radewagen	https://www.youtube.com/channel/UCGdrLQbt1PYDTPsampx4t1A	https://www.instagram.com/repamata/	RepAmata	https://www.facebook.com/aumuaamata	https://radewagen.house.gov/sites/evo-subsites/radewagen.house.gov/files/styles/original_dimensions/public/evo-media-image/profile-hero-photo.png?itok=wSYvNkCJ	https://radewagen.house.gov/contact		2001 Rayburn House Office Building, Washington, DC 20515	(202) 225-8577	https://radewagen.house.gov/			d723df98-6aa6-453c-aba9-bce338ca75ba	Aumua Amata Coleman Radewagen	Republican Party	Republican Party
AS	administrativeArea1	headOfGovernment	American Samoa	ocd-division/country:us/territory:as	American Samoa	ocd-division/country:us/territory:as	a480f519-2eb9-43d0-b26f-3654690c1e94		Governor of American Samoa	Governor			2029-01-03		2025-01-03		2028-11-03	1955-12-31	Pula_Nikolao_Pula		https://www.instagram.com/amsamgov/		https://www.facebook.com/amsamgov	https://static.wixstatic.com/media/4bfff9_4da4a4a7ba164834ad0276fb405aede3~mv2.png/v1/fill/w_485,h_637,al_c,lg_1,q_85,enc_avif,quality_auto/GOV%20PULA_edited_edited.png	https://www.americansamoa.gov/contactus		A.P. Lutali Executive Office Building, 3rd Floor, Utulei, Pago Pago, AS 96799	(684) 633-4116	https://www.americansamoa.gov/			c1717ea4-88ef-4a21-ac27-555757bcc340	Pulaali'i Nikolao Pula	Nonpartisan	Nonpartisan
AS	administrativeArea1	deputyHeadOfGovernment	American Samoa	ocd-division/country:us/territory:as	American Samoa	ocd-division/country:us/territory:as	825ec74e-b58c-4781-b245-9dee61331c43		Lieutenant Governor of American Samoa	Lieutenant Governor			2029-01-03				2028-11-03		Pulu_Ae_Ae_Jr.					https://static.wixstatic.com/media/4bfff9_a6a3e5b7c56e45b99fe2158eb67059bb~mv2.png/v1/fill/w_591,h_716,al_c,lg_1,q_90,enc_avif,quality_auto/pulu-main-image_edited_edited.png	https://www.americansamoa.gov/contactus		A.P. Lutali Executive Office Building, 3rd Floor, Utulei, Pago Pago, AS 96799	(684) 633-4116	https://www.americansamoa.gov/			cd030b71-8efb-4292-84a2-7bc65a5b74f7	Pulu Ae, Ae, Jr.	Nonpartisan	Nonpartisan
AS	administrativeArea1	legislatorLowerBody	American Samoa	ocd-division/country:us/territory:as	AS House District 1	ocd-division/country:us/territory:as/sldl:1	8455381d-6413-4d0b-9d39-17c8ac2fbe06	District 1	American Samoa State Representative	State Representative	American Samoa House of Representatives		2027-01-03		2025-01-03		2026-11-03										P.O. Box 485, Pago Pago, AS 96799	(684) 633-5763	https://www.americansamoa.gov/fono			6f214016-acb3-45a9-a7ef-e5fab4c89d69	Vala Porotesano Liusamoa	Nonpartisan	Nonpartisan
AS	administrativeArea1	legislatorLowerBody	American Samoa	ocd-division/country:us/territory:as	AS House District 1	ocd-division/country:us/territory:as/sldl:1	32982e4f-1949-44c8-9328-02388b6ed89d	District 1	American Samoa State Representative	State Representative	American Samoa House of Representatives		2027-01-03				2026-11-03		Fetu_Fetui_Jr.								P.O. Box 485, Pago Pago, AS 96799	(684) 633-5763	https://www.americansamoa.gov/fono			03fd6d28-e012-4a77-9d80-d1d564bd90de	Fetu Fetui, Jr.	Nonpartisan	Nonpartisan
AS	administrativeArea1	legislatorLowerBody	American Samoa	ocd-division/country:us/territory:as	AS House District 10	ocd-division/country:us/territory:as/sldl:10	b2becc16-2e0b-4e30-b969-de0d1ddce945	District 10	American Samoa State Representative	State Representative	American Samoa House of Representatives		2027-01-03		2023-01-03		2026-11-03		Tapai_Alailepule_Benjamin_Vaivao					https://media.licdn.com/dms/image/C4E03AQGkZcnY1iGO5Q/profile-displayphoto-shrink_800_800/0/1659197403298?e=2147483647&v=beta&t=w39-K3cscWXROqAuttu6CTE-taFOczao17owQtk5EoE			P.O. Box 485, Pago Pago, AS 96799	(684) 633-5763	https://www.americansamoa.gov/fono			b951ccd4-a7c7-4e5f-9e7e-c55c0d031f05	Tapai Alailepule Benjamin Vaivao	Nonpartisan	Nonpartisan
AS	administrativeArea1	legislatorLowerBody	American Samoa	ocd-division/country:us/territory:as	AS House District 11	ocd-division/country:us/territory:as/sldl:11	3b40f89d-1594-4945-9d60-0607998755c8	District 11	American Samoa State Representative	State Representative	American Samoa House of Representatives		2027-01-03				2026-11-03		Faimealelei_Anthony_Fuʻe_Allen								P.O. Box 485, Pago Pago, AS 96799	(684) 633-5763	https://www.americansamoa.gov/fono			869ce64e-1ab2-43b3-ad72-b0d86c42e2ac	Faimealelei Anthony Fu'e Allen	Nonpartisan	Nonpartisan
AS	administrativeArea1	legislatorLowerBody	American Samoa	ocd-division/country:us/territory:as	AS House District 12	ocd-division/country:us/territory:as/sldl:12	2ebca420-786e-409f-9402-f27f3bbc49d0	District 12	American Samoa State Representative	State Representative	American Samoa House of Representatives		2027-01-03				2026-11-03		Manumaua_Wayne_C._Wilson								P.O. Box 485, Pago Pago, AS 96799	(684) 633-5763	https://www.americansamoa.gov/fono			a0e80a22-14b9-4932-a023-f1b8534246e4	Manumaua Wayne C. Wilson	Nonpartisan	Nonpartisan
AS	administrativeArea1	legislatorLowerBody	American Samoa	ocd-division/country:us/territory:as	AS House District 12	ocd-division/country:us/territory:as/sldl:12	2d6a787e-1817-465d-87c5-78a9f28c637a	District 12	American Samoa State Representative	State Representative	American Samoa House of Representatives		2027-01-03		2023-01-03		2026-11-03		Tautoloitua_Sauasetoa_Ho_Ching								P.O. Box 485, Pago Pago, AS 96799	(684) 633-5763	https://www.americansamoa.gov/fono			8cc091e2-0b93-4126-869e-a7e3338f22e4	Tautoloitua Sauasetoa Ho Ching	Nonpartisan	Nonpartisan
AS	administrativeArea1	legislatorLowerBody	American Samoa	ocd-division/country:us/territory:as	AS House District 13	ocd-division/country:us/territory:as/sldl:13	6f15a858-5360-4efc-8aa2-e33bc96ba3c9	District 13	American Samoa State Representative	State Representative	American Samoa House of Representatives		2027-01-03		2023-01-03		2026-11-03										P.O. Box 485, Pago Pago, AS 96799	(684) 633-5763	https://www.americansamoa.gov/fono			fd97dedc-e8d1-4f33-897b-3d7821b1119d	Fiu John Saelua	Nonpartisan	Nonpartisan
