State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
CO	country	legislatorUpperBody	United States	ocd-division/country:us	Colorado	ocd-division/country:us/state:co	1bf21cc6-83dd-425a-9256-8022cb7e87ed		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2021-01-03		2026-11-03	1952-02-07	John_Hickenlooper	https://www.youtube.com/channel/UCU6pcq-AZA9wnmIPBj6ePwQ	https://www.instagram.com/senatorhick/	SenatorHick	https://www.facebook.com/SenatorHick	https://www.hickenlooper.senate.gov/wp-content/uploads/2021/01/Hickenlooper.Website-photo-v3.2-1024x1017.jpg	https://www.hickenlooper.senate.gov/email-john/		374 Russell Senate Office Building Washington DC 20510	(202) 224-5941	https://www.hickenlooper.senate.gov/			edcb9c5f-15d9-4b90-8aa0-8fd5d844c0af	John W. Hickenlooper	Democratic Party	Democratic Party
CO	country	legislatorUpperBody	United States	ocd-division/country:us	Colorado	ocd-division/country:us/state:co	3c3c3d26-5fb1-4a78-879d-92fe5ae88455		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2009-01-21		2028-11-07	1964-11-28	Michael_Bennet	https://www.youtube.com/user/SenatorBennet	https://www.instagram.com/SenatorBennet/	SenatorBennet	https://www.facebook.com/senbennetco/	https://www.bennet.senate.gov/public/_cache/files/4/3/435ef07e-ba95-41bc-9e17-013283683490/85AD695D308AE46485423BA26C18BA87.bennet-color-photo.jpg	https://www.bennet.senate.gov/public/index.cfm/write-to-michael		261 Russell Senate Office Building, Washington DC 20510	(202) 224-5852	https://www.bennet.senate.gov/			45e716e9-e793-403f-9464-c0c6496b183a	Michael F. Bennet	Democratic Party	Democratic Party
CO	country	legislatorLowerBody	United States	ocd-division/country:us	Colorado's 1st congressional district	ocd-division/country:us/state:co/cd:1	694aba0c-edff-424c-b11c-bdafab682239	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1997-01-03		2026-11-03	1957-07-29	Diana_DeGette	https://www.youtube.com/@RepDianaDeGette	https://www.instagram.com/repdianadegette/	RepDianaDeGette	https://www.facebook.com/RepDianaDeGette/	https://degette.house.gov/sites/evo-subsites/degette.house.gov/files/styles/large/public/evo-media-image/old-headshot.jpg	https://degette.house.gov/email-diana-form		2111 Rayburn House Office Building, Washington, DC 20515	(202) 225-4431	https://degette.house.gov/		repdianadegette	816e9cbb-f13b-4cf7-9cf6-a36e8083fce9	Diana DeGette	Democratic Party	Democratic Party
CO	country	legislatorLowerBody	United States	ocd-division/country:us	Colorado's 2nd congressional district	ocd-division/country:us/state:co/cd:2	b951d01a-963d-4a12-9daf-abbb7bcc84d8	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1984-05-13	Joe_Neguse	https://www.youtube.com/@RepJoeNeguse	https://www.instagram.com/repjoeneguse/	RepJoeNeguse	https://www.facebook.com/RepJoeNeguse/	https://neguse.house.gov/sites/evo-subsites/neguse.house.gov/files/evo-media-image/Neguse_Official%20Portrait.jpg	https://neguse.house.gov/contact		2400 Rayburn House Office Building, Washington, DC 20515	(202) 225-2161	https://neguse.house.gov/		repjoeneguse	25a49cf6-8b62-4293-b198-1f1e83198705	Joe Neguse	Democratic Party	Democratic Party
CO	country	legislatorLowerBody	United States	ocd-division/country:us	Colorado's 3rd congressional district	ocd-division/country:us/state:co/cd:3	90e2ed06-246a-49f0-9633-dd76a94b1013	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Jeff_Hurd_(politician)		https://www.instagram.com/repjeffhurd/	RepJeffHurd	https://www.facebook.com/RepJeffHurd	https://hurd.house.gov/sites/evo-subsites/hurd.house.gov/files/styles/large/public/evo-media-image/hurd.jpeg.webp?itok=JDA0LUlr	https://hurd.house.gov/contact/email-me		1641 Longworth House Office Building, Washington, DC 20515	(202) 225-4676	https://hurd.house.gov/			7235e7a1-f34b-47a6-bc3d-5493b36efc0c	Jeff Hurd	Republican Party	Republican Party
CO	country	legislatorLowerBody	United States	ocd-division/country:us	Colorado's 4th congressional district	ocd-division/country:us/state:co/cd:4	ca6486b5-32eb-4aea-8043-b0be1f5a742c	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1986-12-19	Lauren_Boebert	https://www.youtube.com/@RepBoebert	https://www.instagram.com/RepBoebert	RepBoebert	https://www.facebook.com/RepBoebert	https://www.congress.gov/img/member/b000825_200.jpg	https://boebertforms.house.gov/contact/		1713 Longworth House Office Building, Washington, DC 20515	(202) 225-4761	https://boebert.house.gov/			5abd5b56-aee7-4343-9a81-d9c949433ee2	Lauren Boebert	Republican Party	Republican Party
CO	country	legislatorLowerBody	United States	ocd-division/country:us	Colorado's 5th congressional district	ocd-division/country:us/state:co/cd:5	0b73378a-b71e-4e73-8877-09ff11d6b737	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Jeff_Crank		https://www.instagram.com/repjeffcrank/	RepJeffCrank	https://www.facebook.com/RepJeffCrank	https://crank.house.gov/sites/evo-subsites/crank.house.gov/files/evo-media-image/2024-11-15_ike_crank_jeff_0011_re_web.jpg	https://crank.house.gov/contact/email-me		1029 Longworth House Office Building, Washington, DC 20515	(202) 225-4422	https://crank.house.gov/			b2afec94-1162-4660-b441-eb59d1b53f28	Jeff Crank	Republican Party	Republican Party
CO	country	legislatorLowerBody	United States	ocd-division/country:us	Colorado's 6th congressional district	ocd-division/country:us/state:co/cd:6	29d55615-40dd-42a3-a87f-c200973f6c15	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1979-03-15	Jason_Crow		https://www.instagram.com/repjasoncrow/	repjasoncrow	https://www.facebook.com/RepJasonCrow	https://crow.house.gov/sites/evo-subsites/crow.house.gov/files/styles/large/public/evo-media-image/3o2a8171_11zon.jpg	https://crow.house.gov/contact/email-me		1323 Longworth House Office Building, Washington, DC 20515	(202) 225-7882	https://crow.house.gov/			bb5912f2-cfec-4fac-b998-e2225666c48d	Jason Crow	Democratic Party	Democratic Party
CO	country	legislatorLowerBody	United States	ocd-division/country:us	Colorado's 7th congressional district	ocd-division/country:us/state:co/cd:7	efe24619-9633-4b7e-8e79-8139a0ef2708	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1981-12-06	Brittany_Pettersen		https://www.instagram.com/reppettersen/	RepPettersen	https://www.facebook.com/RepBrittanyPettersen	https://pettersen.house.gov/uploadedphotos/highresolution/4fe7b242-8b91-4acc-8d94-8d9ab6b1f463.jpg	https://pettersen.house.gov/contact/		348 Cannon House Office Building, Washington, DC 20515	(202) 225-2645	https://pettersen.house.gov/			8fdd03bb-d376-4927-bfa9-46955ff64d26	Brittany Pettersen	Democratic Party	Democratic Party
CO	country	legislatorLowerBody	United States	ocd-division/country:us	Colorado's 8th congressional district	ocd-division/country:us/state:co/cd:8	7d85bbdd-e37a-40fb-9e4f-71f4ad601fda	District 8	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Gabe_Evans		https://www.instagram.com/repgabeevans/	repgabeevans	https://www.facebook.com/RepGabeEvans	https://gabeevans.house.gov/sites/evo-subsites/gabeevans.house.gov/files/evo-media-image/2024-11-15_ike_evans_gabe_0013_re_web_0.jpg	https://gabeevans.house.gov/contact/email-me		1229 Longworth House Office Building, Washington, DC 20515	(202) 225-5625	https://gabeevans.house.gov/			6f852eb8-f376-4332-919f-0cdf52e1c83e	Gabe Evans	Republican Party	Republican Party
