State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
CT	country	legislatorUpperBody	United States	ocd-division/country:us	Connecticut	ocd-division/country:us/state:ct	74ecf2c4-bbf7-4f2b-af5f-3f1b18108d8d		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2011-01-03		2028-11-07	1946-02-13	Richard_Blumenthal	https://www.youtube.com/user/SenatorBlumenthal	https://www.instagram.com/senblumenthal/	SenBlumenthal	https://www.facebook.com/SenBlumenthal	https://www.blumenthal.senate.gov/imo/media/image/Blumenthal_Richard-012611-10781-0006-rh-CFF.jpg	https://www.blumenthal.senate.gov/contact/write-to-senator-blumenthal		706 Hart Senate Office Building, Washington DC 20510	(202) 224-2823	https://www.blumenthal.senate.gov/			14f516cd-f1e3-4d29-9826-4b05fcff5a92	Richard Blumenthal	Democratic Party	Democratic Party
CT	country	legislatorUpperBody	United States	ocd-division/country:us	Connecticut	ocd-division/country:us/state:ct	e53fe6c5-ef05-4ec7-9647-92d8ffa9cb21		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2025-01-03		2026-11-03	1973-08-03	Chris_Murphy	https://www.youtube.com/user/SenChrisMurphy	https://www.instagram.com/senchrismurphy	ChrisMurphyCT	https://www.facebook.com/senchrismurphy/	https://pbs.twimg.com/profile_images/1410747515511660547/BuMyJGhl_400x400.jpg	https://www.murphy.senate.gov/contact		136 Hart Senate Office Building, Washington DC 20510	(202) 224-4041	https://www.murphy.senate.gov/			ed432e6f-4555-4db2-bdd5-6eac5ad83e03	Christopher S. Murphy	Democratic Party	Democratic Party
CT	country	legislatorLowerBody	United States	ocd-division/country:us	Connecticut's 1st congressional district	ocd-division/country:us/state:ct/cd:1	5ce2748e-2bd7-467b-a8ba-5d0825e987ca	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1999-01-03		2026-11-03	1948-07-22	John_B._Larson	https://www.youtube.com/user/RepJohnLarson	https://www.instagram.com/RepJohnBLarson/	repjohnlarson	https://www.facebook.com/RepJohnLarson	https://larson.house.gov/sites/evo-subsites/larson.house.gov/files/styles/evo_image/public/wysiwyg_uploaded/caucus_shot.jpg?h=ed05c5e7&itok=Ew3KtmvA	https://larson.house.gov/address_authentication?form=/contact		1501 Longworth House Office Building, Washington, DC 20515-0701	(202) 225-2265	https://larson.house.gov/			6a58d929-feb0-441e-827e-c11dad23356c	John B. Larson	Democratic Party	Democratic Party
CT	country	legislatorLowerBody	United States	ocd-division/country:us	Connecticut's 2nd congressional district	ocd-division/country:us/state:ct/cd:2	12232470-63f3-45de-9622-0b8be2d60b26	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2007-01-03		2026-11-03	1953-04-06	Joe_Courtney_(politician)	https://www.youtube.com/user/RepCourtney	https://www.instagram.com/repjoecourtney	repjoecourtney		https://www.congress.gov/img/member/c001069_200.jpg	https://courtney.house.gov/address_authentication?form=/contact		2449 Rayburn House Office Building, Washington, DC 20515-0702	(202) 225-2076	https://courtney.house.gov/			63e4b167-1d75-4389-a145-4331601cb47a	Joe Courtney	Democratic Party	Democratic Party
CT	country	legislatorLowerBody	United States	ocd-division/country:us	Connecticut's 3rd congressional district	ocd-division/country:us/state:ct/cd:3	e3cf5d1c-d90e-48f4-bfdc-791c72078163	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1991-01-03		2026-11-03	1943-03-02	Rosa_DeLauro	https://www.youtube.com/user/RosaDeLauro	https://www.instagram.com/reprosadelauro	rosadelauro	https://www.facebook.com/CongresswomanRosaDeLauro	https://clerk.house.gov/content/assets/img/members/D000216.jpg	https://delauro.house.gov/zip_authentication?form=/contact/email		2413 Rayburn House Office Building, Washington, DC 20515-0703	(202) 225-3661	https://delauro.house.gov/		reprosadelauro	7d18bce3-6613-4fa7-bc6e-17b1ea1a7cd1	Rosa L. DeLauro	Democratic Party	Democratic Party
CT	country	legislatorLowerBody	United States	ocd-division/country:us	Connecticut's 4th congressional district	ocd-division/country:us/state:ct/cd:4	e70d124f-289b-488a-af0d-053d5ba18a5f	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1966-07-05	Jim_Himes	https://www.youtube.com/c/RepJimHimes	https://www.instagram.com/repjimhimes	jahimes	https://www.facebook.com/RepJimHimes	https://himes.house.gov/index.cfm?a=Files.Serve&File_id=D8CB2139-9FC9-42D4-B151-C9EA5EFE6B5D	https://himes.house.gov/contact-me		2137 Rayburn House Office Building, Washington, DC 20515-0704	(202) 225-5541	https://himes.house.gov/			049cdcfb-0697-41e4-bfe4-107d386beff6	Jim Himes	Democratic Party	Democratic Party
CT	country	legislatorLowerBody	United States	ocd-division/country:us	Connecticut's 5th congressional district	ocd-division/country:us/state:ct/cd:5	17724804-2490-41c3-90f9-88b25244e397	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1973-03-08	Jahana_Hayes	https://www.youtube.com/c/RepJahanaHayes	https://www.instagram.com/repjahanahayes/	RepJahanaHayes	https://www.facebook.com/RepJahanaHayes	https://clerk.house.gov/content/assets/img/members/H001081.jpg	https://hayes.house.gov/email-me		2049 Rayburn House Office Building Washington, DC 20515	(202) 225-4476	https://hayes.house.gov/			57acb111-c266-4f6b-8833-29c195e63ade	Jahana Hayes	Democratic Party	Democratic Party
CT	administrativeArea1	governmentOfficer	Connecticut	ocd-division/country:us/state:ct	Connecticut	ocd-division/country:us/state:ct	08a9062c-ae10-4471-8d31-bd207464b42e		CT Secretary of State	Secretary of State			2027-01-06		2023-01-04		2026-11-03		Stephanie_Thomas_(politician)		https://www.instagram.com/ctsots/	CTSotS	https://www.facebook.com/CTSOTS	https://portal.ct.gov/-/media/SOTS/Headshots/Secretary-Stephanie-Thomas/2023_Secretary_Stephanie_Thomas_small.jpg?sc_lang=en&h=184&w=275&hash=FBA281845ADC9CCF8D49C700B5F5F3BA			165 Capitol Avenue Suite 1000 Hartford, CT 06106	(860) 509-6200	https://portal.ct.gov/			9f08e917-1a41-4dac-958a-2e0c151dc207	Stephanie Thomas	Democratic Party	Democratic Party
CT	administrativeArea1	governmentOfficer	Connecticut	ocd-division/country:us/state:ct	Connecticut	ocd-division/country:us/state:ct	214d8524-1da5-4c46-a51e-911023c6e746		CT State Attorney General	Attorney General			2027-01-06		2019-01-09		2026-11-03	1954-11-23	William_Tong		https://www.instagram.com/agwilliamtong/	AGWilliamTong	https://www.facebook.com/CTAttorneyGeneral/	https://portal.ct.gov/-/media/AG/AG-Tong/AGTongHeadshot.jpg		attorney.general@ct.gov	165 Capitol Ave, Hartford, CT 06106	(860) 808-5318	https://portal.ct.gov/ag			dfeb2da0-7679-4bee-9486-3055daa5ad67	William Tong	Democratic Party	Democratic Party
CT	administrativeArea1	governmentOfficer	Connecticut	ocd-division/country:us/state:ct	Connecticut	ocd-division/country:us/state:ct	83d9b662-66a8-4ce6-aac0-cad114a36b30		CT State Comptroller	State Comptroller			2027-01-06		2023-01-04		2026-11-03		Sean_Scanlon_(politician)		https://www.instagram.com/CTComptroller/	CTComptroller	https://www.facebook.com/CTComptroller/	https://www.osc.ct.gov/osc-transitional/template/assets/img/sean_scanlon_square.jpg			165 Capitol Avenue Hartford, Connecticut 06106	(860) 702-3300	https://www.osc.ct.gov/			f8a94711-e9fe-41c2-856d-6484fa391e88	Sean Scanlon	Democratic Party	Democratic Party
