State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
FL	country	legislatorUpperBody	United States	ocd-division/country:us	Florida	ocd-division/country:us/state:fl	40e6f191-e3d8-41f3-a8a4-fb5efb542936		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2019-01-08		2030-11-05	1952-12-01	Rick_Scott	https://www.youtube.com/channel/UC-Y9pFmW4PYGZHkC8lcqSkQ	https://www.instagram.com/flsenrickscott/	SenRickScott	https://www.facebook.com/RickScottSenOffice/	https://www.rickscott.senate.gov/services/files/A5582C0C-8FBA-4212-BF13-BB58952E161D	https://www.rickscott.senate.gov/contact/contact		110 Hart Senate Office Building, Washington, DC 20510	(202) 224-5274	https://www.rickscott.senate.gov/			942dc8be-b54e-4df8-8a29-0f0fe19b4eec	Rick Scott	Republican Party	Republican Party
FL	country	legislatorUpperBody	United States	ocd-division/country:us	Florida	ocd-division/country:us/state:fl	305411ef-1c91-485f-906d-5755496a686a		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2025-01-21		2028-11-07	1975-03-28	Ashley_Moody	https://www.youtube.com/@SenatorAshleyMoody		SenAshleyMoody		https://www.moody.senate.gov/wp-content/uploads/2025/01/ag_moody_large-scaled.jpg	https://www.moody.senate.gov/share-your-opinion/		387 Russell Senate Office Building, Washington, DC 20510	(202) 224-3041	https://www.moody.senate.gov/			333e9adc-60d4-4105-93e6-d1bae121f244	Ashley Moody	Republican Party	Republican Party
FL	country	legislatorLowerBody	United States	ocd-division/country:us	Florida's 1st congressional district	ocd-division/country:us/state:fl/cd:1	aa21bd39-f516-409e-853d-d19f4a77577d	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-04-02		2026-11-03		Jimmy_Patronis		https://www.instagram.com/patronisfl/	PatronisFL	https://www.facebook.com/profile.php?id=61577293801543	https://clerk.house.gov/images/members/P000622.jpg	https://patronis.house.gov/contact/email-me		2021 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-4136	https://patronis.house.gov/			c9d7f367-32bb-4c64-b802-21818ea0847b	Jimmy Patronis	Republican Party	Republican Party
FL	country	legislatorLowerBody	United States	ocd-division/country:us	Florida's 10th congressional district	ocd-division/country:us/state:fl/cd:10	a3583428-55ae-41fa-9b22-9902a11da0f7	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1997-01-17	Maxwell_Frost		https://www.instagram.com/RepMaxwellFrost/	RepMaxwellFrost	https://www.facebook.com/RepMaxwellFrost	https://clerk.house.gov/images/members/F000476.jpg	https://frost.house.gov/contact		1224 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-2176	https://frost.house.gov/		repmaxwellfrost	f4b95b9e-b98e-4c1d-ae6e-cefe90fd6742	Maxwell Frost	Democratic Party	Democratic Party
FL	country	legislatorLowerBody	United States	ocd-division/country:us	Florida's 11th congressional district	ocd-division/country:us/state:fl/cd:11	90501f2b-d589-4bf8-a750-7c4e0610725f	District 11	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2011-01-03		2026-11-03	1949-04-27	Daniel_Webster_(Florida_politician)	https://www.youtube.com/@RepDanielWebster		RepWebster	https://www.facebook.com/RepWebster	https://clerk.house.gov/content/assets/img/members/W000806.jpg	https://webster.house.gov/email-me		2184 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-1002	https://webster.house.gov/			e2a0a4bf-d8f6-4ada-b3e7-7f4a2b172a1f	Daniel Webster	Republican Party	Republican Party
FL	country	legislatorLowerBody	United States	ocd-division/country:us	Florida's 12th congressional district	ocd-division/country:us/state:fl/cd:12	06432d1e-4387-4d22-bb4b-03b01b03b515	District 12	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2007-01-03		2026-11-03	1963-02-08	Gus_Bilirakis	https://www.youtube.com/@RepGusBilirakis	https://www.instagram.com/gusbilirakis/	RepGusBilirakis	https://www.facebook.com/GusBilirakis	https://bilirakis.house.gov/sites/evo-subsites/bilirakis-evo.house.gov/files/wysiwyg_uploaded/official-photo.jpg	https://bilirakis.house.gov/contact/email		2306 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-5755	https://bilirakis.house.gov/			9b0894c4-82ef-4a1b-8fb9-b7381789a281	Gus Bilirakis	Republican Party	Republican Party
FL	country	legislatorLowerBody	United States	ocd-division/country:us	Florida's 13th congressional district	ocd-division/country:us/state:fl/cd:13	1f6520bc-452c-4487-ab2c-49e15101e92b	District 13	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1989-05-06	Anna_Paulina_Luna	https://www.youtube.com/@RepLuna	https://www.instagram.com/repluna/	RepLuna		https://d12t4t5x3vyizu.cloudfront.net/luna.house.gov/uploads/2023/02/IMG_1334-768x975.jpg	https://luna.house.gov/contact		226 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-5961	https://luna.house.gov/			88967998-85ed-44a9-ace8-2c6bad001590	Anna Paulina Luna	Republican Party	Republican Party
FL	country	legislatorLowerBody	United States	ocd-division/country:us	Florida's 14th congressional district	ocd-division/country:us/state:fl/cd:14	f3de9dea-7846-40fa-a0da-f93123d5a533	District 14	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2007-01-03		2026-11-03	1966-08-20	Kathy_Castor	https://www.youtube.com/@RepKathyCastor	https://www.instagram.com/usrepkathycastor/	USRepKCastor	https://www.facebook.com/USRepKathyCastor	https://castor.house.gov/images/rep-kastor-bio.jpg	https://castor.house.gov/contact/contactform.htm		2188 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-3376	https://castor.house.gov/			5400ed2a-ea43-448f-b85c-08f5ea23508c	Kathy Castor	Democratic Party	Democratic Party
FL	country	legislatorLowerBody	United States	ocd-division/country:us	Florida's 15th congressional district	ocd-division/country:us/state:fl/cd:15	066fff2f-b321-4d57-92b6-ee962cc534e9	District 15	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1974-03-26	Laurel_Lee		https://www.instagram.com/replaurellee/	RepLaurelLee	https://www.facebook.com/RepLaurelLee/	https://laurellee.house.gov/sites/evo-subsites/laurellee.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/new-official-headshot-2.jpg	https://laurellee.house.gov/contact		2464 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-5626	https://laurellee.house.gov/			06929d24-cba0-4c1e-9f63-78960a3e2d9b	Laurel Lee	Republican Party	Republican Party
FL	country	legislatorLowerBody	United States	ocd-division/country:us	Florida's 16th congressional district	ocd-division/country:us/state:fl/cd:16	13c8a451-a056-4ade-9692-0c4a8ef2e206	District 16	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2007-01-03		2026-11-03	1951-05-08	Vern_Buchanan	https://www.youtube.com/@VernBuchanan		VernBuchanan	https://www.facebook.com/CongressmanBuchanan	https://clerk.house.gov/content/assets/img/members/B001260.jpg	https://buchanan.house.gov/email-me		2409 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-5015	https://buchanan.house.gov/			75017dbb-8da3-48ea-aeef-dab2422947c9	Vern Buchanan	Republican Party	Republican Party
