State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
GA	country	legislatorUpperBody	United States	ocd-division/country:us	Georgia	ocd-division/country:us/state:ga	20732bf2-c1db-4ee2-a6fd-e0c16731bc35		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2021-01-20		2028-11-07	1969-07-23	Raphael_Warnock	https://www.youtube.com/senatorwarnock		SenatorWarnock	https://www.facebook.com/SenatorWarnock	https://www.warnock.senate.gov/wp-content/uploads/Portrait.jpg	https://www.warnock.senate.gov/contact/contact-form/		388 Russell Senate Office Building Washington, DC 20510	(202) 224-3643	https://www.warnock.senate.gov/			e1808629-826f-45ef-976b-02121d9b98ee	Raphael G. Warnock	Democratic Party	Democratic Party
GA	country	legislatorUpperBody	United States	ocd-division/country:us	Georgia	ocd-division/country:us/state:ga	9fb82061-a820-4862-8f1a-2e12f6a1d661		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2021-01-20		2026-11-03	1987-02-16	Jon_Ossoff	https://www.youtube.com/channel/UCRkl0jj4HdoUbHosDHDqy0A	https://www.instagram.com/jonossoff/	senossoff	https://www.facebook.com/SenOssoff/	https://www.congress.gov/img/member/o000174_200.jpg	https://www.ossoff.senate.gov/contact-us/message/		455 Russell Senate Office Building, Washington, DC 20510	(202) 224-3521	https://www.ossoff.senate.gov/			7d686235-ed63-485b-981e-a84565d6e9b4	Jon Ossoff	Democratic Party	Democratic Party
GA	country	legislatorLowerBody	United States	ocd-division/country:us	Georgia's 1st congressional district	ocd-division/country:us/state:ga/cd:1	422d0c48-1e65-4b39-a9ca-7f23f3c86b00	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1957-09-06	Buddy_Carter	https://www.youtube.com/@CongressmanBuddyCarter	https://www.instagram.com/repbuddycarter/	RepBuddyCarter	https://www.facebook.com/CongressmanBuddyCarter/	https://clerk.house.gov/images/members/C001103.jpg	https://buddycarter.house.gov/contact/		2432 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-0103	(202) 225-5831	https://buddycarter.house.gov/			85a3f1ac-cfdb-4ee9-bbd6-60d72baaadbc	Buddy Carter	Republican Party	Republican Party
GA	country	legislatorLowerBody	United States	ocd-division/country:us	Georgia's 10th congressional district	ocd-division/country:us/state:ga/cd:10	85d41831-8e70-45c3-b280-567d9c00c2e9	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1967-07-02	Mike_Collins_(politician)		https://www.instagram.com/repmikecollins/	RepMikeCollins	https://www.facebook.com/RepMikeCollinsGA	https://collins.house.gov/sites/evo-subsites/collins.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/mike_collins_portrait.jpg	https://collins.house.gov/contact		2351 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-0103	(202) 225-4101	https://collins.house.gov/			b9de4247-8737-4663-87d9-58c9e0010f15	Mike Collins	Republican Party	Republican Party
GA	country	legislatorLowerBody	United States	ocd-division/country:us	Georgia's 11th congressional district	ocd-division/country:us/state:ga/cd:11	d76dc9c2-50fa-430d-9b43-9b3246e97225	District 11	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1963-12-22	Barry_Loudermilk	https://www.youtube.com/@rep.barryloudermilk2718	https://www.instagram.com/RepLoudermilk/	RepLoudermilk	https://www.facebook.com/RepLoudermilk/	https://loudermilk.house.gov/uploadedphotos/mediumresolution/155ff8c5-1795-4a4a-a7b8-0d9b89a4e162.jpg	https://loudermilk.house.gov/contact/		2133 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-0103	(202) 225-2931	https://loudermilk.house.gov/			ea99ee98-9a33-4a62-aa7e-83dbc851933e	Barry Loudermilk	Republican Party	Republican Party
GA	country	legislatorLowerBody	United States	ocd-division/country:us	Georgia's 12th congressional district	ocd-division/country:us/state:ga/cd:12	1b070437-92f8-4044-87c0-c299d0e97f8f	District 12	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1951-11-07	Rick_Allen_(politician)	https://www.youtube.com/@congressmanrickallen8082	https://www.instagram.com/Rep_RickAllen/	RepRickAllen	https://www.facebook.com/CongressmanRickAllen	https://allen.house.gov/images/allen-portrait.jpg	https://allen.house.gov/Contact		462 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-2823	https://allen.house.gov/			cf3d6982-6355-4cf4-b443-892af544c039	Rick W. Allen	Republican Party	Republican Party
GA	country	legislatorLowerBody	United States	ocd-division/country:us	Georgia's 13th congressional district	ocd-division/country:us/state:ga/cd:13	66ac6312-173b-4c18-927c-4ff32d89dde5	District 13	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2003-01-03		2026-11-03	1945-06-27	David_Scott_(Georgia_politician)	https://www.youtube.com/@RepDavidScott	https://www.instagram.com/RepDavidScott/	RepDavidScott	https://www.facebook.com/RepDavidScott/	https://clerk.house.gov/images/members/S001157.jpg	https://davidscott.house.gov/contact/contactform.htm		468 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-2939	https://davidscott.house.gov/			5fdfb87e-fcad-4312-85a5-f4cda04ebab3	David Scott	Democratic Party	Democratic Party
GA	country	legislatorLowerBody	United States	ocd-division/country:us	Georgia's 14th congressional district	ocd-division/country:us/state:ga/cd:14	0b939d40-d15f-401e-b774-5a39421dfc44	District 14	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03			2026-03-10	2026-11-03															42835678-7abe-4b38-bd14-54cf704e1c23	VACANT		
GA	country	legislatorLowerBody	United States	ocd-division/country:us	Georgia's 2nd congressional district	ocd-division/country:us/state:ga/cd:2	ded99ada-ffec-4680-b00b-263d9a5b1b1b	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1993-01-03		2026-11-03	1947-02-04	Sanford_Bishop	https://www.youtube.com/@RepSanfordBishop	https://www.instagram.com/repsanfordbishop/	SanfordBishop	https://www.facebook.com/sanfordbishop	https://clerk.house.gov/images/members/B000490.jpg	https://bishop.house.gov/contact		2407 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-0103	(202) 225-3631	https://bishop.house.gov/			acfb2905-7e49-42d4-a040-241bc72d991f	Sanford D. Bishop, Jr.	Democratic Party	Democratic Party
GA	country	legislatorLowerBody	United States	ocd-division/country:us	Georgia's 3rd congressional district	ocd-division/country:us/state:ga/cd:3	675fd168-e52f-4469-ad73-9e845bf63ae7	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Brian_Jack	https://www.youtube.com/@congressmanbrianjack	https://www.instagram.com/repbrianjack	RepBrianJack	https://www.facebook.com/RepBrianJack	https://jack.house.gov/sites/evo-subsites/jack.house.gov/files/styles/large/public/evo-media-image/img_0191.jpg.webp	https://jack.house.gov/contact/email-me		1320 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-5901	https://jack.house.gov/			8637e87d-123d-4ee9-bd75-dba8faf1c343	Brian Jack	Republican Party	Republican Party
