State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
GU	country	legislatorLowerBody	United States	ocd-division/country:us	Guam	ocd-division/country:us/territory:gu	18969a0d-8c0b-4ef6-a317-f42a14f65512		Delegate to the U.S. House of Representatives	U.S. Representative	U.S. House of Representatives		2027-01-04		2023-01-01		2026-11-03	1962-07-18	James_Moylan	https://www.youtube.com/channel/UCWN6KqCbEXDdevKrd6EwGLw	https://www.instagram.com/repjamesmoylan/	RepMoylan	https://www.facebook.com/profile.php?id=100089324793869	https://moylan.house.gov/sites/evo-subsites/moylan.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/moylan_james_official_gu00.jpg?itok=ftX5CQe9	https://moylan.house.gov/address_authentication?form=/contact		228 Cannon House Office Building Washington, DC 20003	(202) 225-1188	https://moylan.house.gov/			49ffbdcb-78f3-4bce-b3a3-a92464ddcb90	James Moylan	Republican Party	Republican Party
GU	administrativeArea1	headOfGovernment	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	9409d763-7c70-455a-a2ce-cce7d35e8270		Governor of Guam	Governor			2027-01-04		2019-01-07		2026-11-03	1950-11-08	Lou_Leon_Guerrero	https://www.youtube.com/channel/UCahhNM2GNQm8VwBh-pl9uUg	https://www.instagram.com/govlouguam/	louleonguerrero	https://www.facebook.com/govlouguam	https://governor.guam.gov/wp-content/uploads/2023/01/O1A6087-980x1470.jpg	https://governor.guam.gov/contact-us/	communications@guam.gov	Ricardo J. Bordallo Complex, 513 West Marine Corps Drive, Hagåña, GU 96910	(671) 472-8931	https://governor.guam.gov/			4a99b063-0de1-4b15-89c4-cda6e0286a9a	Lou Leon Guerrero	Democratic Party	Democratic Party
GU	administrativeArea1	governmentOfficer	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	768f39b5-2049-4ca1-8ee2-461bd41ee2bc		GU Public Auditor	State Auditor			2029-01-01		2018-09-13		2028-11-07	1951-03-03	Benjamin_Cruz							admin@guamopa.com	DNA Building, 238 Archbishop Flores Street, Suite 401, Hagåña, GU 96910	(671) 475-0390	https://www.opaguam.org/			f5f1f31b-eb6e-49f1-a540-fd95740dcdf1	Benjamin J.F. Cruz	Nonpartisan	Nonpartisan
GU	administrativeArea1	governmentOfficer	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	4f6e5cf6-efcd-412f-a291-54f55b54db4c		GU State Attorney General	Attorney General			2027-01-04		2023-01-02		2026-11-03	1966-10-19	Douglas_Moylan	https://www.youtube.com/channel/UCq4R3ZSkjFdlXEE__0tRHHg	https://www.instagram.com/oagguam/	oagguam	https://www.facebook.com/profile.php?id=100082783856936	http://oagguam.org/wp-content/uploads/bb-plugin/cache/Offiical.Stripes_1-1-300x287-circle.jpg		administration@oagguam.org	590 S. Marine Corps Dr., Suite 901, Tamuning, GU 96913	(671) 475-3324	http://oagguam.org/			c5a560f5-7733-45b5-90ef-82e1bfd0a594	Douglas B. Moylan	Nonpartisan	Nonpartisan
GU	administrativeArea1	governmentOfficer	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	8a13f0b9-71c8-48ad-8335-3332ddca0cb8		GU State Consolidated Utilities Commissioner	State Public Service Commissioner	GU State Consolidated Commission on Utilities		2029-01-01		2025-01-01		2028-11-07								https://guamccu.org/contact-us/		P.O. Box 2977 Hagåña, GU 96932	(671) 648-3002	https://guamccu.org/about-us/			51289131-88a7-4981-92fc-ec524b839585	Melvin F. Duenas	Nonpartisan	Nonpartisan
GU	administrativeArea1	governmentOfficer	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	64aa5d19-264c-41b7-bea6-53cefccf73bf		GU State Consolidated Utilities Commissioner	State Public Service Commissioner	GU State Consolidated Commission on Utilities		2027-01-01		2019-01-10		2026-11-03							https://guamccu.org/wp-content/uploads/2019/04/Michael-Limtiaco.jpg	https://guamccu.org/contact-us/		P.O. Box 2977 Hagåña, GU 96932	(671) 648-3002	https://guamccu.org/about-us/			f693a5e2-beb5-40e7-a7c6-6651b380040d	Michael Limtiaco	Nonpartisan	Nonpartisan
GU	administrativeArea1	governmentOfficer	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	7da3770c-ddb2-4863-8ce3-5a64c46ac703		GU State Consolidated Utilities Commissioner	State Public Service Commissioner	GU State Consolidated Commission on Utilities		2029-01-01		2021-01-01		2028-11-07							https://guamccu.org/wp-content/uploads/2021/04/20210420_164012-scaled-e1618931489182-768x768.jpg	https://guamccu.org/contact-us/		P.O. Box 2977 Hagåña, GU 96932	(671) 648-3002	https://guamccu.org/about-us/			e3965b6d-0b19-48ff-9635-7499978aa71a	Pedro Roy Martinez	Nonpartisan	Nonpartisan
GU	administrativeArea1	governmentOfficer	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	9abc3b4f-d5ea-45a3-895b-26fe0e903c61		GU State Consolidated Utilities Commissioner	State Public Service Commissioner	GU State Consolidated Commission on Utilities		2027-01-01		2003-01-01		2026-11-03							https://guamccu.org/wp-content/uploads/2015/10/GWA-headshot-4.jpg	https://guamccu.org/contact-us/		P.O. Box 2977 Hagåña, GU 96932	(671) 648-3002	https://guamccu.org/about-us/			53426b34-17be-4984-9472-dbe67ebfab96	Simon A. Sanchez II	Nonpartisan	Nonpartisan
GU	administrativeArea1	governmentOfficer	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	ce13b4b9-072b-4281-82e1-73a8d794ea51		GU State Consolidated Utilities Commissioner	State Public Service Commissioner	GU State Consolidated Commission on Utilities		2027-01-01		2019-01-10		2026-11-03		Francis_E._Santos					https://guamccu.org/wp-content/uploads/2015/10/GWA-headshot-2.jpg	https://guamccu.org/contact-us/		P.O. Box 2977 Hagåña, GU 96932	(671) 648-3002	https://guamccu.org/about-us/			aab1e0bc-0e3f-46a5-9235-549a9467bea4	Francis E. Santos	Nonpartisan	Nonpartisan
GU	administrativeArea1	schoolBoard	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	d8cfee25-5c3c-4630-8be8-b5f583f38874		GU State Education Board Member	State Public Education Commissioner	GU State Education Board		2027-04-24		2024-04-01						https://www.instagram.com/guamdoe/	guamdoe	https://www.facebook.com/DOEGuam/	https://www.gdoe.net/files/public_files/Christine%20Baleto.jpg		chris.baleto@gmail.com	501 Mariner Avenue, Barrigada, GU 96913	(671) 300-1536	https://www.gdoe.net/District/Department/19-Guam-Education-Board			507cee42-47cb-4b58-964e-a01adc1b3062	Christine W. Baleto	Nonpartisan	Nonpartisan
GU	administrativeArea1	schoolBoard	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	d3686828-185e-47fa-9ebd-df164ad5ffb9		GU State Education Board Member	State Public Education Commissioner	GU State Education Board		2027-01-04		2023-01-02		2026-11-03				https://www.instagram.com/guamdoe/	guamdoe	https://www.facebook.com/DOEGuam/	https://www.gdoe.net/files/public_files/Angel%20Sablan.jpg		angelsablan5577@gmail.com	501 Mariner Avenue, Barrigada, GU 96913	(671) 300-1536	https://www.gdoe.net/District/Department/19-Guam-Education-Board			31a3bc28-0376-4bad-b3e0-bbb86146e137	Angel R. Sablan	Nonpartisan	Nonpartisan
GU	administrativeArea1	schoolBoard	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	b02a47ea-aba6-4eda-80ec-acb1e79b6b62		GU State Education Board Member	State Public Education Commissioner	GU State Education Board		2026-04-14		2020-04-15						https://www.instagram.com/guamdoe/	guamdoe	https://www.facebook.com/DOEGuam/	https://www.gdoe.net/files/user/51/image/IMG_5037.jpg		fbangel@gdoe.net	501 Mariner Avenue, Barrigada, GU 96913	(671) 300-1536	https://www.gdoe.net/District/Department/19-Guam-Education-Board			a9c1eba2-8be5-4ab6-a396-8a978f484a2c	Felicitas B. Angel	Nonpartisan	Nonpartisan
GU	administrativeArea1	schoolBoard	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	265b1d6d-4715-420c-9b69-403402bc6237		GU State Education Board Member	State Public Education Commissioner	GU State Education Board		2025-07-10		2022-07-01						https://www.instagram.com/guamdoe/	guamdoe	https://www.facebook.com/DOEGuam/	https://www.gdoe.net/files/user/8/image/karogobo(1).jpg			501 Mariner Avenue, Barrigada, GU 96913	(671) 300-1536	https://www.gdoe.net/District/Department/19-Guam-Education-Board			3f05a71f-9603-4370-a6af-5e843f535cc4	Karlyn R.C.G. Borja	Nonpartisan	Nonpartisan
GU	administrativeArea1	schoolBoard	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	e5a3bd28-6628-471a-9b85-e5cc7a0eb7b4		GU State Education Board Member	State Public Education Commissioner	GU State Education Board		2027-01-04		2025-01-06		2026-11-03		Judith_Guthertz		https://www.instagram.com/guamdoe/	guamdoe	https://www.facebook.com/DOEGuam/	https://www.gdoe.net/files/public_files/Judith%20Guthertz.jpg		judithguthertz@gmail.com	501 Mariner Avenue, Barrigada, GU 96913	(671) 300-1536	https://www.gdoe.net/District/Department/19-Guam-Education-Board			3f738d0d-3901-4010-82a6-375af588b574	Judith Guthertz	Nonpartisan	Nonpartisan
GU	administrativeArea1	schoolBoard	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	b74fee5d-07d4-4403-8f24-96d3fc5199f0		GU State Education Board Member	State Public Education Commissioner	GU State Education Board		2027-01-04		1991-01-07		2026-11-03				https://www.instagram.com/guamdoe/	guamdoe	https://www.facebook.com/DOEGuam/	https://www.gdoe.net/files/user/51/image/Maria-A_-Gutierrez(1).jpg		magutierrez@gdoe.net	501 Mariner Avenue, Barrigada, GU 96913	(671) 300-1536	https://www.gdoe.net/District/Department/19-Guam-Education-Board			75309345-7c10-49ad-b9af-366f36a40c00	Maria A. Gutierrez	Nonpartisan	Nonpartisan
GU	administrativeArea1	schoolBoard	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	8179fc71-4556-420d-9098-5a65c5c19781		GU State Education Board Member	State Public Education Commissioner	GU State Education Board		2027-01-04		2013-01-07		2026-11-03				https://www.instagram.com/guamdoe/	guamdoe	https://www.facebook.com/DOEGuam/	https://www.gdoe.net/files/user/8/image/Ada2.jpg		paa@gdoe.net	501 Mariner Avenue, Barrigada, GU 96913	(671) 300-1536	https://www.gdoe.net/District/Department/19-Guam-Education-Board			196e61dd-bd96-4fbb-a1bd-384e1a63311f	Peter Alecxis D. Ada	Nonpartisan	Nonpartisan
GU	administrativeArea1	schoolBoard	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	e68a0fce-0248-42d8-ba49-91d74573641e		GU State Education Board Member	State Public Education Commissioner	GU State Education Board		2027-01-04		2023-01-02		2026-11-03				https://www.instagram.com/guamdoe/	guamdoe	https://www.facebook.com/DOEGuam/	https://www.gdoe.net/files/user/51/image/Dr_-Ron-McNinch(1).jpg		govguam@gmail.com	501 Mariner Avenue, Barrigada, GU 96913	(671) 300-1536	https://www.gdoe.net/District/Department/19-Guam-Education-Board			755ed048-569f-4826-8d75-91e50bbd408a	Ron L. McNinch	Nonpartisan	Nonpartisan
GU	administrativeArea1	schoolBoard	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	8ceb4d4f-6e29-4ce8-ae05-63f22e05588f		GU State Education Board Member	State Public Education Commissioner	GU State Education Board		2027-01-04		2021-01-04		2026-11-03				https://www.instagram.com/guamdoe/	guamdoe	https://www.facebook.com/DOEGuam/	https://www.gdoe.net/files/public_files/Dr_%20Okada.jpg		mary.okada@guamcc.edu	501 Mariner Avenue, Barrigada, GU 96913	(671) 300-1536	https://www.gdoe.net/District/Department/19-Guam-Education-Board			10fe334f-b475-4f87-a256-27b503c816bd	Mary A.Y. Okada	Nonpartisan	Nonpartisan
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	7422c65a-206e-4ede-bc31-606a8e548e43		GU State Senator	State Senator	GU State Senate		2027-01-04		2025-01-06		2026-11-03				https://www.instagram.com/senatorshellycalvo/			https://guamlegislature.gov/wp-content/uploads/2025/02/SenatorShellyCalvo-711x1024.jpg		officeofsenatorshellycalvo@guamlegislature.gov	Guam Congress Building 163 Chalan Santo Papa Hagåtña, GU 96910	(671) 989-5682	https://guamlegislature.gov/senators-2/			a35d86f0-89a1-4ae5-af8a-a3f1002cc3a0	Shelly Vargas Calvo	Republican Party	Republican Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	3986ecd0-67c0-491e-aab3-6b5c07aad047		GU State Senator	State Senator	GU State Senate		2027-01-04		2025-01-06		2026-11-03				https://www.instagram.com/vicespeakertonyada/		https://www.facebook.com/tonyadaforguam/	https://guamlegislature.gov/wp-content/uploads/2024/12/VAA-819x1024.jpg		vicespeakertonyada@guamlegislature.gov	163 Chalan Santo Papa Hagåtña, GU 96910	(671) 989-0855	https://guamlegislature.gov/senators-2/			f9463b71-1372-4f82-965f-19e18162ead3	V. Anthony Ada	Republican Party	Republican Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	9a979371-9ce9-4292-a580-6e0d00201ecd		GU State Senator	State Senator	GU State Senate		2027-01-04		2023-01-02		2026-11-03		Chris_Barnett_(politician)		https://www.instagram.com/malafunkshun/		https://www.facebook.com/officialmalafunkshun/	https://guamlegislature.gov/wp-content/uploads/2024/12/CMB-819x1024.jpg		malafunkshun@guamlegislature.gov	Calvo Arriola Building 259 Martyr St. Suite 202 Hagåtña, GU 96910	(671) 969-3586	https://guamlegislature.gov/senators-2/			f81b6e05-db61-462f-b533-339dd327712a	"Chris ""Malafunkshun"" Barnett"	Democratic Party	Democratic Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	01951a13-a5f8-4f50-860a-8b6de6f00d08		GU State Senator	State Senator	GU State Senate		2027-01-04		2021-01-01		2026-11-03				https://www.instagram.com/senatorduenas/			https://guamlegislature.gov/wp-content/uploads/2024/12/CMD-819x1024.jpg		senator.duenas@guamlegislature.gov	259 Marytr Street, STE 100, Hagåña, GU 96910	(671) 989-9554	https://guamlegislature.gov/senators-2/			0eba54ba-2fe6-41ac-b459-344063fba202	Christopher M. Duenas	Republican Party	Republican Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	b7fbe0f1-e1c9-40cc-b94e-3e75780e8f2d		GU State Senator	State Senator	GU State Senate		2027-01-04		2025-01-06		2026-11-03				https://www.instagram.com/senatorvinceborja.gu/			https://guamlegislature.gov/wp-content/uploads/2024/12/VAB-819x1024.jpg		vince.borja@guamlegislature.gov	DNA Building 238 Archbishop Flores St. Suite 502 Hagåña, GU 96910	(671) 969-8423	https://guamlegislature.gov/senators-2/			782c4457-5da0-4c7e-b2af-54945df12569	Vincent Anthony V. Borja	Republican Party	Republican Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	bd6874e6-01f7-40d8-a554-f4899319223c		GU State Senator	State Senator	GU State Senate		2027-01-04		2021-01-01		2026-11-03		Frank_F._Blas_Jr		https://www.instagram.com/senatorfrankblasjr/			https://guamlegislature.gov/wp-content/uploads/2024/12/FFB-819x1024.jpg		speakerblas@guamlegislature.gov	Guam Congress Building 163 Chalan Santo Papa Hagåtña, GU 96910	(671) 969-6456	https://guamlegislature.gov/senators-2/			d9faeb42-2bbc-46ac-9614-1075f52c56dc	Frank Blas, Jr.	Republican Party	Republican Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	45ccf69d-5c2d-40a1-9623-f6d12b28b6e5		GU State Senator	State Senator	GU State Senate		2027-01-04		2023-01-02		2026-11-03		Jesse_A._Lujan		https://www.instagram.com/senatorjesselujan/		https://www.facebook.com/jesseandersonlujan/	https://guamlegislature.gov/wp-content/uploads/2024/12/JAL-819x1024.jpg		senator.lujan@guamlegislature.gov	Calvo Arriola Building 259 Martyr St. Suite 101-A Hagåtña, GU 96910	(671) 969-6525	https://guamlegislature.gov/senators-2/			41d2dbd2-1043-4090-b4f4-7d9af3bdae99	Jesse A. Lujan	Republican Party	Republican Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	7f1ee5f5-9630-4de8-b006-fe37a7595853		GU State Senator	State Senator	GU State Senate		2027-01-04		2017-01-01		2026-11-03		Joe_T._San_Agustin		https://www.instagram.com/joessanagustin/	joesanagustin_	https://www.facebook.com/senatorjoessanagustin/	https://guamlegislature.gov/wp-content/uploads/2024/12/JSA-819x1024.jpg		senatorjoessanagustin@gmail.com	Ran Care Bldg., CBU 230, 761 S. Marine Corps Dr, Tamuning, GU 96931	(671) 989-5445	https://guamlegislature.gov/senators-2/			8d3ce77b-4114-4a9d-bb8f-4cafdaaa2b12	Joe S. San Agustin	Democratic Party	Democratic Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	40c4707c-5093-4046-a827-ae54a693f663		GU State Senator	State Senator	GU State Senate		2027-01-04		2025-01-06		2026-11-03				https://www.instagram.com/togetherbrican/			https://guamlegislature.gov/wp-content/uploads/2024/12/SSM-819x1024.jpg		office.senatorbri@guamlegislature.gov	Guam Congress Building 163 Chalan Santo Papa Hagåtña, Guam 96910	(671) 989-2572	https://guamlegislature.gov/senators-2/			ec96d7e0-f484-4808-b020-6c6bcfae6702	Sabrina Salas Matanane	Republican Party	Republican Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	56712794-4d66-4b09-9e4c-039f2eec3640		GU State Senator	State Senator	GU State Senate		2027-01-04		2019-01-01		2026-11-03		Sabina_Perez		https://www.instagram.com/senatorsabinaperez/		https://www.facebook.com/senatorperez.org/	https://guamlegislature.gov/wp-content/uploads/2024/12/SFP-819x1024.jpg		office.senatorperez@guamlegislature.gov	Bell Tower Building Suite 304 710 Marine Corps Dr, Hagåtña, 96910, Guam	(671) 989-2968	https://guamlegislature.gov/senators-2/			d99bf67e-59bb-429c-8b7d-928405ee96c8	Sabina F. Perez	Democratic Party	Democratic Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	1d89341c-1d67-4e47-9f98-915d1597b656		GU State Senator	State Senator	GU State Senate		2027-01-04		2019-01-01		2026-11-03		Telo_T._Taitague		https://www.instagram.com/tellittotelo/		https://www.facebook.com/senatortelottaitague/	https://guamlegislature.gov/wp-content/uploads/2024/12/TTT-819x1024.jpg		senatortelot@gmail.com	DNA Building, STE 407, 238 Archbishop Flores St. Hagåña, GU 96910	(671) 989-8356	https://guamlegislature.gov/senators-2/			34d8a166-c203-49d8-a65b-bd38415032e7	Telo T. Taitague	Republican Party	Republican Party
GU	administrativeArea1	legislatorUpperBody	Guam	ocd-division/country:us/territory:gu	Guam	ocd-division/country:us/territory:gu	2a6630b3-e19d-48d3-81d9-689701c8c4d8		GU State Senator	State Senator	GU State Senate		2027-01-04		2017-01-01		2026-11-03		Therese_M._Terlaje		https://www.instagram.com/thereseterlaje/		https://www.facebook.com/truthforguam/	https://www.instagram.com/tellittotelo/		senatorterlajeguam@gmail.com	Guam Congress Building 163 Chalan Santo Papa, Hagåña, GU 96910	(671) 472-3586	https://guamlegislature.gov/senators-2/			9bf331fe-5d59-4b4e-bdd2-4b35095eba55	Therese M. Terlaje	Democratic Party	Democratic Party
