State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
IA	country	legislatorUpperBody	United States	ocd-division/country:us	Iowa	ocd-division/country:us/state:ia	b4e642b4-bfb4-41f2-9fa5-43930c559ec1		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-02		1981-01-03		2028-11-07	1933-09-17	Chuck_Grassley	https://www.youtube.com/senchuckgrassley	https://www.instagram.com/senatorchuckgrassley/	ChuckGrassley	https://www.facebook.com/grassley	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Chuck_Grassley_official_photo_2017.jpg/220px-Chuck_Grassley_official_photo_2017.jpg	https://www.grassley.senate.gov/contact		135 Hart Senate Office Building, Washington DC 20510	(202) 224-3744	https://www.grassley.senate.gov/			f6fff054-b8f2-4660-bad9-802a8d30fd48	Chuck Grassley	Republican Party	Republican Party
IA	country	legislatorUpperBody	United States	ocd-division/country:us	Iowa	ocd-division/country:us/state:ia	16305f42-5f3a-49c3-8f32-253f6e61d653		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2019-01-03		2026-11-03	1970-07-01	Joni_Ernst	https://www.youtube.com/channel/UCLwrmtF_84FIcK3TyMs4MIw	https://www.instagram.com/senjoniernst/	SenJoniErnst	https://www.facebook.com/senjoniernst	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Joni_Ernst%2C_official_portrait%2C_116th_Congress_2.jpg/220px-Joni_Ernst%2C_official_portrait%2C_116th_Congress_2.jpg	https://www.ernst.senate.gov/contact/email-joni		730 Hart Senate Office Building, Washington DC 20510	(202) 224-3254	https://www.ernst.senate.gov/			fe14019f-227e-44c3-a98b-e15412d29eda	Joni Ernst	Republican Party	Republican Party
IA	country	legislatorLowerBody	United States	ocd-division/country:us	Iowa's 1st congressional district	ocd-division/country:us/state:ia/cd:1	10c4ce7c-f8d7-4668-9866-6628d751683e	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1955-09-06	Mariannette_Miller-Meeks			RepMMM	https://www.facebook.com/RepMMM/	https://millermeeks.house.gov/sites/evo-subsites/millermeeks.house.gov/files/styles/evo_featured_image/public/evo-media-image/Official.jpeg?h=ee85731e&itok=wsnFV2ta	https://millermeeks.house.gov/contact		1034 Longworth House Office Building, Washington, DC 20515	(202) 225-6576	https://millermeeks.house.gov/			db7e0ea1-6c40-4793-aff7-130a7e0553cf	Mariannette Miller-Meeks	Republican Party	Republican Party
IA	country	legislatorLowerBody	United States	ocd-division/country:us	Iowa's 2nd congressional district	ocd-division/country:us/state:ia/cd:2	716f0675-7f81-4c08-ac2d-351256c21f91	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1983-06-27	Ashley_Hinson		https://www.instagram.com/repashleyhinson/	RepAshleyHinson	https://www.facebook.com/RepAshleyHinson	https://pbs.twimg.com/profile_images/1290625465229746177/EGYackRm_400x400.jpg	https://hinson.house.gov/zip_authentication?form=/contact		1717 Longworth House Office Building, Washington, DC 20515	(202) 225-2911	https://hinson.house.gov/			22893b63-7a47-403c-b9bb-3bcbc0a7f34f	Ashley Hinson	Republican Party	Republican Party
IA	country	legislatorLowerBody	United States	ocd-division/country:us	Iowa's 3rd congressional district	ocd-division/country:us/state:ia/cd:3	77e10eab-a5e8-42fc-820c-33316081b3c6	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1979-05-04	Zach_Nunn		https://www.instagram.com/repzachnunn/	ZachNunn	https://www.facebook.com/RepZachNunn/	https://www.legis.iowa.gov/photo?action=getPhoto&ga=88&pid=14803	https://nunn.house.gov/contact		1232 Longworth House Office Building, Washington, DC, 20515	(202) 225-5476	https://nunn.house.gov/			7683cf5e-9ffc-4787-8944-f94b39a8e72b	Zach Nunn	Republican Party	Republican Party
IA	country	legislatorLowerBody	United States	ocd-division/country:us	Iowa's 4th congressional district	ocd-division/country:us/state:ia/cd:4	872918ea-359f-46b4-a9f3-c69247482409	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1969-01-14	Randy_Feenstra			RepFeenstra	https://www.facebook.com/RepFeenstra/	https://www.congress.gov/img/member/f000446_200.jpg	https://feenstra.house.gov/contact		1440 Longworth House Office Building, Washington, DC 20515	(202) 225-4426	https://feenstra.house.gov/			a6cbfea2-b0fb-4481-aa04-c66059c932ee	Randy Feenstra	Republican Party	Republican Party
IA	administrativeArea1	headOfGovernment	Iowa	ocd-division/country:us/state:ia	Iowa	ocd-division/country:us/state:ia	6e99929a-e3da-4e72-b5d6-43121aa3e073		Governor of Iowa	Governor			2027-01-12		2017-05-24		2026-11-03		Kim_Reynolds	https://www.youtube.com/channel/UCmISFMoFOM6fo6PeXdHxGDg		IAGovernor	https://www.facebook.com/IAGovernor	https://governor.iowa.gov/sites/default/files/styles/16_9_499px_x_376px/public/images/2023-01/BB9V0200s.jpg.webp?itok=5ak8zvn_	https://governor.iowa.gov/contact-office-governor		1007 East Grand Ave, Des Moines, Iowa 50319	(515) 281-5211	http://www.governor.iowa.gov/			ec9de56c-26c8-44c4-b549-77738b7317c1	Kim Reynolds	Republican Party	Republican Party
IA	administrativeArea1	governmentOfficer	Iowa	ocd-division/country:us/state:ia	Iowa	ocd-division/country:us/state:ia	2431b146-0f00-4e74-b60e-078abda77afb		IA Secretary of State	Secretary of State			2027-01-01		2015-01-01		2026-11-03		Paul_Pate	https://www.youtube.com/channel/UCIeockCHC47J2xvZDfgTmew	https://www.instagram.com/iowasecretaryofstatepaulpate/	IowaSOS	https://www.facebook.com/IASecretaryofState	https://sos.iowa.gov/img/Pate.png		sos@sos.iowa.gov	1007 E Grand Ave, Rm 105, Des Moines, IA 50319	(515) 242-5952	https://sos.iowa.gov/			1e334733-a7fb-403c-8503-619ae785c47f	Paul D. Pate	Republican Party	Republican Party
IA	administrativeArea1	governmentOfficer	Iowa	ocd-division/country:us/state:ia	Iowa	ocd-division/country:us/state:ia	a8b9a2e3-bddf-4568-b892-6a0183b7d2bd		IA State Attorney General	Attorney General			2027-01-01		2023-01-01		2026-11-03		Brenna_Bird	https://www.youtube.com/user/AGIowa		AGIowa	https://www.facebook.com/AGIowa/	https://www.iowaattorneygeneral.gov/media/cms/Miller_Tom_HiRes_AFF77453079F3.jpg		webteam@ag.iowa.gov	Hoover State Office Building, 1305 E. Walnut Street, Des Moines IA 50319	(515) 281-5164	https://www.iowaattorneygeneral.gov/			a6bda214-dcb7-4cb2-b521-eecea25e383d	Brenna Bird	Republican Party	Republican Party
IA	administrativeArea1	governmentOfficer	Iowa	ocd-division/country:us/state:ia	Iowa	ocd-division/country:us/state:ia	551d4ff4-5e51-4335-b7b0-2385df9ceb5a		IA State Auditor	State Auditor			2027-01-01		2019-01-02		2026-11-03		Rob_Sand	https://www.youtube.com/channel/UCKnbdKIVHHRwr-a7YEPHOfw		iastateauditor	https://www.facebook.com/IowaStateAuditor	https://www.iowa.gov/sites/default/files/styles/promo_image_528x384/public/images/2022-12/Rob%20Sand.jpg.webp?itok=DyfYhnVO		info@auditor.state.ia.us	1007 E Grand Ave, Rm 111, Des Moines, IA 50319	(515) 281-5834	https://www.stateauditor.iowa.gov/			e318804f-f3f7-4f22-a759-f1191165d09e	Rob Sand	Democratic Party	Democratic Party
