State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
IL	country	legislatorUpperBody	United States	ocd-division/country:us	Illinois	ocd-division/country:us/state:il	64bce438-af1d-4983-8443-c71fe01b06af		U.S. Senator	U.S. Senator	U.S. Senate		2028-12-05		2017-01-03		2028-11-07		Tammy_Duckworth	https://www.youtube.com/SenDuckworth	https://www.instagram.com/SenDuckworth/	SenDuckworth	https://www.facebook.com/SenDuckworth	https://www.duckworth.senate.gov/imo/media/image/Official_Portrait_2017.jpg	https://www.duckworth.senate.gov/help/email-tammy		524 Hart Senate Office Building, Washington DC 20510	(202) 224-2854	https://www.duckworth.senate.gov/			4e90fbca-577d-48c6-a4b0-c9e4b3f62b7b	Tammy Duckworth	Democratic Party	Democratic Party
IL	country	legislatorUpperBody	United States	ocd-division/country:us	Illinois	ocd-division/country:us/state:il	e0341018-a3dd-4531-aa07-6f136c27c15f		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		1997-01-03		2026-11-03	1944-11-21	Dick_Durbin	https://www.youtube.com/user/SenatorDurbin		SenatorDurbin	https://www.facebook.com/SenatorDurbin	https://www.durbin.senate.gov/imo/media/image/durbin1.jpg	https://www.durbin.senate.gov/contact/email				https://www.durbin.senate.gov/			68cc949c-05a6-41ba-9ac1-fce9a36f3254	Dick Durbin	Democratic Party	Democratic Party
IL	country	legislatorLowerBody	United States	ocd-division/country:us	Illinois's 1st congressional district	ocd-division/country:us/state:il/cd:1	4847c47f-be96-4c70-8209-f4d9d95a8842	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1966-01-07	Jonathan_Jackson_(activist)		https://www.instagram.com/repjackson	rep_jackson	https://www.facebook.com/repjackson	https://jonathanjackson.house.gov/sites/evo-subsites/jonathanjackson.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/2022-12-02_ike_jackson_jonathan_0026_re_select.jpg?itok=kY1yYCJ6	https://jonathanjacksonforms.house.gov/contact/		1632 Longworth House Office Building, Washington, DC 20515-1301	(202) 225-4372	https://jonathanjackson.house.gov/			1b4f7f5f-3595-4e01-a083-0b2e77e9b369	Jonathan L. Jackson	Democratic Party	Democratic Party
IL	country	legislatorLowerBody	United States	ocd-division/country:us	Illinois's 10th congressional district	ocd-division/country:us/state:il/cd:10	242497c1-a173-4f32-b203-b0cea396efe8	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1961-08-20	Brad_Schneider	https://www.youtube.com/user/RepBradSchneider	https://www.instagram.com/repschneider/	RepSchneider	https://www.facebook.com/CongressmanBradSchneider/	https://schneider.house.gov/sites/evo-subsites/schneider.house.gov/files/styles/large/public/evo-media-image/Brad%20Schneider%20-%20IL-10.jpeg?itok=Kh68QIPS	https://schneider.house.gov/address_authentication?form=/contact/email-me		300 Cannon House Office Building, Washington, DC 20515-1310	(202) 225-4835	https://schneider.house.gov/			41cd2d1e-0c5e-4d74-a397-52f81c4e9fe9	Brad Schneider	Democratic Party	Democratic Party
IL	country	legislatorLowerBody	United States	ocd-division/country:us	Illinois's 11th congressional district	ocd-division/country:us/state:il/cd:11	d0076e59-376c-4048-8633-2a13be398028	District 11	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1955-10-07	Bill_Foster_(Illinois_politician)	https://www.youtube.com/user/RepBillFoster	https://www.instagram.com/repbillfoster	RepBillFoster	https://www.facebook.com/CongressmanBillFoster	https://foster.house.gov/sites/evo-subsites/foster.house.gov/files/evo-media-image/foster-photo-1.3.13_0_0.jpg	https://foster.house.gov/address_authentication?form=/contact/email-me		2366 Rayburn House Office Building, Washington, DC 20515-1311	(202) 225-3515	https://foster.house.gov/			06ed0edb-a417-4de5-8d99-4c018a927a90	Bill Foster	Democratic Party	Democratic Party
IL	country	legislatorLowerBody	United States	ocd-division/country:us	Illinois's 12th congressional district	ocd-division/country:us/state:il/cd:12	5e15b761-7136-4f4c-916b-608e26a62694	District 12	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1960-12-30	Mike_Bost	https://www.youtube.com/channel/UCYA1psY06vSf3QadHuCrmjQ		RepBost	https://www.facebook.com/RepBost/	https://bost.house.gov/?a=Files.Serve&File_id=16A16549-5229-4CE1-A6D0-B9507C3719E8	https://bost.house.gov/contact		352 Cannon House Office Building, Washington, DC 20515	(202) 225-5661	https://bost.house.gov/			1107dd1c-dd1f-4ada-bf8a-57050cf07666	Mike Bost	Republican Party	Republican Party
IL	country	legislatorLowerBody	United States	ocd-division/country:us	Illinois's 13th congressional district	ocd-division/country:us/state:il/cd:13	dd008260-c39e-4477-95fd-3591e7949782	District 13	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1977-03-11	Nikki_Budzinski	https://www.youtube.com/channel/UCp0Ykb-qUGx3ekTH9MIEK-w	https://www.instagram.com/repnikki/	RepNikkiB	https://www.facebook.com/RepNikkiBudzinski	https://d12t4t5x3vyizu.cloudfront.net/budzinski.house.gov/uploads/2023/01/Rep.-Budzinski-Official-Photo-Square.jpg	https://budzinski.house.gov/contact		1717 Longworth House Office Building, Washington, DC 20515	(202) 225-2371	https://budzinski.house.gov/			e41054fe-1317-4984-8971-41ef27bdeb39	Nikki Budzinski	Democratic Party	Democratic Party
IL	country	legislatorLowerBody	United States	ocd-division/country:us	Illinois's 14th congressional district	ocd-division/country:us/state:il/cd:14	74c4639e-7c50-4fb9-84b1-f09fca017969	District 14	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1986-10-04	Lauren_Underwood	https://www.youtube.com/channel/UC48cu-KUdMVWRCx7ValQySQ?view_as=subscriber	https://www.instagram.com/repunderwood/	RepUnderwood	https://www.facebook.com/repunderwood/	http://underwood.house.gov/sites/evo-subsites/underwood-evo.house.gov/files/Lauren_Underwood_official_portrait.jpg	https://underwood.house.gov/contact		2228 Rayburn House Office Building, Washington, DC 20515	(202) 225-2976	https://underwood.house.gov/			4059eb8a-8381-48f0-8193-06157a1b8215	Lauren Underwood	Democratic Party	Democratic Party
IL	country	legislatorLowerBody	United States	ocd-division/country:us	Illinois's 15th congressional district	ocd-division/country:us/state:il/cd:15	e255e217-337e-4fb8-9fa6-3bd4b00db545	District 15	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1959-08-27	Mary_Miller_(politician)		https://www.instagram.com/RepMaryMiller/	RepMaryMiller	https://www.facebook.com/RepMaryMiller	https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/d/b7/db7be022-b121-53d5-a5a9-96b37a2ff0f2/5ff5d95c5ab7a.image.jpg?resize=1200%2C800	https://marymiller.house.gov/contact		1740 Longworth House Office Building, Washington, DC 20515	(202) 225-5271	https://marymiller.house.gov/			65951aa9-ba94-4fe7-bd32-475398720d45	Mary Miller	Republican Party	Republican Party
IL	country	legislatorLowerBody	United States	ocd-division/country:us	Illinois's 16th congressional district	ocd-division/country:us/state:il/cd:16	93cf3602-ab87-4062-a0dc-0b6a69ae7a37	District 16	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-06-02		2026-11-03	1968-07-05	Darin_LaHood	https://www.youtube.com/channel/UCVRbtFwaBGcixZIkygtalRw		RepLaHood	https://www.facebook.com/replahood/	https://lahood.house.gov/index.cfm?a=Files.Serve&File_id=957054BE-F821-41A5-8150-A50E30B127B7	https://lahood.house.gov/contact		503 Cannon House Office Building, Washington, DC 20515	(202) 225-6201	https://lahood.house.gov/			ac7b4ac0-f9b4-4495-86c9-c890051d2162	Darin LaHood	Republican Party	Republican Party
