State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
KY	country	legislatorUpperBody	United States	ocd-division/country:us	Kentucky	ocd-division/country:us/state:ky	2e7a0703-2630-419d-9be6-85321030af7f		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2011-01-03		2028-11-07	1963-01-07	Rand_Paul	https://www.youtube.com/c/SenatorRandPaulKY	https://www.instagram.com/senatorrandpaul	SenRandPaul	https://www.facebook.com/SenatorRandPaul	https://upload.wikimedia.org/wikipedia/commons/7/78/Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate.jpg	https://www.paul.senate.gov/connect/		167 Russell Senate Office Building, Washington DC 20510	(202) 224-4343	https://www.paul.senate.gov/			807c2480-5a88-4221-88da-629b71dfc645	Rand Paul	Republican Party	Republican Party
KY	country	legislatorUpperBody	United States	ocd-division/country:us	Kentucky	ocd-division/country:us/state:ky	38d8f8a1-e8f3-43dc-8574-e7cb403f0ca3		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		1985-01-03		2026-11-03	1942-02-20	Mitch_McConnell	https://www.youtube.com/RepublicanLeader	https://www.instagram.com/mcconnellpress/	McConnellPress	https://www.facebook.com/mitchmcconnell	https://www.mcconnell.senate.gov/public/_cache/files/f7f93eac-e952-4668-adcc-68f0d6f68d97/A5194C0A9E8289298EA76D246F9F9A31.2016-official-photo---cropped-homepage-featured-carousel.jpg	https://www.mcconnell.senate.gov/public/index.cfm/contactform		317 Russell Senate Office Building, Washington DC 20510	(202) 224-2541	https://www.mcconnell.senate.gov/			281deb02-21ca-4267-bc0a-c4cb09efbed9	Mitch McConnell	Republican Party	Republican Party
KY	country	legislatorLowerBody	United States	ocd-division/country:us	Kentucky's 1st congressional district	ocd-division/country:us/state:ky/cd:1	63aa02d4-7eff-471c-9678-92976c4d5efa	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2016-11-14		2026-11-03	1972-08-19	James_Comer_(politician)		https://www.instagram.com/congressmancomer/	RepJamesComer	https://www.facebook.com/CongressmanComer/	https://upload.wikimedia.org/wikipedia/commons/6/6f/Rep._James_Comer_%28long_cropped%29.jpg	https://comer.house.gov/email		2410 Rayburn House Office Building, Washington, DC 20515	(202) 225-3115	https://comer.house.gov/			f3b547d3-9336-4cc6-a508-0e8a56f274db	James Comer	Republican Party	Republican Party
KY	country	legislatorLowerBody	United States	ocd-division/country:us	Kentucky's 2nd congressional district	ocd-division/country:us/state:ky/cd:2	dfcb3c67-7d42-4a33-a178-d107317f66a5	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2009-01-03		2026-11-03	1964-02-18	Brett_Guthrie	https://www.youtube.com/user/BrettGuthrie	https://www.instagram.com/repguthrie/	RepGuthrie	https://www.facebook.com/CongressmanGuthrie	https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Brett_Guthrie%2C_Official_Photo.jpg/500px-Brett_Guthrie%2C_Official_Photo.jpg	https://guthrie.house.gov/contact/		2161 Rayburn House Office Building, Washington, DC 20515	(202) 225-3501	https://guthrie.house.gov/			25caa9d4-5d61-4471-b869-4111f15ad184	Brett Guthrie	Republican Party	Republican Party
KY	country	legislatorLowerBody	United States	ocd-division/country:us	Kentucky's 3rd congressional district	ocd-division/country:us/state:ky/cd:3	6c6923b7-f6d7-4f77-941c-d860c8ad92d7	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1979-12-23	Morgan_McGarvey		https://www.instagram.com/repmcgarvey/	RepMcGarvey	https://www.facebook.com/RepMcGarvey	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Rep._Morgan_McGarvey_-_118th_Congress_%28cropped2%29.jpg/500px-Rep._Morgan_McGarvey_-_118th_Congress_%28cropped2%29.jpg	https://mcgarvey.house.gov/contact/email-me		1527 Longworth House Office Building, Washington, DC 20515	(202) 225-5401	https://mcgarvey.house.gov/		repmcgarvey	94deca0f-b3e5-495d-821b-835954e57b73	Morgan McGarvey	Democratic Party	Democratic Party
KY	country	legislatorLowerBody	United States	ocd-division/country:us	Kentucky's 4th congressional district	ocd-division/country:us/state:ky/cd:4	092dd1ce-7b93-4866-bcde-a49fc19b8898	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2012-11-13		2026-11-03	1971-01-13	Thomas_Massie	https://www.youtube.com/@RepThomasMassie	https://www.instagram.com/repthomasmassie/	RepThomasMassie	https://www.facebook.com/RepThomasMassie	https://upload.wikimedia.org/wikipedia/commons/0/09/Thomas_Massie_official_portrait%2C_2022.jpg	https://massie.house.gov/contact/		2371 Rayburn House Office Building, Washington, DC 20515	(202) 225-3465	https://massie.house.gov/			e9c37910-4bb5-4030-bb4e-30338eac2b6a	Thomas Massie	Republican Party	Republican Party
KY	country	legislatorLowerBody	United States	ocd-division/country:us	Kentucky's 5th congressional district	ocd-division/country:us/state:ky/cd:5	167b4e40-eead-4e6e-9de8-d22e0e4808d9	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1981-01-03		2026-11-03	1937-12-31	Hal_Rogers		https://www.instagram.com/rephalrogers/	RepHalRogers	https://www.facebook.com/CongressmanHalRogers	https://upload.wikimedia.org/wikipedia/commons/b/bf/Hal_Rogers_116th_Congress.jpg	https://halrogers.house.gov/email		2406 Rayburn House Office Building, Washington, DC 20515	(202) 225-4601	https://halrogers.house.gov/			b7e7a755-1878-4789-ab4e-54a1a3b11ff9	Harold Rogers	Republican Party	Republican Party
KY	country	legislatorLowerBody	United States	ocd-division/country:us	Kentucky's 6th congressional district	ocd-division/country:us/state:ky/cd:6	59f8b0e8-7dc9-4538-a416-8d40247d66e4	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2013-01-03		2026-11-03	1973-07-24	Andy_Barr_(American_politician)	https://www.youtube.com/repandybarr	https://www.instagram.com/RepAndyBarr/	RepAndyBarr	https://www.facebook.com/RepAndyBarr	https://upload.wikimedia.org/wikipedia/commons/9/94/Andy_Barr_official_congressional_photo.jpg	https://barr.house.gov/email-me		2430 Rayburn House Office Building, Washington, DC 20515	(202) 225-4706	https://barr.house.gov/			cfb6acfe-f4c7-406e-b2d8-63d8ae5db513	Andy Barr	Republican Party	Republican Party
KY	administrativeArea1	headOfGovernment	Kentucky	ocd-division/country:us/state:ky	Kentucky	ocd-division/country:us/state:ky	b0c259d4-95f4-4b0b-82d6-14f96c81efe6		Governor of Kentucky	Governor			2027-12-07		2019-12-10		2027-11-02	1977-11-29	Andy_Beshear	https://www.youtube.com/GovAndyBeshear	https://www.instagram.com/governorandybeshear/	GovAndyBeshear	https://www.facebook.com/GovAndyBeshear/	https://governor.ky.gov/PublishingImages/Governor-Beshear_Official-Picture.jpg	https://governor.ky.gov/Contact-Us/Pages/Contact-Us.aspx		700 Capitol Ave, Suite 100, Frankfort, KY 40601	(502) 564-2611	https://governor.ky.gov/		govandybeshear	5de2ac38-c066-4eba-a7cb-bcd26ecec1c4	Andy Beshear	Democratic Party	Democratic Party
KY	administrativeArea1	governmentOfficer	Kentucky	ocd-division/country:us/state:ky	Kentucky	ocd-division/country:us/state:ky	cd724fb9-2f0f-4f50-a415-4d07b86ab88a		KY Secretary of State	Secretary of State			2028-01-03		2020-01-06		2027-11-02	1976-03-27	Michael_Adams_(Kentucky_politician)	https://www.youtube.com/@kentuckysecretaryofstatemi3719/	https://www.instagram.com/ky_secofstate	KYSecState	https://www.facebook.com/KySecofState/	https://www.sos.ky.gov/sos-office/PublishingImages/Michael%20Adams%20homepage.jpg	https://www.sos.ky.gov/pages/contact.aspx		700 Capital Ave, Suite 152, Frankfort, KY 40601	(502) 564-3490	https://www.sos.ky.gov/Pages/default.aspx			dccc293c-d8ee-4e6f-831c-a3357f38bad0	Michael G. Adams	Republican Party	Republican Party
