State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
MD	country	legislatorUpperBody	United States	ocd-division/country:us	Maryland	ocd-division/country:us/state:md	32c11cdd-967e-4478-9c6f-937e72a4edeb		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2025-01-03		2030-11-05	1971-02-23	Angela_Alsobrooks		https://www.instagram.com/sen_alsobrooks/	Sen_Alsobrooks	https://www.facebook.com/SenatorAlsobrooks	https://upload.wikimedia.org/wikipedia/commons/3/34/Angela_Alsobrooks_at_a_committee_hearing_%28cropped%29.jpg	https://www.alsobrooks.senate.gov/share-your-opinion/		SD-B40E Dirksen Senate Office Building, Washington, DC 20510	(202) 224-4524	https://www.alsobrooks.senate.gov/		sen_alsobrooks	1ecbcfc3-beb4-48db-9499-911aa815d3f4	Angela Alsobrooks	Democratic Party	Democratic Party
MD	country	legislatorUpperBody	United States	ocd-division/country:us	Maryland	ocd-division/country:us/state:md	e4e39850-559c-41f1-b80c-5666a3b948df		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2017-01-03		2028-11-07	1959-01-10	Chris_Van_Hollen	https://www.youtube.com/@senatorvanhollen	https://www.instagram.com/chrisvanhollen/	ChrisVanHollen	https://www.facebook.com/chrisvanhollen/	https://www.vanhollen.senate.gov/imo/media/image/official_photo.jpg	https://www.vanhollen.senate.gov/contact/email		110 Hart Senate Office Building, Washington DC 20510	(202) 224-4654	https://www.vanhollen.senate.gov/			ee9759ae-c447-4bf6-9a18-b194e1e52271	Chris Van Hollen	Democratic Party	Democratic Party
MD	country	legislatorLowerBody	United States	ocd-division/country:us	Maryland's 1st congressional district	ocd-division/country:us/state:md/cd:1	ccb7154a-cdea-4fbb-8594-51e8e744ec26	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2011-01-03		2026-11-03	1957-01-25	Andy_Harris_(politician)	https://www.youtube.com/user/RepAndyHarris	https://www.instagram.com/rep.harris/	RepAndyHarrisMD	https://www.facebook.com/AndyHarrisMD	https://upload.wikimedia.org/wikipedia/commons/0/08/Andy_Harris_115th_Congress_%28cropped%29.jpg	https://harris.house.gov/address_authentication?form=/contact		1536 Longworth House Office Building, Washington, DC 20515	(202) 225-5311	https://harris.house.gov/		rep.harris	9c919795-854e-44b6-8581-4bc565618d40	Andy Harris	Republican Party	Republican Party
MD	country	legislatorLowerBody	United States	ocd-division/country:us	Maryland's 2nd congressional district	ocd-division/country:us/state:md/cd:2	fc8cc733-e88e-4531-b117-19e23e0a2e12	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1982-09-10	Johnny_Olszewski_(politician)	https://www.youtube.com/@CongressmanJohnnyOlszewski/	https://www.instagram.com/repjohnnyo/	RepJohnnyO	https://www.facebook.com/RepJohnnyOlszewski	https://upload.wikimedia.org/wikipedia/commons/6/66/Johnny_Olszewski_119th_congress.jpg	https://olszewski.house.gov/address_authentication?form=/contact/email-me		1339 Longworth House Office Building, Washington, DC 20515	(202) 225-3061	https://olszewski.house.gov/		repjohnnyo	01f870f9-7322-43ec-ba5e-e8cc8c59b15b	Johnny Olszewski	Democratic Party	Democratic Party
MD	country	legislatorLowerBody	United States	ocd-division/country:us	Maryland's 3rd congressional district	ocd-division/country:us/state:md/cd:3	02501142-d090-4d28-a236-311197643f92	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1988-09-09	Sarah_Elfreth	https://www.youtube.com/@CongresswomanSarahElfreth	https://www.instagram.com/repsarahelfreth	RepSarahElfreth	https://www.facebook.com/RepSarahElfreth/	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Representative_Sarah_Elfreth_Official_Portrait.jpg/500px-Representative_Sarah_Elfreth_Official_Portrait.jpg	https://elfreth.house.gov/address_authentication?form=/contact/email-me		1213 Longworth House Office Building, Washington, DC 20515	(202) 225-4016	https://elfreth.house.gov/			8f1a9ed3-7981-4d7f-abc5-ca1ace48d8c1	Sarah Elfreth	Democratic Party	Democratic Party
MD	country	legislatorLowerBody	United States	ocd-division/country:us	Maryland's 4th congressional district	ocd-division/country:us/state:md/cd:4	51650167-0d0d-4018-a57a-263d111ed13d	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1961-02-27	Glenn_Ivey	https://www.youtube.com/@RepGlennIvey	https://www.instagram.com/repglennivey/	RepGlennIvey	https://www.facebook.com/RepGlennIvey	https://upload.wikimedia.org/wikipedia/commons/e/e1/Rep._Glenn_Ivey_official_portrait%2C_118th_Congress.jpg	https://ivey.house.gov/address_authentication?form=/contact		1610 Longworth House Office Building, Washington, DC 20515	(202) 225-8699	https://ivey.house.gov/		repglennivey	d1506aec-e860-44b8-bc72-95084506fd55	Glenn F. Ivey	Democratic Party	Democratic Party
MD	country	legislatorLowerBody	United States	ocd-division/country:us	Maryland's 5th congressional district	ocd-division/country:us/state:md/cd:5	7f940c4c-cb92-413f-aaef-7bda483cb4f3	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1981-05-19		2026-11-03	1939-06-14	Steny_Hoyer		https://www.instagram.com/leaderhoyer/	RepStenyHoyer	https://www.facebook.com/RepStenyHoyer	https://upload.wikimedia.org/wikipedia/commons/7/73/Steny_Hoyer_116th_Congress.jpg	https://hoyer.house.gov/address_authentication?form=/help/contact		1705 Longworth House Office Building, Washington, DC 20515	(202) 225-4131	https://hoyer.house.gov/			f1cb979b-f2be-48b6-9e6a-cae77366709c	Steny Hoyer	Democratic Party	Democratic Party
MD	country	legislatorLowerBody	United States	ocd-division/country:us	Maryland's 6th congressional district	ocd-division/country:us/state:md/cd:6	07b14857-4a4e-4199-9b39-6c6a944a3e85	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1964-05-28	April_McClain_Delaney		https://www.instagram.com/repaprildelaney	RepAprilDelaney	https://www.facebook.com/RepAprilDelaney	https://upload.wikimedia.org/wikipedia/commons/3/30/Rep._April_McClain_Delaney_Official_Portrait.jpg	https://mcclaindelaney.house.gov/address_authentication?form=/contact/email-me		1130 Longworth House Office Building, Washington, DC 20515	(202) 225-2721	https://mcclaindelaney.house.gov/			5dbeb161-d06b-406e-8910-e9906fe949b0	April McClain Delaney	Democratic Party	Democratic Party
MD	country	legislatorLowerBody	United States	ocd-division/country:us	Maryland's 7th congressional district	ocd-division/country:us/state:md/cd:7	fd94935c-91fd-4fbc-9e66-ab5883380254	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2020-05-05		2026-11-03	1948-10-24	Kweisi_Mfume	https://www.youtube.com/@repkweisimfume8242	https://www.instagram.com/repkweisimfume/	RepKweisiMfume	https://www.facebook.com/RepKweisiMfume	https://upload.wikimedia.org/wikipedia/commons/f/fd/Maryland_Congressman_Kweisi_Mfume%2C_117th_Congress.jpg	https://mfume.house.gov/address_authentication?form=/contact/email-me		2263 Rayburn House Office Building, Washington, DC 20515	(202) 225-4741	https://mfume.house.gov/			4d80a324-775d-44cc-ba36-135719fa382c	Kweisi Mfume	Democratic Party	Democratic Party
MD	country	legislatorLowerBody	United States	ocd-division/country:us	Maryland's 8th congressional district	ocd-division/country:us/state:md/cd:8	ffd7021d-8bb5-41ab-988b-c0971d28f520	District 8	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-01-03		2026-11-03	1962-12-13	Jamie_Raskin	https://www.youtube.com/RepRaskin	https://www.instagram.com/repraskin/	RepRaskin	https://www.facebook.com/RepRaskin/	https://upload.wikimedia.org/wikipedia/commons/9/9b/Jamie_Raskin_Official_Portrait_2019.jpg	https://raskin.house.gov/email-jamie		2242 Rayburn House Office Building, Washington, DC 20515-2008	(202) 225-5341	https://raskin.house.gov/		repraskin	b21fa185-3843-421a-969b-6ca7af053f1d	Jamie Raskin	Democratic Party	Democratic Party
