State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
ME	country	legislatorUpperBody	United States	ocd-division/country:us	Maine	ocd-division/country:us/state:me	36e06210-92c7-4c10-bd8f-15c4f356652b		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2025-01-03		2030-11-05	1944-03-31	Angus_King	https://www.youtube.com/user/senatorangusking	https://www.instagram.com/anguskingmaine/	SenAngusKing	https://www.facebook.com/SenatorAngusSKingJr	https://www.congress.gov/img/member/k000383_200.jpg	https://www.king.senate.gov/contact		133 Hart Senate Office Building, Washington DC 20510	(202) 224-5344	https://www.king.senate.gov/			2f454691-10a3-4b7e-91b3-43b443ff1bdf	Angus S. King, Jr.	Unaffiliated	Unaffiliated
ME	country	legislatorUpperBody	United States	ocd-division/country:us	Maine	ocd-division/country:us/state:me	44a9f952-a649-46de-8216-507ee04a464f		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		1997-01-03		2026-11-03	1952-12-07	Susan_Collins	https://www.youtube.com/user/SenatorSusanCollins	https://www.instagram.com/sensusancollins/	SenatorCollins	https://www.facebook.com/susancollins	https://www.collins.senate.gov/imo/media/image/senator_collins_smiling_in_blue.png	https://www.collins.senate.gov/contact/email-senator-collins		413 Dirksen Senate Office Building, Washington DC 20510	(202) 224-2523	https://www.collins.senate.gov/			db1d5e0e-9350-4871-adec-c4f59e222ebe	Susan M. Collins	Republican Party	Republican Party
ME	country	legislatorLowerBody	United States	ocd-division/country:us	Maine's 1st congressional district	ocd-division/country:us/state:me/cd:1	c097b78a-b87f-4cea-b1d0-4977aa070c99	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2009-01-03		2026-11-03	1955-04-02	Chellie_Pingree	https://www.youtube.com/user/CongresswomanPingree	https://www.instagram.com/chelliepingree/	chelliepingree	https://www.facebook.com/ChelliePingree	https://pingree.house.gov/images/cp_portrait_2023.jpg	https://pingree.house.gov/contact/contactform.htm		2354 Rayburn House Office Building, Washington, DC 20515-1901	(202) 225-6116	https://pingree.house.gov/			62154604-b81b-4ed1-b5f8-57d13c0f7db8	Chellie Pingree	Democratic Party	Democratic Party
ME	country	legislatorLowerBody	United States	ocd-division/country:us	Maine's 2nd congressional district	ocd-division/country:us/state:me/cd:2	5ac5dc02-dae4-4290-b7b9-1aafaa2349ad	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1982-07-25	Jared_Golden		https://www.instagram.com/repgolden/	repgolden	https://www.facebook.com/RepGolden/	https://www.congress.gov/img/member/g000592_200.jpg	https://golden.house.gov/address_authentication?form=/contact		1107 Longworth House Office Building, Washington, DC 20515-1902	(202) 225-6306	https://golden.house.gov/			9c406a71-6835-4d53-adc8-b9c95a52faf4	Jared Golden	Democratic Party	Democratic Party
ME	administrativeArea1	headOfGovernment	Maine	ocd-division/country:us/state:me	Maine	ocd-division/country:us/state:me	4bad34a0-0103-4ed9-9e2b-7ecf376c38a6		Governor of Maine	Governor			2027-01-06		2019-01-02		2026-11-03	1948-10-09	Janet_Mills		https://www.instagram.com/governorjanetmills/	GovJanetMills	https://www.facebook.com/GovernorJanetMills/	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Maine_congressional_delegation_meets_with_Gov_Janet_Mills_%28cropped%29.jpg/220px-Maine_congressional_delegation_meets_with_Gov_Janet_Mills_%28cropped%29.jpg	https://www.maine.gov/governor/mills/index.php/contact/share-your-opinion	governor@maine.gov	1 State House Station, Augusta, ME 04333	(800) 423-2900	https://www.maine.gov/governor/mills/			bca158a3-2727-4c17-9aa2-dc10d395191c	Janet Mills	Democratic Party	Democratic Party
ME	administrativeArea1	legislatorLowerBody	Maine	ocd-division/country:us/state:me	Maine State House district 1	ocd-division/country:us/state:me/sldl:1	127c0911-2dc4-4d68-98b9-6598c6331377	District 1	ME State Representative	State Representative	ME State House		2026-12-01		2024-12-04		2026-11-03							https://legislature.maine.gov/house/house/Repository/MemberProfiles/834a7b36-8074-466c-b489-a7e7894105ed_Daigle-2024.jpg		lucien.daigle@legislature.maine.gov	House Minority Office, Room 332, State House, 2 State House Station, Augusta, Maine 04333-0002	(207) 834-6259	https://legislature.maine.gov/house/house/memberprofiles/Details/3106			098e9505-6829-4527-825b-c797fa387488	Lucien J.B. Daigle	Republican Party	Republican Party
ME	administrativeArea1	legislatorLowerBody	Maine	ocd-division/country:us/state:me	Maine State House district 10	ocd-division/country:us/state:me/sldl:10	f4761da1-8540-4237-8399-dba6ec8e764a	District 10	ME State Representative	State Representative	ME State House		2026-12-01		2024-12-04		2026-11-03						https://www.facebook.com/wthd139/	https://mainelegislature.org/house/house/Repository/MemberProfiles/359c0f24-8550-4e4a-b28d-6d2d0384c3db_tuelwr[1].jpg		william.tuell@legislature.maine.gov	House Minority Office, Room 332, State House, 2 State House Station, Augusta, Maine 04333-0002	(207) 271-8521	https://mainelegislature.org/house/house/MemberProfiles/Details/49			59998b2d-dad2-45fb-970d-06f420f952f9	William R. Tuell	Republican Party	Republican Party
ME	administrativeArea1	legislatorLowerBody	Maine	ocd-division/country:us/state:me	Maine State House district 100	ocd-division/country:us/state:me/sldl:100	74690da2-a76d-4ad6-9677-95a8218dd678	District 100	ME State Representative	State Representative	ME State House		2026-12-01		2022-12-07		2026-11-03		Daniel_Ankeles		https://www.instagram.com/danankeles/		https://www.facebook.com/repdanankeles/	https://legislature.maine.gov/house/house/Repository/MemberProfiles/4ce09159-182e-48aa-93cb-0c127b0abe7c_ANKELES.jpg		daniel.ankeles@legislature.maine.gov	House Majority Office, Room 333, State House, 2 State House Station, Augusta, Maine 04333-0002	(207) 756-3793	https://legislature.maine.gov/house/house/MemberProfiles/Details/1495			c93ec07b-5517-4930-8fe3-d9f67018f97e	Daniel J. Ankeles	Democratic Party	Democratic Party
ME	administrativeArea1	legislatorLowerBody	Maine	ocd-division/country:us/state:me	Maine State House district 101	ocd-division/country:us/state:me/sldl:101	89332ad2-8f19-46a4-a53d-5556075ac580	District 101	ME State Representative	State Representative	ME State House		2026-12-01		2022-12-07		2026-11-03						https://www.facebook.com/Poppy4StateRep/	https://legislature.maine.gov/housedems/arfordp/pic/Arford2022.jpg		poppy.arford@legislature.maine.gov	House Majority Office, Room 333, State House, 2 State House Station, Augusta, Maine 04333-0002	(207) 522-1997	https://legislature.maine.gov/house/house/MemberProfiles/Details/1421			91a1137f-479c-490d-b72a-4966eb077f09	Poppy T. Arford	Democratic Party	Democratic Party
ME	administrativeArea1	legislatorLowerBody	Maine	ocd-division/country:us/state:me	Maine State House district 102	ocd-division/country:us/state:me/sldl:102	591b0bc3-2e0e-4104-97a5-b120ced1493a	District 102	ME State Representative	State Representative	ME State House		2026-12-01		2024-12-04		2026-11-03		Melanie_Sachs		https://www.instagram.com/repmelaniesachs/		https://www.facebook.com/RepMelanieSachs/	https://legislature.maine.gov/house/house/Repository/MemberProfiles/6119e868-352a-4f32-82c6-547a9d13e60f_MSACHS.jpg		melanie.sachs@legislature.maine.gov	House Majority Office, Room 333, State House, 2 State House Station, Augusta, Maine 04333-0002	(207) 299-6825	https://legislature.maine.gov/house/house/MemberProfiles/Details/1420			cf5b18eb-d8f6-4afd-911f-b224b08a0379	Melanie Fleming Sachs	Democratic Party	Democratic Party
