State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
MP	country	legislatorLowerBody	United States	ocd-division/country:us	Northern Mariana Islands	ocd-division/country:us/territory:mp	87ee3a99-0ac6-498e-b0e0-6ea2222a70a2		Delegate to the U.S. House of Representatives	U.S. Representative	U.S. House of Representatives		2027-01-11		2025-01-13		2026-11-03	1975-04-10	Kimberlyn_King-Hinds	https://www.youtube.com/@RepKimberlynKing-Hinds	https://www.instagram.com/RepKimKingHinds/	RepKimKingHinds	https://www.facebook.com/profile.php?id=61571529818077	https://king-hinds.house.gov/sites/evo-subsites/king-hinds.house.gov/files/styles/large/public/evo-media-image/2024-11-14_ike_king-hinds_kimberlyn_0001_re_select.jpg.webp?itok=G3QxWHfZ	https://king-hinds.house.gov/address_authentication?form=/contact/email-me		425 Cannon House Office Building Washington, DC 20515	(202) 225-2646	https://king-hinds.house.gov/			4632190b-aa31-46f1-a4bf-73c554ca09e0	Kimberlyn Kay King-Hinds	Republican Party	Republican Party
MP	administrativeArea1	governmentOfficer	Northern Mariana Islands	ocd-division/country:us/territory:mp	Northern Mariana Islands	ocd-division/country:us/territory:mp	4273c117-9f2b-480e-8da1-41181da3f5a6		CNMI Attorney General	Attorney General			2027-01-11		2015-01-12		2026-11-03		Edward_Manibusan					https://i2.wp.com/www.cnmioag.org/wp-content/uploads/AG-Picture-Annual-Report.jpg?w=683&ssl=1	https://www.cnmioag.org/contact-us/		Caller Box 10007, Saipan, MP 96950	(670) 237-7500	https://www.cnmioag.org/			a4f9d2e2-0ca9-4368-8621-a1091c296525	Edward E. Manibusan	Nonpartisan	Nonpartisan
MP	administrativeArea1	schoolBoard	Northern Mariana Islands	ocd-division/country:us/territory:mp	Northern Mariana Islands	ocd-division/country:us/territory:mp	fab74140-ee33-48e4-976f-818061bf13fd	District 2	CNMI State Board of Education Member	State Public Education Commissioner	CNMI State Board of Education		2027-01-11		2020-11-02		2026-11-03							https://www.cnmipss.org/sites/default/files/boe_tinian_member_antonio_borja_official_head_shot_.jpg		boe.borja@cnmipss.org	P.O. Box 501370 CK, Saipan, MP 96950	(670) 664-3711	https://www.cnmipss.org/state-boe-board-members			26c384bf-f604-464c-a1f5-28c794c0c393	Antonio L. Borja	Nonpartisan	Nonpartisan
MP	administrativeArea1	schoolBoard	Northern Mariana Islands	ocd-division/country:us/territory:mp	Northern Mariana Islands	ocd-division/country:us/territory:mp	d2b75f40-76c6-4e73-88d3-8bea92cc6374	District 1	CNMI State Board of Education Member	State Public Education Commissioner	CNMI State Board of Education		2029-01-08		2025-01-13		2028-11-07							https://www.cnmipss.org/sites/default/files/anthony_dela_cruz_barcinas.jpg		boe.abarcinas@cnmipss.org	P.O. Box 501370 CK, Saipan, MP 96950	(670) 237-3027	https://www.cnmipss.org/state-boe-board-members			ae58fc0b-6ced-4f62-af6d-7557cd518381	Anthony Dela Cruz Barcinas	Nonpartisan	Nonpartisan
MP	administrativeArea1	schoolBoard	Northern Mariana Islands	ocd-division/country:us/territory:mp	Northern Mariana Islands	ocd-division/country:us/territory:mp	e3859464-067d-48fe-b88d-a1080a6a6257	District 3	CNMI State Board of Education Member	State Public Education Commissioner	CNMI State Board of Education		2029-01-08		2021-01-11		2028-11-07							https://www.cnmipss.org/sites/default/files/board_member_maisie_tenorio_official_head_shot.jpg		boe.mbtenorio@cnmipss.org	P.O. Box 501370 CK, Saipan, MP 96950	(670) 237-3027	https://www.cnmipss.org/state-boe-board-members			67ac7ed9-5591-4c81-a5df-a97fbfb86adc	Maisie B. Tenorio	Nonpartisan	Nonpartisan
MP	administrativeArea1	schoolBoard	Northern Mariana Islands	ocd-division/country:us/territory:mp	Northern Mariana Islands	ocd-division/country:us/territory:mp	f51cad68-a4d3-46ce-a8e5-1a8f6eb7252a	District 3	CNMI State Board of Education Member	State Public Education Commissioner	CNMI State Board of Education		2029-01-08		2025-01-13		2028-11-07							https://www.cnmipss.org/sites/default/files/aschumar_kodep_ogumoro-uludong.jpg		boe.kodep@cnmipss.org	P.O. Box 501370 CK, Saipan, MP 96950	(670) 237-3027	https://www.cnmipss.org/state-boe-board-members			f2d2069f-7b22-4545-bdd1-e822b276d325	Aschumar Kodep Ogumoro-Uludong	Nonpartisan	Nonpartisan
MP	administrativeArea1	schoolBoard	Northern Mariana Islands	ocd-division/country:us/territory:mp	Northern Mariana Islands	ocd-division/country:us/territory:mp	a5dc805d-6946-43cb-bc4d-edadf4fd0091	District 3	CNMI State Board of Education Member	State Public Education Commissioner	CNMI State Board of Education		2027-01-11				2026-11-03							https://www.cnmipss.org/sites/default/files/boe_chairman_andrew_l._orsini_official_head_shot_.jpg		boe.orsini@cnmipss.org	P.O. Box 501370 CK, Saipan, MP 96950	(670) 664-3711	https://www.cnmipss.org/state-boe-board-members			b18f7b55-43d8-412b-a759-8a587191f372	Andrew L. Orsini	Nonpartisan	Nonpartisan
MP	administrativeArea1	headOfGovernment	Northern Mariana Islands	ocd-division/country:us/territory:mp	Northern Mariana Islands	ocd-division/country:us/territory:mp	db5205b0-bca3-472e-ba57-cb44ea2c08f2		Governor of Northern Mariana Islands	Governor			2027-01-11		2025-07-24		2026-11-03	1948-07-10	David_M._Apatang		https://www.instagram.com/governorcnmi/		https://www.facebook.com/cnmigovernor/	https://governor.cnmi.gov/gov_content/uploads/2025/08/Gov-David-M-Apatang-scaled.jpg			Caller Box 10007, Saipan, MP 96950	(670) 237-2200	https://governor.cnmi.gov/			13c35c7c-5ec1-4ddc-a05d-c626507be3d2	David M. Apatang	Unaffiliated	Unaffiliated
MP	administrativeArea1	deputyHeadOfGovernment	Northern Mariana Islands	ocd-division/country:us/territory:mp	Northern Mariana Islands	ocd-division/country:us/territory:mp	fe992214-c7b8-434c-9a30-e11eee6c541d		Lieutenant Governor of Northern Mariana Islands	Lieutenant Governor			2027-01-11		2025-07-24		2026-11-03		Dennis_C._Mendiola				https://www.facebook.com/dennis.c.mendiola/	https://governor.cnmi.gov/gov_content/uploads/2025/08/Lt-Gov-Dennis-C-Mendiola-236x300.jpg			Caller Box 10007, Saipan, MP 96950	(670) 237-2200	https://governor.cnmi.gov/lt-gov-office/		ltgovernor_dennismendiola	3643132a-f993-41ac-8cc9-d82870515b9f	Dennis James C. Mendiola	Republican Party	Republican Party
MP	administrativeArea1	highestCourtJudge	Northern Mariana Islands	ocd-division/country:us/territory:mp	Northern Mariana Islands	ocd-division/country:us/territory:mp	1830e5fa-2576-44de-8358-5ad590b73e5a		MP Supreme Court Justice	State Supreme Court Justice	MP Supreme Court		2029-01-08				2028-11-07											(670) 236-9715	https://www.nmijudiciary.gov/supremecourt			8f24923b-aed4-45ee-bc5f-1d7ad98fb534	Perry Borja Inos	Nonpartisan	Nonpartisan
