State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
MS	country	legislatorUpperBody	United States	ocd-division/country:us	Mississippi	ocd-division/country:us/state:ms	7c539ae7-aff9-4be7-947f-71f10e6de834		U.S. Senator	U.S. Senator	U.S. Senate		1931-01-03		2007-12-31		2030-11-05	1951-07-05	Roger_Wicker	https://www.youtube.com/@SenatorWicker	https://www.instagram.com/senatorwicker/	SenatorWicker	https://www.facebook.com/SenatorWicker	https://www.wicker.senate.gov/services/files/381A9126-64C7-4F97-8ABE-C7E8C2A74AB4	https://www.wicker.senate.gov/email-me		425 Russell Senate Office Building, 2 Constitution Ave NE, Washington DC 20510	(202) 224-6253	https://www.wicker.senate.gov/			5de412b3-ffc7-47a8-bb2a-a213d2633ffe	Roger Wicker	Republican Party	Republican Party
MS	country	legislatorUpperBody	United States	ocd-division/country:us	Mississippi	ocd-division/country:us/state:ms	8287901e-f029-485d-9f95-2a6df637ff2e		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2018-04-09		2026-11-03	1959-05-10	Cindy_Hyde-Smith	https://www.youtube.com/channel/UCJHxkJhGST0NTlkzJHWV03Q	https://www.instagram.com/sencindyhydesmith/	SenHydeSmith	https://www.facebook.com/SenatorCindyHydeSmith/	https://www.congress.gov/img/member/h001079_200.jpg	https://www.hydesmith.senate.gov/contact-senator		702 Hart Senate Office Building, 120 Constitution Ave NE, Washington DC 20510	(202) 224-5054	https://www.hydesmith.senate.gov/			9187b6cb-f31b-4aa1-8d52-182c74ff3994	Cindy Hyde-Smith	Republican Party	Republican Party
MS	country	legislatorLowerBody	United States	ocd-division/country:us	Mississippi's 1st congressional district	ocd-division/country:us/state:ms/cd:1	f7bdd758-6eae-47c8-8f1e-265522f241a8	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-06-02		2026-11-03	1966-03-01	Trent_Kelly	https://www.youtube.com/channel/UCtDrz-8tdg4ZgOAQHToSWaQ	https://www.instagram.com/reptrentkelly/	RepTrentKelly	https://www.facebook.com/RepTrentKelly/	https://pbs.twimg.com/profile_images/1215315784903352320/GgqL5x8j_400x400.jpg	https://trentkelly.house.gov/contact/		2243 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-2401	(202) 225-4306	https://trentkelly.house.gov/			6aa006ad-b531-44d3-a8ae-93c28376f1ed	Trent Kelly	Republican Party	Republican Party
MS	country	legislatorLowerBody	United States	ocd-division/country:us	Mississippi's 2nd congressional district	ocd-division/country:us/state:ms/cd:2	7920f288-0e24-4956-a2f4-6c1dfe0e64f7	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1993-04-13		2026-11-03	1948-01-28	Bennie_Thompson		https://www.instagram.com/benniegthompson/	BennieGThompson	https://www.facebook.com/CongressmanBennieGThompson/	https://benniethompson.house.gov/sites/evo-subsites/benniethompson.house.gov/files/evo-media-image/2023bgtheadshot.jpg	https://benniethompson.house.gov/address_authentication?form=/contact/email		2466 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-2402	(202) 225-5876	https://benniethompson.house.gov/			15ce0ec0-51b0-4cab-9037-d23767cf80eb	Bennie Thompson	Democratic Party	Democratic Party
MS	country	legislatorLowerBody	United States	ocd-division/country:us	Mississippi's 3rd congressional district	ocd-division/country:us/state:ms/cd:3	44ba332c-91c5-4dd3-81ba-e356fa9005e0	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1970-02-04	Michael_Guest_(politician)	https://www.youtube.com/channel/UCJ4U1a5lhZ93e2tlI8aB_tg	https://www.instagram.com/repmichaelguest/	RepMichaelGuest	https://www.facebook.com/RepMichaelGuest	https://guest.house.gov/sites/evo-subsites/guest.house.gov/files/styles/large/public/wysiwyg_uploaded/Official%20Member%20Headshot%20-%20Rep.%20Michael%20Guest%20%28MS-03%29.jpg?itok=-VMYVSQ0	https://guest.house.gov/contact		450 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-2403	(202) 225-5031	https://guest.house.gov/			18ddb4dd-64b6-4c64-a80d-7a6c9702a5f6	Michael Guest	Republican Party	Republican Party
MS	country	legislatorLowerBody	United States	ocd-division/country:us	Mississippi's 4th congressional district	ocd-division/country:us/state:ms/cd:4	bfeda2be-1830-47ca-b71a-2838150eb264	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1959-04-06	Mike_Ezell	https://www.youtube.com/@repezell	https://www.instagram.com/repmikeezell/	RepEzell	https://www.facebook.com/RepEzell/	https://ezell.house.gov/images/headshot.jpg	https://ezell.house.gov/contact/		443 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-2403	(202) 225-5772	https://ezell.house.gov/		repmikeezell	856c260a-6953-4d84-99aa-3e7261ca58e6	Mike Ezell	Republican Party	Republican Party
MS	administrativeArea1	headOfGovernment	Mississippi	ocd-division/country:us/state:ms	Mississippi	ocd-division/country:us/state:ms	70c0a1fe-9d55-488c-bf6c-523dd9487be9		Governor of Mississippi	Governor			2028-01-04		2020-01-14		2027-11-02	1974-06-05	Tate_Reeves		https://www.instagram.com/tatereeves/	tatereeves	https://www.facebook.com/tatereeves/	https://governorreeves.ms.gov/wp-content/uploads/headshot-governor-tate-reeves_R.jpg		governor@govreeves.ms.gov	550 High St, Sillers Building, 19th Floor, Jackson, MS 39201	(601) 359-3150	https://governorreeves.ms.gov/			74ed017c-0a9f-46ac-859d-68c74d9d7317	Tate Reeves	Republican Party	Republican Party
MS	administrativeArea1	deputyHeadOfGovernment	Mississippi	ocd-division/country:us/state:ms	Mississippi	ocd-division/country:us/state:ms	15772c5b-faed-4fd7-843b-aa1ec5527ce0		Lieutenant Governor of Mississippi	Lieutenant Governor			2028-01-04		2020-01-09		2027-11-02	1947-06-30	Delbert_Hosemann		https://www.instagram.com/delberthosemann/	DelbertHosemann	https://www.facebook.com/DelbertHosemann/	https://ltgovhosemann.ms.gov/wp-content/uploads/2020/01/CDH-Bench-3-11.1.17-1.jpg		ltgov@senate.ms.gov	P.O. Box 1018, Jackson, MS 39215	(601) 359-3200	https://ltgovhosemann.ms.gov/			72220fdd-f497-4838-9d8c-a01da252e8dc	Delbert Hosemann	Republican Party	Republican Party
MS	administrativeArea1	governmentOfficer	Mississippi	ocd-division/country:us/state:ms	Mississippi	ocd-division/country:us/state:ms	dcd67154-1ad9-4579-affe-3cf1acfcefeb		MS Secretary of State	Secretary of State			2028-01-04		2020-01-09		2027-11-02	1977-12-22	Michael_Watson_(Mississippi_politician)	https://www.youtube.com/channel/UCPJ9PEfgCj4ljWXjutV_d1g	https://www.instagram.com/Mississippi_SOS	MississippiSOS	https://www.facebook.com/MississippiSecretaryofState	https://www.sos.ms.gov/Content/Images/About%20Us/MSSecretaryMichaelWatsonOfficialHeadshot.JPG	https://www.sos.ms.gov/contact-us	secretary@sos.ms.gov	401 Mississippi St, Jackson, MS 39201	(601) 359-1350	https://www.sos.ms.gov/			bfb41dcd-5206-4c74-9e75-a1d982c9bc6d	Michael Watson	Republican Party	Republican Party
MS	administrativeArea1	governmentOfficer	Mississippi	ocd-division/country:us/state:ms	Mississippi	ocd-division/country:us/state:ms	945e9f8c-ef9d-4b8f-a7b7-2a8f4eea97f6		MS State Attorney General	Attorney General			2028-01-04		2020-01-09		2027-11-02	1961-10-05	Lynn_Fitch	https://www.youtube.com/channel/UCQrSWmj7K84XHMifSUo4Lmg	https://www.instagram.com/lynnfitchag/	LynnFitchAG	https://www.facebook.com/lynnfitchag/	https://attorneygenerallynnfitch.com/wp-content/uploads/2024/02/AG-Fitch-headshot.pdf	https://attorneygenerallynnfitch.com/contact/	lynnfitchnews@ago.ms.gov	P.O. Box 220, Jackson MS 39205	(601) 359-3680	https://attorneygenerallynnfitch.com/			09520077-f575-484f-ba24-6c11d8fdef37	Lynn Fitch	Republican Party	Republican Party
MS	administrativeArea1	governmentOfficer	Mississippi	ocd-division/country:us/state:ms	Mississippi	ocd-division/country:us/state:ms	58ae532e-c272-4e3e-8e10-b6ad3cd38f7d		MS State Auditor	State Auditor			2028-01-04		2018-07-01		2027-11-02	1968-07-12	Shad_White	https://www.youtube.com/channel/UCR05N4zMYdI_1R-1CFm2Flw		MSStateAuditor	https://www.facebook.com/msstateauditor	https://sp-ao.shortpixel.ai/client/q_lossless,ret_img,w_1365/https://shadwhite.com/wp-content/uploads/2023/06/2X2A8952-1365x2048.jpg		auditor@osa.ms.gov	PO Box 956, Jackson, MS 39205-0956	(601) 576-2800	https://www.osa.state.ms.us/			74d52124-2286-44f1-b9fe-e6999eac4c7e	Shad White	Republican Party	Republican Party
MS	administrativeArea1	governmentOfficer	Mississippi	ocd-division/country:us/state:ms	Mississippi	ocd-division/country:us/state:ms	1e6b84a1-9358-4375-a469-a1ef8ea863ff		MS State Commissioner of Agriculture	State Agriculture Commissioner			2028-01-04		2018-03-29		2027-11-02	1976-12-21	Andy_Gipson					https://www.mdac.ms.gov/wp-content/uploads/AndyGipson2023photo-240x300.jpg			P.O. Box 1609, Jackson, MS 39215	(601) 359-1100	https://www.mdac.ms.gov/			ada73bcf-7c30-4983-838d-0b234d09e1c0	Andy Gipson	Republican Party	Republican Party
