State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
MT	country	legislatorUpperBody	United States	ocd-division/country:us	Montana	ocd-division/country:us/state:mt	be4f015f-2116-49ab-889a-04ce0f2ce64b		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2015-01-03		2026-11-03	1962-08-20	Steve_Daines	https://www.youtube.com/user/SteveDainesMT	https://www.instagram.com/stevedaines	SteveDaines	https://www.facebook.com/SteveDainesMT/	https://www.daines.senate.gov/wp-content/uploads/2022/09/DainesOfficialPortrait-768x973.jpg	https://www.daines.senate.gov/contact/		320 Hart Senate Office Building, Washington DC 20510	(202) 224-2651	https://www.daines.senate.gov/			ab864606-c131-45db-90ab-d86076ed7bb7	Steve Daines	Republican Party	Republican Party
MT	country	legislatorUpperBody	United States	ocd-division/country:us	Montana	ocd-division/country:us/state:mt	90ce6bdf-dc6b-4912-99b8-4812b3e0a077		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2025-01-03		2030-11-05	1985-11-18	Tim_Sheehy		https://www.instagram.com/TimSheehyMT		https://www.facebook.com/sheehyformt/	https://www.sheehy.senate.gov/wp-content/uploads/2024/12/TSOfficialPortrait-240x300.jpg	https://www.sheehy.senate.gov/contact/		SD-G55 Dirksen Senate Office Building, 50 Constitution Ave NE, Washington, DC 20510	(202) 224-2644	https://www.sheehy.senate.gov/		timsheehymt	6329f42b-556c-4825-9bd4-47dbefec53c9	Tim Sheehy	Republican Party	Republican Party
MT	country	legislatorLowerBody	United States	ocd-division/country:us	Montana's 1st congressional district	ocd-division/country:us/state:mt/cd:1	9ee43941-417b-4e07-b95e-d55f465514bc	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1961-11-01	Ryan_Zinke		https://www.instagram.com/RepRyanZinke/	RepRyanZinke		https://zinke.house.gov/sites/evo-subsites/zinke.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/rep_zinke_ryan_official.jpg?itok=lUjfe-sf	https://zinke.house.gov/address_authentication?form=/contact		512 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-5628	https://zinke.house.gov/			bd840398-d197-4b15-a03f-42ba09044f10	Ryan K. Zinke	Republican Party	Republican Party
MT	country	legislatorLowerBody	United States	ocd-division/country:us	Montana's 2nd congressional district	ocd-division/country:us/state:mt/cd:2	50ab9bb3-df00-4dda-beeb-a6b5da0593c0	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1967-03-04	Troy_Downing	https://www.youtube.com/@RepDowning	https://www.instagram.com/reptroydowning/	RepTroyDowning	https://www.facebook.com/reptroydowning	https://downing.house.gov/sites/evo-subsites/downing.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/2024-11-15_ike_downing_troy_0008_re_web.jpg?itok=45ldIeuU	https://downing.house.gov/contact		1529 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-3211	https://downing.house.gov/			195f5b84-e9d8-4492-b538-a0385018f406	Troy Downing	Republican Party	Republican Party
MT	administrativeArea1	headOfGovernment	Montana	ocd-division/country:us/state:mt	Montana	ocd-division/country:us/state:mt	e91c1b15-7b28-4608-bf45-4e0d3b75b581		Governor of Montana	Governor			2029-01-02		2021-01-04		2028-11-07		Greg_Gianforte	https://www.youtube.com/channel/UCjM0pgRPk5g1Q6TNBe3VapQ	https://www.instagram.com/govgianforte/	GovGianforte	https://www.facebook.com/GovGianforte/	https://governor.mt.gov/_images/portrait_gianforte.jpg		governor@mt.gov	P.O. Box 200801, Helena, MT 59620	(406) 444-3111	https://governor.mt.gov/			835bbfc7-0c08-460c-b3b8-ace399e16a81	Greg Gianforte	Republican Party	Republican Party
MT	administrativeArea1	deputyHeadOfGovernment	Montana	ocd-division/country:us/state:mt	Montana	ocd-division/country:us/state:mt	b6f67c1f-1a2b-4af7-9621-56a6980355f3		Lieutenant Governor of Montana	Lieutenant Governor			2029-01-02		2021-01-04		2028-11-07		Kristen_Juras				https://www.facebook.com/LtGovMikeCooney/	https://governor.mt.gov/_images/portrait_juras.jpg		kristen.juras@mt.gov	PO Box 200801, Helena, MT 59620-0801	(406) 444-5665	https://governor.mt.gov/About/LieutenantGovernor			dd7166c7-ec0d-49c8-9001-f408aa09f5f9	Kristen Juras	Republican Party	Republican Party
MT	administrativeArea1	governmentOfficer	Montana	ocd-division/country:us/state:mt	Montana	ocd-division/country:us/state:mt	a2284b6c-8fae-429f-80d2-07b985077465		MT Clerk of the Supreme Court	State Court Clerk			2031-01-07		2025-01-06		2030-11-05							https://courts.mt.gov/external/Images/Greenwood_official.jpg?ver=2019-06-11-165337-470	https://courts.mt.gov/contact		P.O. Box 203003, Helena, MT 59620-3003	(406) 444-3858	https://courts.mt.gov/clerk/			27913666-819b-49ef-9674-9c8d3a332ef7	Bowen Greenwood	Republican Party	Republican Party
MT	administrativeArea1	governmentOfficer	Montana	ocd-division/country:us/state:mt	Montana	ocd-division/country:us/state:mt	39c938c4-30f0-4e26-983a-5b102de5d465		MT Secretary of State	Secretary of State			2029-01-02		2021-01-04		2028-11-07		Christi_Jacobsen			MTSecofState	https://www.facebook.com/MTSecretaryofState/	https://sosmt.gov/wp-content/uploads/SecretaryChristiJacobsenFlag-sml-896x1024.webp		soselections@mt.gov	P.O. Box 202801, Helena, MT 59620	(406) 444-2034	https://sosmt.gov/			d1ac6dec-c2e3-4c69-b2b4-9e773777b94e	Christi Jacobsen	Republican Party	Republican Party
MT	administrativeArea1	governmentOfficer	Montana	ocd-division/country:us/state:mt	Montana	ocd-division/country:us/state:mt	d34b8c53-2d72-47da-87f7-dc6d467ae4c0		MT State Attorney General	Attorney General			2029-01-02		2021-01-04		2028-11-07		Austin_Knudsen			mtagknudsen	https://www.facebook.com/AGAustinKnudsen	https://dojmt.gov/wp-content/uploads/2024/01/austin-knudsen-400x400.webp		contactdoj@mt.gov	P.O. Box 201401, Helena, MT 59620-1401	(406) 444-2026	https://dojmt.gov/attorney-generals-office/			2042e5ac-6a5c-4cc3-b458-3c4cf2c94dd8	Austin Knudsen	Republican Party	Republican Party
MT	administrativeArea1	governmentOfficer	Montana	ocd-division/country:us/state:mt	Montana	ocd-division/country:us/state:mt	1a9db8e5-cd23-4106-baaf-665b019c0fd0		MT State Auditor	State Auditor			2029-01-02		2025-01-06		2028-11-07		James_Brown_(Montana_politician)	https://www.youtube.com/user/mtcsi	https://www.instagram.com/commissionerjamesbrown/	BrownCSIMT	https://www.facebook.com/profile.php?id=61571370132767	https://csimt.gov/wp-content/uploads/2025/01/Brown-DSC_0919_cropped-1930x2048.jpg		csi@mt.gov	840 Helena Avenue, Helena, MT 59601	(406) 444-2040	http://csimt.gov/			36f44471-cd2c-4e21-a725-eb73c00c3311	James Brown	Republican Party	Republican Party
