State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
ND	country	legislatorLowerBody	United States	ocd-division/country:us	North Dakota	ocd-division/country:us/state:nd	eaff845f-b244-493b-bf75-8956871969a1		U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Julie_Fedorchak			RepFedorchak		https://fedorchak.house.gov/sites/evo-subsites/fedorchak.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/2024-11-18_ike_fedorchak_julie_0040_re_web_0.jpg	https://fedorchak.house.gov/contact/email-me		1607 Longworth House Office Building, Washington, DC 20515	(202) 225-2611	https://fedorchak.house.gov/			2b997614-234d-4a08-9526-8eb35f6f00d4	Julie Fedorchak	Republican Party	Republican Party
ND	country	legislatorUpperBody	United States	ocd-division/country:us	North Dakota	ocd-division/country:us/state:nd	1010542b-03e5-49ac-ae0e-77c503973877		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2011-01-03		2028-11-07	1957-03-13	John_Hoeven	https://www.youtube.com/channel/UC1kQIC2Q_Fq9_NRqdb6eHiw	https://www.instagram.com/senjohnhoeven/	SenJohnHoeven	https://www.facebook.com/SenatorJohnHoeven	https://www.hoeven.senate.gov/imo/media/image/hoeven-official-portrait.jpg	https://www.hoeven.senate.gov/contact/contact-the-senator		338 Russell Senate Office Building, Washington DC 20510	(202) 224-2551	https://www.hoeven.senate.gov/			82b8814e-50d4-424d-8624-a68a30ec478b	John Hoeven	Republican Party	Republican Party
ND	country	legislatorUpperBody	United States	ocd-division/country:us	North Dakota	ocd-division/country:us/state:nd	73be3aef-add0-49e0-a6d0-0914fd48f622		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2019-01-03		2030-11-05	1961-01-21	Kevin_Cramer	https://www.youtube.com/@Senkevincramer	https://www.instagram.com/senatorkevincramer/	SenKevinCramer	https://www.facebook.com/SenatorKevinCramer/	https://www.cramer.senate.gov/imo/media/image/official_photo2_media_cropped.jpg	https://www.cramer.senate.gov/contact/contact-kevin		313 Hart Senate Office Building, Washington DC 20510	(202) 224-2043	https://www.cramer.senate.gov/			37644930-5652-4214-86ac-1cbc45842286	Kevin Cramer	Republican Party	Republican Party
ND	administrativeArea1	headOfGovernment	North Dakota	ocd-division/country:us/state:nd	North Dakota	ocd-division/country:us/state:nd	e87f063b-9fe0-4e33-8a9d-c31823119ed3		Governor of North Dakota	Governor			2028-12-15		2024-12-15		2028-11-07		Kelly_Armstrong	https://www.youtube.com/@GovKellyArmstrong		GovArmstrong	https://www.facebook.com/GovKellyArmstrong	https://www.governor.nd.gov/sites/www/files/documents/portraits/GovernorArmstrong.jpg	https://www.governor.nd.gov/contact	governor@nd.gov	600 East Boulevard Avenue, Bismarck, ND 58505-0001	(701) 328-2200	https://www.governor.nd.gov/			0084c89e-037e-4b50-ba55-5b1184315c36	Kelly Armstrong	Republican Party	Republican Party
ND	administrativeArea1	deputyHeadOfGovernment	North Dakota	ocd-division/country:us/state:nd	North Dakota	ocd-division/country:us/state:nd	a0b2e080-a238-4b12-af17-db267f735c37		Lieutenant Governor of North Dakota	Lieutenant Governor			2028-12-15		2024-12-15		2028-11-07		Michelle_Strinden			ltgovstrinden	https://www.facebook.com/ltgovmichellestrinden	https://www.governor.nd.gov/sites/www/files/documents/portraits/Michelle%20Headshot%20.jpg	https://www.governor.nd.gov/contact		600 East Boulevard Avenue, Bismarck, ND 58505-0001	(701) 328-2200	https://www.governor.nd.gov/lt-governor-michelle-strinden			9c8871a0-ff1f-421d-be1b-8ab024f20a06	Michelle Strinden	Republican Party	Republican Party
ND	administrativeArea1	governmentOfficer	North Dakota	ocd-division/country:us/state:nd	North Dakota	ocd-division/country:us/state:nd	7a940478-c489-463e-8967-946a381deb21		ND Secretary of State	Secretary of State			2027-01-01		2023-01-01		2026-11-03		Michael_Howe_(politician)				https://www.facebook.com/NDSOS	https://sos.nd.gov/files/images/michael-howe-2023.jpg	https://sos.nd.gov/office-secretary-state/contact-us.html		600 E Boulevard Avenue Dept 108 Bismarck ND 58505-0500	(701) 328-2900	https://sos.nd.gov/			04b6a7d2-4a27-44b4-8b3b-4cea1214dd41	Michael Howe	Republican Party	Republican Party
ND	administrativeArea1	governmentOfficer	North Dakota	ocd-division/country:us/state:nd	North Dakota	ocd-division/country:us/state:nd	ae7bc56f-dcc3-4926-b82c-1a4f550293c8		ND State Agriculture Commissioner	State Agriculture Commissioner			2027-01-01		2009-04-06		2026-11-03		Doug_Goehring	https://www.youtube.com/user/ndagriculture		NDagriculture	https://www.facebook.com/NDagriculture/	https://www.nd.gov/ndda/sites/default/files/default_images/Doug%20Goehring%202010%20300dpi.jpg		ndda@nd.gov	600 E. Boulevard Avenue, Dept. 602, Bismarck, ND 58505-0020	(701) 328-4754	https://www.ndda.nd.gov/			8f871d4e-af40-44c7-9951-cf5b6fc162cf	Doug Goehring	Republican Party	Republican Party
ND	administrativeArea1	governmentOfficer	North Dakota	ocd-division/country:us/state:nd	North Dakota	ocd-division/country:us/state:nd	c372e75b-9f75-4075-8eff-a08fcaf0a0e5		ND State Attorney General	Attorney General			2027-01-01		2022-02-09		2026-11-03	1965-10-10	Drew_Wrigley			DrewWrigley		https://attorneygeneral.nd.gov/sites/ag/files/documents/AG%20Wrigley_2341-warm%20(1).jpg	https://attorneygeneral.nd.gov/attorney-generals-office/email-attorney-general-0		600 E. Boulevard Ave., Dept. 125, Bismarck, ND 58505	(701) 328-2210	https://attorneygeneral.nd.gov/			af66aa33-f4af-402b-a6ba-45ed0cf83508	Drew Wrigley	Republican Party	Republican Party
ND	administrativeArea1	governmentOfficer	North Dakota	ocd-division/country:us/state:nd	North Dakota	ocd-division/country:us/state:nd	edacf1bb-a893-48ef-b17e-6972226d8b48		ND State Auditor	State Auditor			2029-01-01		2017-01-01		2028-11-07	1979-03-19	Josh_Gallion	https://www.youtube.com/@NDStateAuditor			https://www.facebook.com/NDStateAuditor/	https://www.nd.gov/auditor/sites/www/files/documents/josh.jpg	https://www.nd.gov/auditor/contact	ndsao@nd.gov	600 East Boulevard Avenue, Dept. 117, Bismarck, ND 58505	(701) 328-2241	https://www.nd.gov/auditor/			d0f767b3-c83a-4ae9-8af5-db9c177a7b6f	Joshua C. Gallion	Republican Party	Republican Party
ND	administrativeArea1	governmentOfficer	North Dakota	ocd-division/country:us/state:nd	North Dakota	ocd-division/country:us/state:nd	ac632ee6-1a8a-4815-bef8-bad7edcece4c		ND State Insurance Commissioner	State Insurance Commissioner			2029-01-01		2017-01-03		2028-11-07		Jon_Godfread	https://www.youtube.com/@NDInsuranceDept	https://www.instagram.com/ndinsurancedepartment/	NDID	https://www.facebook.com/NDInsuranceDepartment	https://www.insurance.nd.gov/sites/www/files/documents/Communications/Insurance%20Commissioner%20Jon%20Godfread.jpg	https://www.insurance.nd.gov/contact	insurance@nd.gov	600 East Boulevard Avenue, Bismarck, ND 58505-0320	(701) 328-2440	https://www.insurance.nd.gov/			a7cc14b1-4673-4295-a21f-49cdf860eb1c	Jon Godfread	Republican Party	Republican Party
