State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
NE	country	legislatorUpperBody	United States	ocd-division/country:us	Nebraska	ocd-division/country:us/state:ne	44b38630-7e25-40f3-ae53-3b0ba10256d5		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2023-01-23	2024-11-05	2026-11-03	1964-08-19	Pete_Ricketts	https://www.youtube.com/@SenatorRicketts	https://www.instagram.com/senatorricketts/	SenatorRicketts	https://www.facebook.com/SenatorRicketts	https://www.ricketts.senate.gov/wp-content/uploads/2023/02/Ricketts_NEW_Initial.jpg	https://www.ricketts.senate.gov/share-your-opinion/		40D Dirksen Senate Office Building Washington, DC 20510	(202) 224-4224	https://www.ricketts.senate.gov/			04b25355-887c-485e-bbcd-d32bce18eab6	Pete Ricketts	Republican Party	Republican Party
NE	country	legislatorUpperBody	United States	ocd-division/country:us	Nebraska	ocd-division/country:us/state:ne	290b2c0d-38c2-44e6-971a-1a62e5b4227d		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2013-01-03		2030-11-05	1951-03-01	Deb_Fischer	https://www.youtube.com/@SenatorDebFischer	https://www.instagram.com/senatorfischer/	SenatorFischer	https://www.facebook.com/senatordebfischer	https://www.fischer.senate.gov/public/_cache/files/c3ef1241-a4be-45f3-bcc7-b23349c037c4/senator-fischer-official-headshot-1200.jpg	https://www.fischer.senate.gov/public/?p=email-deb		448 Russell Senate Office Building, Washington, DC 20510	(202) 224-6551	https://www.fischer.senate.gov/			67d5c7e6-918f-44a3-9209-88fb60004940	Deb Fischer	Republican Party	Republican Party
NE	country	legislatorLowerBody	United States	ocd-division/country:us	Nebraska's 1st congressional district	ocd-division/country:us/state:ne/cd:1	ebde6f38-bdaa-442d-b8de-0a55358ba71d	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2022-07-12		2026-11-03	1975-02-23	Mike_Flood_(politician)	https://www.youtube.com/@rep.mikeflood1795	https://www.instagram.com/usrepmikeflood/	USRepMikeFlood	https://www.facebook.com/RepMikeFlood	https://flood.house.gov/sites/evo-subsites/flood.house.gov/files/styles/large/public/evo-media-image/2024-12-18_IKE_0263.jpg	https://flood.house.gov/contact		343 Cannon House Office Building, Washington, DC 20515	(202) 225-4806	https://flood.house.gov/			034dd39f-b0ca-4b19-9674-ab9f7e336e8e	Mike Flood	Republican Party	Republican Party
NE	country	legislatorLowerBody	United States	ocd-division/country:us	Nebraska's 2nd congressional district	ocd-division/country:us/state:ne/cd:2	fafa6830-dc59-4eb3-8fe6-9beff8052c1e	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-01-03		2026-11-03	1963-08-16	Don_Bacon_(politician)	https://www.youtube.com/@RepDonBacon	https://www.instagram.com/RepDonBacon/	RepDonBacon	https://www.facebook.com/RepDonBacon/	https://clerk.house.gov/images/members/B001298.jpg	https://bacon.house.gov/contact/		2104 Rayburn House Office Building, Washington, DC 20515	(202) 225-4155	https://bacon.house.gov/			bd6800a6-6a3b-492b-9637-dc590523ddde	Don Bacon	Republican Party	Republican Party
NE	country	legislatorLowerBody	United States	ocd-division/country:us	Nebraska's 3rd congressional district	ocd-division/country:us/state:ne/cd:3	531990b5-1ee4-407e-9f70-22afd0eccb81	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2007-01-03		2026-11-03	1970-12-19	Adrian_Smith_(politician)	https://www.youtube.com/@RepAdrianSmith	https://www.instagram.com/repadriansmith/	RepAdrianSmith	https://www.facebook.com/RepAdrianSmith/	https://clerk.house.gov/images/members/S001172.jpg	https://adriansmith.house.gov/contact		502 Cannon House Office Building, Washington, DC 20515-2703	(202) 225-6435	https://adriansmith.house.gov/			1785822e-e827-4699-8762-38edd8ab211d	Adrian Smith	Republican Party	Republican Party
NE	administrativeArea1	headOfGovernment	Nebraska	ocd-division/country:us/state:ne	Nebraska	ocd-division/country:us/state:ne	ea5e01e7-d941-4950-883b-d51bdb724cb1		Governor of Nebraska	Governor			2027-01-07		2023-01-05		2026-11-03	1955-12-31	Jim_Pillen			TeamPillen	https://www.facebook.com/profile.php?id=100087314096798	https://governor.nebraska.gov/sites/all/themes/governor/img/headshot-pillen.jpg	https://governor.nebraska.gov/contact-form		P.O. Box 94848 Lincoln, NE 68509-4848	(402) 471-2244	https://governor.nebraska.gov/			58a41067-c73f-4911-9c59-451faafacae4	Jim Pillen	Republican Party	Republican Party
NE	administrativeArea1	deputyHeadOfGovernment	Nebraska	ocd-division/country:us/state:ne	Nebraska	ocd-division/country:us/state:ne	6413ede5-5f03-485e-97e5-7d5cd4099bd4		Lieutenant Governor of Nebraska	Lieutenant Governor			2027-01-07		2023-01-05		2026-11-03	1956-03-17	Joe_Kelly_(attorney)					https://ltgov.nebraska.gov/contact-form	https://ltgov.nebraska.gov/contact-form		P.O. Box 94848 Lincoln, NE 68509-4848	(402) 471-2256	https://ltgov.nebraska.gov/			8476e560-c88b-4c64-8845-d10db79afbdf	Joe Kelly	Republican Party	Republican Party
NE	administrativeArea1	governmentOfficer	Nebraska	ocd-division/country:us/state:ne	Nebraska	ocd-division/country:us/state:ne	6bbfd746-da2f-4be0-97f9-e6d598f09024		NE Secretary of State	Secretary of State			2027-01-07		2019-01-10		2026-11-03		Bob_Evnen			NEvnen	https://www.facebook.com/profile.php?id=100068937198657	https://sos.nebraska.gov/sites/all/themes/sos/img/headshot-banner.jpg	https://sos.nebraska.gov/contact	robert.evnen@nebraska.gov	P.O. Box 94608, Lincoln, NE 68509-4608	(402) 471-2554	https://sos.nebraska.gov/			eaec3ce2-f7ab-4ba5-b7b0-e3bbaf8ef491	Robert B. Evnen	Republican Party	Republican Party
NE	administrativeArea1	governmentOfficer	Nebraska	ocd-division/country:us/state:ne	Nebraska	ocd-division/country:us/state:ne	8cf250f6-9dad-4a56-a7f8-0489417f5f82		NE State Attorney General	Attorney General			2027-01-07		2023-01-05		2026-11-03	1978-10-25	Mike_Hilgers			NEAttorneyGen	https://www.facebook.com/profile.php?id=100089351525788	https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Mike_Hilgers.jpg/440px-Mike_Hilgers.jpg		ago.info.help@nebraska.gov	P.O. Box 98920 Lincoln, NE 68509	(402) 471-2683	https://ago.nebraska.gov/			efb0827a-b18a-458b-93e7-88dce52ae96e	Mike Hilgers	Republican Party	Republican Party
NE	administrativeArea1	governmentOfficer	Nebraska	ocd-division/country:us/state:ne	Nebraska	ocd-division/country:us/state:ne	03d408f7-c947-41da-b443-23fffe1caa0f		NE State Auditor of Public Accounts	State Auditor			2027-01-07		2023-01-05		2026-11-03	1954-04-05	Mike_Foley_(Nebraska_politician)					https://auditors.nebraska.gov/img/headshot-foley.jpg		mike.foley@nebraska.gov	P.O. Box 98917 Lincoln, NE 68509-8917	(402) 471-2111	https://auditors.nebraska.gov/			aafe0a69-29b8-465c-bf02-0cd439cc24f1	Mike Foley	Republican Party	Republican Party
NE	administrativeArea1	highestCourtJudge	Nebraska	ocd-division/country:us/state:ne	Nebraska	ocd-division/country:us/state:ne	44cc3c32-2d5b-453c-b28c-594b57c0ae3a		NE State Supreme Court Chief Justice	State Supreme Court Justice	NE Supreme Court		2029-01-04		2024-11-01		2028-11-07	1969-04-15	Jeffrey_J._Funke				https://www.facebook.com/NEJudicialBranch/	https://supremecourt.nebraska.gov/sites/default/files/styles/profile_image/public/profile-images/Funke_robe-2018.jpg		nsc.courtinformation@nejudicial.gov	P.O. Box 98910, Lincoln, NE 68509	(402) 471-3738	https://supremecourt.nebraska.gov/courts/hon-jeffrey-j-funke-chief-justice			2844f485-bdb2-41da-a1ba-cee504ba18a7	Jeffrey J. Funke	Nonpartisan	Nonpartisan
