State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
NH	country	legislatorUpperBody	United States	ocd-division/country:us	New Hampshire	ocd-division/country:us/state:nh	890a8809-ae46-4b26-b6e5-1bc7e4cf68e7		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2017-01-03		2028-11-07	1958-02-27	Maggie_Hassan	https://www.youtube.com/c/SenatorHassan?app=desktop	https://www.instagram.com/senatorhassan/	SenatorHassan	https://www.facebook.com/SenatorHassan/	https://www.hassan.senate.gov/imo/media/image/portrait.jpg	https://www.hassan.senate.gov/contact/email		324 Hart Senate Office Building, Washington DC 20510	(202) 224-3324	https://www.hassan.senate.gov/			912a182e-177b-40fd-8eac-95ffda6d495a	Margaret Wood Hassan	Democratic Party	Democratic Party
NH	country	legislatorUpperBody	United States	ocd-division/country:us	New Hampshire	ocd-division/country:us/state:nh	d65332fb-f06b-44d8-9cae-54b914adb7e6		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2009-01-03		2026-11-03	1947-01-28	Jeanne_Shaheen	https://www.youtube.com/user/SenatorShaheen	https://www.instagram.com/senatorshaheen/	SenatorShaheen	https://www.facebook.com/SenatorShaheen	https://www.shaheen.senate.gov/imo/media/image/050119-JS3-1269.jpg	https://www.shaheen.senate.gov/contact/contact-jeanne		506 Hart Senate Office Building, Washington DC 20510	(202) 224-2841	https://www.shaheen.senate.gov/			afd19870-ef15-4a91-9991-056a5b3f7dc7	Jeanne Shaheen	Democratic Party	Democratic Party
NH	country	legislatorLowerBody	United States	ocd-division/country:us	New Hampshire's 1st congressional district	ocd-division/country:us/state:nh/cd:1	40059fe8-0fcd-43e7-b68a-2dd6dcac778d	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1980-06-04	Chris_Pappas_(politician)	https://www.youtube.com/@congressmanchrispappas2330	https://www.instagram.com/repchrispappas/	RepChrisPappas	https://www.facebook.com/RepChrisPappas	https://clerk.house.gov/content/assets/img/members/P000614.jpg	https://pappas.house.gov/address_authentication?form=/contact/email-me		452 Cannon House Office Building, Washington, DC 20515-2901	(202) 225-5456	https://pappas.house.gov/			2a7dd383-dc2d-4efa-97eb-70b444462c9c	Chris Pappas	Democratic Party	Democratic Party
NH	country	legislatorLowerBody	United States	ocd-division/country:us	New Hampshire's 2nd congressional district	ocd-division/country:us/state:nh/cd:2	9871ac74-7303-40e0-8101-a202b3f6ec0b	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1986-11-04	Maggie_Goodlander		https://www.instagram.com/repgoodlander	RepGoodlander	https://www.facebook.com/people/Congresswoman-Maggie-Goodlander/61571606604866	https://maggiefornh.com/wp-content/uploads/2024/05/Expanded-Goodlander-14-1.png	https://goodlander.house.gov/contact/email-me		223 Cannon House Office Building , Washington , District of Columbia 20515	(202) 225-5206	https://goodlander.house.gov/		repgoodlander	a3c133f2-4bff-47c0-8f1f-de194cec34f0	Maggie Goodlander	Democratic Party	Democratic Party
NH	administrativeArea1	headOfGovernment	New Hampshire	ocd-division/country:us/state:nh	New Hampshire	ocd-division/country:us/state:nh	237caad4-4b8e-4123-8a2b-36e2725812c6		Governor of New Hampshire	Governor			2027-01-06		2025-01-08		2026-11-03	1968-06-27	Kelly_Ayotte	https://www.youtube.com/@governorayottenewsroom	https://www.instagram.com/kelly4nh/	KellyAyotte	https://www.facebook.com/KellyAyotteForNH/	https://www.governor.nh.gov/sites/g/files/ehbemt971/files/styles/site_introduction_image/public/images/ayotte-headshot-534-341_1.png?h=c28eecd9&itok=uIGnn7ID	https://www.governor.nh.gov/contact-governor-ayotte		107 N Main St, Concord, NH 03301	(603) 271-2121	https://www.governor.nh.gov/			1c27895c-2030-421f-ba6a-a1b3e25b1fba	Kelly Ayotte	Republican Party	Republican Party
NH	administrativeArea1	executiveCouncil	New Hampshire	ocd-division/country:us/state:nh	NH Executive Council District 1	ocd-division/country:us/state:nh/executive_council:1	02a673a9-fa52-4622-856c-92d6655eab7f	District 1	NH State Executive Councilor	Executive Council Member			2027-01-06		2021-01-06		2026-11-03	1960-07-12	Joseph_Kenney				https://www.facebook.com/JoeKenneyNH/	https://www.council.nh.gov/sites/g/files/ehbemt751/files/inline-images/kenney.jpg		joseph.d.kenney@nh.gov	107 N Main St, Rm 207, Concord, NH 03301	(603) 271-3632	https://www.council.nh.gov/district-1			efc28965-94ce-4fd9-997f-1a4a4c63c8c4	Joseph D. Kenney	Republican Party	Republican Party
NH	administrativeArea1	executiveCouncil	New Hampshire	ocd-division/country:us/state:nh	NH Executive Council District 2	ocd-division/country:us/state:nh/executive_council:2	eb313c4a-9976-44bf-a081-6610d02e1fdd	District 2	NH State Executive Councilor	Executive Council Member			2027-01-06		2025-01-08		2026-11-03		Karen_Liot_Hill		https://www.instagram.com/karenliothill/	NHkaren	https://www.facebook.com/nhkaren/	https://www.council.nh.gov/sites/g/files/ehbemt751/files/inline-images/karen-liot-hill-headshot.png		karen.liothill@nh.gov	107 N Main St, Rm 207, Concord, NH 03301	(603) 271-3632	https://www.council.nh.gov/district-2			a6d87216-cb94-462c-855e-20764e64a3de	Karen Liot Hill	Democratic Party	Democratic Party
NH	administrativeArea1	executiveCouncil	New Hampshire	ocd-division/country:us/state:nh	NH Executive Council District 3	ocd-division/country:us/state:nh/executive_council:3	9751203f-d37c-462b-8933-306a9fc0bad8	District 3	NH State Executive Councilor	Executive Council Member			2027-01-06		2021-01-06		2026-11-03		Janet_Stevens			JanetStevensNH	https://www.facebook.com/JanetStevens4NH/	https://www.council.nh.gov/sites/g/files/ehbemt751/files/inline-images/stevens.jpg		janet.l.stevens@nh.gov	107 N Main St, Rm 207, Concord, NH 03301	(603) 271-3632	https://www.council.nh.gov/district-3			3ad89ad4-fd1b-4ac0-bf71-d3c1b8a99083	Janet Stevens	Republican Party	Republican Party
NH	administrativeArea1	executiveCouncil	New Hampshire	ocd-division/country:us/state:nh	NH Executive Council District 4	ocd-division/country:us/state:nh/executive_council:4	b08df885-29b1-4c47-858c-2905aff37f32	District 4	NH State Executive Councilor	Executive Council Member			2027-01-06		2025-01-08		2026-11-03					JohnStephenNH	https://www.facebook.com/JohnStephenNH/	https://www.council.nh.gov/sites/g/files/ehbemt751/files/inline-images/john-stephen-headshot.png		john.a.stephen@nh.gov	107 N Main St, Rm 207, Concord, NH 03301	(603) 271-3632	https://www.council.nh.gov/district-4			a8038de8-88f0-4abe-bf04-5de3c9a61d6c	John Stephen	Republican Party	Republican Party
NH	administrativeArea1	executiveCouncil	New Hampshire	ocd-division/country:us/state:nh	NH Executive Council District 5	ocd-division/country:us/state:nh/executive_council:5	90cb0096-da84-4cba-aef5-5aae30810995	District 5	NH State Executive Councilor	Executive Council Member			2027-01-06		2021-01-06		2026-11-03		Dave_Wheeler			DaveWheelerNH	https://www.facebook.com/DaveWheelerNH/	https://www.council.nh.gov/sites/g/files/ehbemt751/files/inline-images/wheeler.jpg		david.k.wheeler@nh.gov	107 N Main St, Concord, NH 03301	(603) 271-3632	https://www.council.nh.gov/district-5			9a41af56-3e50-4370-b031-011806363e94	Dave Wheeler	Republican Party	Republican Party
