State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
NJ	country	legislatorUpperBody	United States	ocd-division/country:us	New Jersey	ocd-division/country:us/state:nj	fbe3d122-9757-4a0a-8fe4-10c168434520		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2013-10-31		2026-11-03	1969-04-27	Cory_Booker	https://www.youtube.com/c/sencorybooker	https://www.instagram.com/senbooker/	senbooker	https://www.facebook.com/SenatorCoryBooker	https://www.booker.senate.gov/imo/media/image/Cory_Booker_Official.jpg	https://www.booker.senate.gov/contact/write-to-cory		717 Hart Senate Office Building, Washington DC 20510	(202) 224-3224	https://www.booker.senate.gov/		https://www.threads.net/@senbooker	329e41b7-e945-4106-84ea-bea0e13b1b3d	Cory Booker	Democratic Party	Democratic Party
NJ	country	legislatorUpperBody	United States	ocd-division/country:us	New Jersey	ocd-division/country:us/state:nj	5c9c3677-cf29-4347-b28a-65fcd12b2757		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2025-01-03		2030-11-05	1982-07-12	Andy_Kim_(politician)		https://www.instagram.com/SenatorAndyKim	SenatorAndyKim	https://www.facebook.com/SenatorAndyKim	https://kim.house.gov/sites/evo-subsites/kim.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/Screen%20Shot%202022-05-12%20at%204.00.19%20PM_0.png?itok=U-hTVDvT	https://www.kim.senate.gov/contact/		SD-B40D Dirksen Senate Office Building, Washington, DC 20510	(202) 224-4744	https://www.kim.senate.gov/		senatorandykim	0d68330e-3b6c-4106-b103-44ede49110dc	Andy Kim	Democratic Party	Democratic Party
NJ	country	legislatorLowerBody	United States	ocd-division/country:us	New Jersey's 1st congressional district	ocd-division/country:us/state:nj/cd:1	7b43afb1-a55f-4e74-b481-c148b61b1dae	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2014-11-04		2026-11-03	1958-12-13	Donald_Norcross	https://www.youtube.com/c/DonaldNorcross	https://www.instagram.com/donaldnorcross	DonaldNorcross	https://www.facebook.com/DonaldNorcrossNJ	https://pbs.twimg.com/profile_images/1050098504515899392/h6RzXCGt_400x400.jpg	https://norcross.house.gov/email-me-landing		2427 Rayburn House Office Building, Washington, DC 20515-3001	(202) 225-6501	https://norcross.house.gov/			c9b0394e-b7ee-4300-8b0e-98e052c6a796	Donald Norcross	Democratic Party	Democratic Party
NJ	country	legislatorLowerBody	United States	ocd-division/country:us	New Jersey's 10th congressional district	ocd-division/country:us/state:nj/cd:10	6a1314fd-ff04-4e0d-8419-d6d39cf49bab	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1986-06-20	LaMonica_McIver					https://ugc.production.linktr.ee/yn04jwpcQfCtk4ylUKEv_l8H1TIzm59kCR0b2?io=true&size=avatar-v3_0	https://mciver.house.gov/address_authentication?form=/contact		426 Cannon House Office Building, Washington, DC 20515	(202) 225-3436	https://mciver.house.gov/			d570a604-382f-419d-87fd-97e55cc99563	LaMonica McIver	Democratic Party	Democratic Party
NJ	country	legislatorLowerBody	United States	ocd-division/country:us	New Jersey's 11th congressional district	ocd-division/country:us/state:nj/cd:11	ae8f5bd0-eec7-4802-ae76-2c3b6e5793b4	District 11	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1972-01-19	Mikie_Sherrill		https://www.instagram.com/repsherrill	RepSherrill	https://www.facebook.com/RepMikieSherrill/	https://sherrill.house.gov/sites/evo-subsites/sherrill.house.gov/files/styles/large/public/evo-media-image/Sherrill%2C%20Mikie_official_.jpg?itok=ozBEKM16	https://sherrill.house.gov/address_authentication?form=/contact/email-me		1427 Longworth House Office Building Washington, DC 20515	(202) 225-5034	https://sherrill.house.gov/			19fce0a4-6d90-4027-a264-38a68f425205	Mikie Sherrill	Democratic Party	Democratic Party
NJ	country	legislatorLowerBody	United States	ocd-division/country:us	New Jersey's 12th congressional district	ocd-division/country:us/state:nj/cd:12	41c2599e-f7de-421c-afa8-b2980ff8641c	District 12	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1945-02-06	Bonnie_Watson_Coleman	https://www.youtube.com/c/CongresswomanBonnieWatsonColeman	https://www.instagram.com/repbonnie	RepBonnie	https://www.facebook.com/RepBonnie/	https://pbs.twimg.com/profile_images/442444795651186688/BlG9Bzl8_400x400.jpeg	https://watsoncoleman.house.gov/contact/share-your-opinion		168 Cannon House Office Building, Washington, DC 20515-3012	(202) 225-5801	https://watsoncoleman.house.gov/			fdaea482-4cc5-426a-8063-9700d3cb3637	Bonnie Watson Coleman	Democratic Party	Democratic Party
NJ	country	legislatorLowerBody	United States	ocd-division/country:us	New Jersey's 2nd congressional district	ocd-division/country:us/state:nj/cd:2	40368ea5-a34d-4f72-bf12-4b23cc5b15d0	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1953-02-23	Jeff_Van_Drew	https://www.youtube.com/channel/UCc5AGO_bQLeiv313Bbr35fg	https://www.instagram.com/jeffvandrew/	CongressmanJVD	https://www.facebook.com/CongressmanJVD/	https://www.congress.gov/img/member/v000133_200.jpg	https://vandrewforms.house.gov/contact/		2447 Rayburn House Office Building, Washington, DC 20515-3002	(202) 225-6572	https://vandrew.house.gov/			5fd8e0c1-ef29-459a-bde7-665b2b3926b1	Jefferson Van Drew	Republican Party	Republican Party
NJ	country	legislatorLowerBody	United States	ocd-division/country:us	New Jersey's 3rd congressional district	ocd-division/country:us/state:nj/cd:3	33b8a6b5-8174-4b23-86c8-3084c7aeb91c	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1963-01-30	Herb_Conaway		https://www.instagram.com/repherbconaway/	RepHerbConaway		https://static.wixstatic.com/media/ddc900_19f41b6c6a9042df9ea95d911fb84077~mv2.jpeg/v1/fill/w_1296,h_1764,al_t,q_90,usm_0.66_1.00_0.01,enc_auto/ddc900_19f41b6c6a9042df9ea95d911fb84077~mv2.jpeg	https://conaway.house.gov/contact		1022 Longworth House Office Building, Washington, DC 20515	(202) 225-4765	https://conaway.house.gov/			bb31b672-a956-4ee8-bfd8-f5c9e5fc1fb7	Herb Conaway	Democratic Party	Democratic Party
NJ	country	legislatorLowerBody	United States	ocd-division/country:us	New Jersey's 4th congressional district	ocd-division/country:us/state:nj/cd:4	48452bb9-9ef3-4d44-a566-664b8735fdd5	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1981-01-03		2026-11-03	1953-03-04	Chris_Smith_(New_Jersey_politician)	https://www.youtube.com/user/USRepChrisSmith	https://www.instagram.com/repchrissmith		https://www.facebook.com/RepChrisSmith/	https://smith4nj.com/wp-content/uploads/2020/06/About-Chris-1.png	https://chrissmith.house.gov/contact/zipauth.htm		2373 Rayburn House Office Building, Washington, DC 20515-3004	(202) 225-3765	https://chrissmith.house.gov/			e46b5757-814b-40b2-bd17-a6fcce7be746	Christopher H. Smith	Republican Party	Republican Party
NJ	country	legislatorLowerBody	United States	ocd-division/country:us	New Jersey's 5th congressional district	ocd-division/country:us/state:nj/cd:5	d76bd461-fdf8-4c01-85c3-d2d0e8c772a3	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-01-03		2026-11-03	1975-03-08	Josh_Gottheimer	https://www.youtube.com/channel/UCNc_9pTqsP0J3tqNlelh7mA	https://www.instagram.com/RepJoshG/	RepJoshG	https://www.facebook.com/RepJoshG	https://pbs.twimg.com/profile_images/824380405482668042/TGcE_Hz0_400x400.jpg	https://gottheimer.house.gov/contact		106 Cannon House Office Building, Washington, DC 20515-3005	(202) 225-4465	https://gottheimer.house.gov/			86e5e6e2-1d4a-40ed-a002-5af739e16faf	Josh Gottheimer	Democratic Party	Democratic Party
