State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
OH	country	legislatorUpperBody	United States	ocd-division/country:us	Ohio	ocd-division/country:us/state:oh	ec934f1c-0d54-4925-abc6-6e2088a7ce6c		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2025-01-21	2026-11-03	2028-11-07	1967-08-25	Jon_Husted		https://www.instagram.com/senjonhusted/	SenJonHusted	https://www.facebook.com/hustedforohio/	https://upload.wikimedia.org/wikipedia/commons/5/5e/LtGov-Jon-Husted.jpg	https://www.husted.senate.gov/contact-jon/		SR-198 Russell Senate Office Building, Washington, DC 20510	(202) 224-3353	https://www.husted.senate.gov/		senjonhusted	24831c03-e35b-4b17-bbab-77263194963d	Jon Husted	Republican Party	Republican Party
OH	country	legislatorUpperBody	United States	ocd-division/country:us	Ohio	ocd-division/country:us/state:oh	dab42de2-35d8-4211-a91c-4f5a1e3a7e94		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2025-01-03		2030-11-05	1967-02-14	Bernie_Moreno		https://www.instagram.com/Berniemorenoforohio	berniemoreno	https://www.facebook.com/p/Bernie-Moreno-100066347036803/	https://upload.wikimedia.org/wikipedia/commons/e/e0/Sen._Bernie_Moreno_official_photo%2C_119th_Congress_%28HR%29.jpg	https://www.moreno.senate.gov/share-your-opinion/		SR-B33 Russell Senate Office Building, Washington, DC 20510	(202) 224-2315	https://www.moreno.senate.gov/			56fa6080-287e-49f4-aa77-f75f482d5aaf	Bernie Moreno	Republican Party	Republican Party
OH	country	legislatorLowerBody	United States	ocd-division/country:us	Ohio's 1st congressional district	ocd-division/country:us/state:oh/cd:1	bc894ece-6113-43f7-9fde-8315751036db	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1976-12-04	Greg_Landsman		https://www.instagram.com/repgreglandsman/	repgreglandsman	https://www.facebook.com/RepGregLandsman	https://upload.wikimedia.org/wikipedia/commons/1/15/Greg_Landsman_Official_Portrait_118th_Congress.jpg	https://landsman.house.gov/contact		2244 Rayburn House Office Building, Washington, DC 20515	(202) 225-2216	https://landsman.house.gov/		repgreglandsman	c1c6ec60-7637-4136-a37b-310ecc2e30fa	Greg Landsman	Democratic Party	Democratic Party
OH	country	legislatorLowerBody	United States	ocd-division/country:us	Ohio's 10th congressional district	ocd-division/country:us/state:oh/cd:10	aa935ba1-7545-4318-bf07-936adb73b4ed	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2013-01-03		2026-11-03	1960-01-11	Mike_Turner	https://www.youtube.com/@rep.michaelturner6425	https://www.instagram.com/repmiketurner/	RepMikeTurner	https://www.facebook.com/RepMikeTurner	https://upload.wikimedia.org/wikipedia/commons/0/0c/Mike_Turner_118th_Congress.jpeg	https://turner.house.gov/contact		2183 Rayburn House Office Building, Washington, DC 20515	(202) 225-6465	https://turner.house.gov/			96c61eed-0c73-47d5-b209-11b20e106898	Mike Turner	Republican Party	Republican Party
OH	country	legislatorLowerBody	United States	ocd-division/country:us	Ohio's 11th congressional district	ocd-division/country:us/state:oh/cd:11	570be522-7627-4baf-a013-20260d05fd8c	District 11	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-11-04		2026-11-03	1975-06-24	Shontel_Brown		https://www.instagram.com/repshontel/	RepShontelBrown	https://www.facebook.com/RepShontelBrown/	https://upload.wikimedia.org/wikipedia/commons/d/d2/Shontel_Brown_116th_Congress.jpg	https://shontelbrown.house.gov/address_authentication?form=/contact		2455 Rayburn House Office Building, Washington, DC 20515	(202) 225-7032	https://shontelbrown.house.gov/		repshontel	b18ee00f-a8ed-4e31-ad5c-583e20b85e5a	Shontel Brown	Democratic Party	Democratic Party
OH	country	legislatorLowerBody	United States	ocd-division/country:us	Ohio's 12th congressional district	ocd-division/country:us/state:oh/cd:12	252004e5-e618-49a9-8f48-2b2326bd700c	District 12	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2018-09-05		2026-11-03	1962-01-16	Troy_Balderson	https://www.youtube.com/@repbalderson	https://www.instagram.com/repbalderson/	RepBalderson	https://www.facebook.com/RepTroyBalderson/	https://upload.wikimedia.org/wikipedia/commons/f/f6/Troy_Balderson%2C_official_portrait%2C_116th_Congress.jpg	https://balderson.house.gov/contact/		2429 Rayburn House Office Building, Washington, DC 20515	(202) 225-5355	https://balderson.house.gov/			5f452c72-9ef2-4b63-b616-6af988ca10f3	Troy Balderson	Republican Party	Republican Party
OH	country	legislatorLowerBody	United States	ocd-division/country:us	Ohio's 13th congressional district	ocd-division/country:us/state:oh/cd:13	50070f0b-b67d-4c3e-b161-130d2aade54e	District 13	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1986-01-04	Emilia_Sykes	https://www.youtube.com/@repemiliasykes	https://www.instagram.com/RepEmiliaSykes/	RepEmiliaSykes	https://www.facebook.com/repemiliasykes/	https://upload.wikimedia.org/wikipedia/commons/1/10/Rep._Emilia_Sykes_-_118th_Congress_%281.jpg	https://sykes.house.gov/contact/email-me		1217 Longworth House Office Building, Washington, DC 20515	(202) 225-6265	https://sykes.house.gov/		repemiliasykes	ba19e8b6-0e2d-4e61-b6ec-098b762a7abe	Emilia Sykes	Democratic Party	Democratic Party
OH	country	legislatorLowerBody	United States	ocd-division/country:us	Ohio's 14th congressional district	ocd-division/country:us/state:oh/cd:14	5dfec808-62b8-489a-9606-3f3c2bfe02d5	District 14	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2013-01-03		2026-11-03	1957-03-17	David_Joyce_(politician)	https://www.youtube.com/@RepDaveJoyce	https://www.instagram.com/repdavejoyce/	RepDaveJoyce	https://www.facebook.com/RepDaveJoyce	https://upload.wikimedia.org/wikipedia/commons/1/15/David_Joyce.jpg	https://joyce.house.gov/contact		2065 Rayburn House Office Building, Washington, DC 20515	(202) 225-5731	https://joyce.house.gov/			9d0a4a23-e83e-4cf2-86ba-a14caac3313f	David Joyce	Republican Party	Republican Party
OH	country	legislatorLowerBody	United States	ocd-division/country:us	Ohio's 15th congressional district	ocd-division/country:us/state:oh/cd:15	36d9322c-1d84-45ce-96b5-43ba9e04f439	District 15	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-11-04		2026-11-03	1971-03-13	Mike_Carey_(politician)	https://www.youtube.com/@congressmanmikecarey		RepMikeCarey	https://www.facebook.com/RepMikeCarey/	https://upload.wikimedia.org/wikipedia/commons/9/96/Mike_Carey_117th_Congress.jpg	https://carey.house.gov/contact/		1433 Longworth House Office Building, Washington, DC 20515	(202) 225-2015	https://carey.house.gov/			4f85f484-8557-45ee-af8d-870629418d05	Mike Carey	Republican Party	Republican Party
OH	country	legislatorLowerBody	United States	ocd-division/country:us	Ohio's 2nd congressional district	ocd-division/country:us/state:oh/cd:2	0423f189-f958-4a09-9fab-e121c17ddf0f	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1969-11-16	David_Taylor_(Ohio_politician)	https://www.youtube.com/@RepDaveTaylor	https://www.instagram.com/repdavetaylor/	RepDaveTaylor	https://www.facebook.com/RepDaveTaylor/	https://upload.wikimedia.org/wikipedia/commons/9/98/Rep._Dave_Taylor_Official_Portrait.jpg	https://taylor.house.gov/contact/email-me		325 Cannon House Office Building, Washington, DC 20515	(202) 225-3164	https://taylor.house.gov/			c9c9eb7e-be04-49a5-8035-210e5d250cb4	Dave Taylor	Republican Party	Republican Party
