State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
PR	country	legislatorLowerBody	United States	ocd-division/country:us	Puerto Rico	ocd-division/country:us/territory:pr	f2946324-c4ed-470f-942c-6e41205adf1b		PR Resident Commissioner	U.S. Representative	U.S. House of Representatives		2029-01-03		2025-01-02		2028-11-07	1991-05-11	Pablo_Hernández_Rivera		https://www.instagram.com/reppablojose/	RepPabloJose	https://www.facebook.com/profile.php?id=61569891687422	https://hernandez.house.gov/sites/evo-subsites/hernandez.house.gov/files/styles/large/public/evo-media-image/hernandez.jpeg.webp?itok=F5aCsS3_	https://hernandez.house.gov/address_authentication?form=/contact/email-me	presshernandez@mail.house.gov	1419 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-2615	https://hernandez.house.gov/			fd600e9d-117b-4339-869e-cf771a75da07	Pablo José Hernández Rivera	Partido Popular Democrático	Partido Popular Democrático
PR	administrativeArea1	headOfGovernment	Puerto Rico	ocd-division/country:us/territory:pr	Puerto Rico	ocd-division/country:us/territory:pr	8c688df4-706d-462c-af1c-283b6249f5c3		Governor of Puerto Rico	Governor			2029-01-02		2025-01-02		2028-11-07	1976-08-05	Jenniffer_González-Colón		https://www.instagram.com/jenniffergonzalezcolon/	Jenniffer	https://www.facebook.com/JGOPR51	https://pbs.twimg.com/profile_images/826526731636973568/EZ74mtcJ_400x400.jpg			P.O. Box 9020082, San Juan, PR 00902-0082	(787) 721-7000	https://www.fortaleza.pr.gov/		jenniffergonzalezcolon	9478a9db-df87-4d4b-9042-39cecc6c7cab	Jenniffer González Colón	Partido Nuevo Progresista	Partido Nuevo Progresista
PR	administrativeArea1	legislatorLowerBody	Puerto Rico	ocd-division/country:us/territory:pr	Puerto Rico	ocd-division/country:us/territory:pr	3c25db5f-5030-44fd-bb04-29644b97a0c8		PR State Representative	State Representative	PR House of Representatives		2029-01-02		2025-01-02		2028-11-07				https://www.instagram.com/tatianaperezpr	TatianaPerezPR	https://www.facebook.com/tatianaperezpr51	https://www.camara.pr.gov/wp-content/uploads/2025/02/Rep.-Tatiana-Perez1.jpg		tperez@camara.pr.gov	P.O. Box 9022228, San Juan, PR 00902-2228	(787) 721-6040	https://www.camara.pr.gov/team/tatiana-perez-ramirez/	tatianaperezpr	tatianaperezpr	009230c7-f782-4444-bc3a-a84fb1b45f3b	Tatiana Pérez Ramírez	Partido Nuevo Progresista	Partido Nuevo Progresista
PR	administrativeArea1	legislatorLowerBody	Puerto Rico	ocd-division/country:us/territory:pr	Puerto Rico	ocd-division/country:us/territory:pr	799d06c3-c555-4af7-af03-0d3d11e757d8		PR State Representative	State Representative	PR House of Representatives		2029-01-02		2025-01-02		2028-11-07				https://www.instagram.com/swannyenitpr/	swannyenitpr	https://www.facebook.com/swannyenitpr/	https://www.camara.pr.gov/wp-content/uploads/2025/02/Rep.-Swanny-Enit-Vargas.jpg		svargas@camara.pr.gov	P.O. Box 9022228, San Juan, PR 00902-2228	(787) 721-6040	https://www.camara.pr.gov/team/swanny-e-vargas-laureano/			88705b50-ef3d-412b-a3be-00fd9b6d4b29	Swanny E. Vargas Laureano	Partido Popular Democrático	Partido Popular Democrático
PR	administrativeArea1	legislatorLowerBody	Puerto Rico	ocd-division/country:us/territory:pr	Puerto Rico	ocd-division/country:us/territory:pr	ef254d4d-f0a2-4d26-9c65-28ea862bf3ce		PR State Representative	State Representative	PR House of Representatives		2029-01-02		1996-03-26		2028-11-07	1960-08-06	María_de_Lourdes_Ramos_Rivera			HonLourdesRamos		https://www.camara.pr.gov/wp-content/uploads/2021/08/Rep.-Lourdes-Ramos.jpg		lramos@camara.pr.gov	P.O. Box 9022228, San Juan, PR 00902-2228	(787) 725-5115	https://www.camara.pr.gov/team/maria-de-lourdes-ramos-rivera/			a2a89e3a-3585-4084-b2c0-aaaaca0d9e39	María de Lourdes Ramos Rivera	Partido Nuevo Progresista	Partido Nuevo Progresista
PR	administrativeArea1	legislatorLowerBody	Puerto Rico	ocd-division/country:us/territory:pr	Puerto Rico	ocd-division/country:us/territory:pr	b54ac4f3-6d53-4dea-af1d-7df019aca7e1		PR State Representative	State Representative	PR House of Representatives		2029-01-02		2025-01-08		2028-11-07				https://www.instagram.com/nelie_representante_pip	bombadiva	https://www.facebook.com/profile.php?id=61559857226527	https://www.camara.pr.gov/wp-content/uploads/2025/02/Rep.-Nellie-Lebron.jpg		nlebron@camara.pr.gov	P.O. Box 9022228, San Juan, PR 00902-2228	(787) 721-6040	https://www.camara.pr.gov/team/nelie-lebron-robles/	nelielebron	nelie_representante_pip	1faa139a-110f-4648-b89f-e964b7e6c255	Nelie Lebrón Robles	Partido Independentista Puertorriqueño	Partido Independentista Puertorriqueño
PR	administrativeArea1	legislatorLowerBody	Puerto Rico	ocd-division/country:us/territory:pr	Puerto Rico	ocd-division/country:us/territory:pr	cc0a9652-e46e-46c2-8208-a4757deee5c9		PR State Representative	State Representative	PR House of Representatives		2029-01-02		2025-01-08		2028-11-07				https://www.instagram.com/agutierrezcolon/	AGutierrezColon	https://www.facebook.com/agutierrezcolon/	https://www.camara.pr.gov/wp-content/uploads/2025/02/Rep.-Adriana-Guitierrez-1.jpg		agutierrez@camara.pr.gov	P.O. Box 9022228, San Juan, PR 00902-2228	(787) 721-6040	https://www.camara.pr.gov/team/adriana-gutierrez-colon/			8f676867-3e59-4c63-82ff-de6a1dc8f0aa	Adriana Gutiérrez Colón	Partido Independentista Puertorriqueño	Partido Independentista Puertorriqueño
PR	administrativeArea1	legislatorLowerBody	Puerto Rico	ocd-division/country:us/territory:pr	Puerto Rico	ocd-division/country:us/territory:pr	8351cd2e-eb10-4c74-96e3-2f51d72d3a87		PR State Representative	State Representative	PR House of Representatives		2029-01-02		2025-01-02		2028-11-07	1981-04-14				ChePerez51	https://www.facebook.com/cheperez51/	https://www.camara.pr.gov/wp-content/uploads/2021/08/Rep.-Jose-Che-Perez.jpg		joperez@camara.pr.gov	P.O. Box 9022228, San Juan, PR 00902-2228	(787) 721-5007	https://www.camara.pr.gov/team/jose-j-perez-cordero/			99bd1ade-0d14-41a3-8b2a-617af80aa3ee	José J. Pérez Cordero	Partido Nuevo Progresista	Partido Nuevo Progresista
PR	administrativeArea1	legislatorLowerBody	Puerto Rico	ocd-division/country:us/territory:pr	Puerto Rico	ocd-division/country:us/territory:pr	e560a696-7416-4758-b285-5404d96ffaa8		PR State Representative	State Representative	PR House of Representatives		2029-01-02		2017-01-02		2028-11-07		Denis_Márquez_Lebrón			denismarquezpip	https://www.facebook.com/denismarquezpip/	https://www.camara.pr.gov/wp-content/uploads/2021/08/Rep.-Dennis-Marquez.jpg		dmarquez@camara.pr.gov	P.O. Box 9022228, San Juan, PR 00902-2228	(787) 725-1216	https://www.camara.pr.gov/team/denis-marquez-lebron/			2c7cceea-ad2c-47ae-9bcd-e0ebcfad9f37	Denis Márquez Lebrón	Partido Independentista Puertorriqueño	Partido Independentista Puertorriqueño
PR	administrativeArea1	legislatorLowerBody	Puerto Rico	ocd-division/country:us/territory:pr	Puerto Rico	ocd-division/country:us/territory:pr	3f346958-898c-492c-a666-efb30b562c31		PR State Representative	State Representative	PR House of Representatives		2029-01-02		2021-01-02		2028-11-07				https://www.instagram.com/lisieburgospr/	lisieburgospr	https://www.facebook.com/Lisieburgospr/	https://www.camara.pr.gov/wp-content/uploads/2021/08/Rep.-Lissie-Burgos.jpg		lburgos@camara.pr.gov	P.O. Box 9022228, San Juan, PR 00902-2228	(787) 622-4979	https://www.camara.pr.gov/team/lisie-j-burgos-muniz/			720de203-8e38-4575-9ef1-ec80afac78e8	Lisie J. Burgos Muñiz	Proyecto Dignidad	Proyecto Dignidad
