State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
SD	country	legislatorLowerBody	United States	ocd-division/country:us	South Dakota	ocd-division/country:us/state:sd	7addf70b-c8a6-4ccb-a174-4314a05df7f0		U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1976-09-30	Dusty_Johnson	https://www.youtube.com/@rep.dustyjohnson9149	https://www.instagram.com/repdustyjohnson/	RepDustyJohnson	https://www.facebook.com/RepDustyJohnson	https://dustyjohnson.house.gov/sites/evo-subsites/dustyjohnson.house.gov/files/styles/large/public/documents/117th%20Official%20Headshot%20FINAL.jpeg	https://dustyjohnson.house.gov/contact/email-me		1714 Longworth House Office Building, Washington, DC 20515	(202) 225-2801	https://dustyjohnson.house.gov/			246467b5-c5d0-4ac0-b9cf-8154474d8707	Dusty Johnson	Republican Party	Republican Party
SD	country	legislatorUpperBody	United States	ocd-division/country:us	South Dakota	ocd-division/country:us/state:sd	77299529-f921-4a36-ad07-02b8867c3ba5		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2015-01-06		2026-11-03	1954-10-24	Mike_Rounds	https://www.youtube.com/channel/UC-pvzimyBdpdkcIfsicrfrQ	https://www.instagram.com/senatorrounds/	SenatorRounds	https://www.facebook.com/SenatorMikeRounds/	https://www.rounds.senate.gov/imo/media/image/Mike_Rounds_official_Senate_portrait1.jpg	https://www.rounds.senate.gov/contact/email-mike		716 Hart Senate Office Building, Washington DC 20510	(202) 224-5842	https://www.rounds.senate.gov/			85eb8103-d037-4eb6-aa05-c889d43619d4	Mike Rounds	Republican Party	Republican Party
SD	country	legislatorUpperBody	United States	ocd-division/country:us	South Dakota	ocd-division/country:us/state:sd	b55d086b-5d30-4b6f-808b-fd7c1faef105		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2005-01-03		2028-11-07	1961-01-07	John_Thune	https://www.youtube.com/user/JohnThune	https://www.instagram.com/senjohnthune/	SenJohnThune	https://www.facebook.com/SenJohnThune/	https://www.thune.senate.gov/public/_cache/files/8086a300-3bb4-4f0c-af47-32c2b2502006/75177E4B144F2EE60AC3734AA0EEBB1C.thune-john-111020-dr4-018-display.jpg	https://www.thune.senate.gov/public/index.cfm/contact		511 Dirksen Senate Office Building, Washington DC 20510	(202) 224-2321	https://www.thune.senate.gov/			0d6d0b55-d7c7-4427-9fc8-58b8fefda3f3	John Thune	Republican Party	Republican Party
SD	administrativeArea1	headOfGovernment	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	94376544-14ff-48a3-8c7e-0d668dead830		Governor of South Dakota	Governor			2027-01-04		2025-01-27		2026-11-03	1959-02-05	Larry_Rhoden		https://www.instagram.com/govlarryrhoden/	GovLarryRhoden	https://www.facebook.com/GovLarryRhoden	https://governor.sd.gov/img/Governor-Rhoden.jpg	https://iqconnect.lmhostediq.com/iqextranet/EForm.aspx?__cid=FSL_SD_GOV&__fid=2100060		500 East Capitol Ave, Pierre, SD 57501	(605) 773-3212	https://governor.sd.gov/			d603e5e7-e84d-412f-bde2-1d52c23872ec	Larry Rhoden	Republican Party	Republican Party
SD	administrativeArea1	deputyHeadOfGovernment	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	31a1505c-24fc-4cf0-99b8-1973b43818a0		Lieutenant Governor of South Dakota	Lieutenant Governor			2027-01-04		2025-01-30		2026-11-03		Tony_Venhuizen			LGVenhuizen	https://www.facebook.com/profile.php?id=61572878693161	https://governor.sd.gov/img/LtGovTV-photo.jpg			500 East Capitol Ave, Pierre, SD 57501	(605) 773-3212	https://governor.sd.gov/governor/lt-governor.aspx			8b41bb15-3342-4da3-82e8-788375d20b97	Tony Venhuizen	Republican Party	Republican Party
SD	administrativeArea1	governmentOfficer	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	f4b797fd-abd1-4eb0-a26f-b67e3e516d70		SD Secretary of State	Secretary of State			2027-01-04		2022-12-05		2026-11-03		Monae_Johnson			sodaksos	https://www.facebook.com/sodaksos/	https://monaeforsouthdakota.com/wp-content/uploads/monae-photo.jpg		sdsos@state.sd.us	500 E. Capitol Avenue Suite 204 Pierre, SD 57501-5070	(605) 773-3537	https://sdsos.gov/			92038086-6fd7-47ee-a4dd-0f0173aa4def	Monae Johnson	Republican Party	Republican Party
SD	administrativeArea1	governmentOfficer	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	3fe5112e-373f-402c-a0cc-db07edda221a		SD State Attorney General	Attorney General			2027-01-04		2023-01-07		2026-11-03	1970-10-13	Marty_Jackley	https://www.youtube.com/user/SDAttorneyGeneral		SDAttorneyGen	https://www.facebook.com/SDATG/	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/US_District_Attorney_Marty_Jackley.png/440px-US_District_Attorney_Marty_Jackley.png	https://atg.sd.gov/Contact.aspx		1302 E Hwy 14 Suite 1 Pierre SD 57501-8501	(605) 773-3215	https://atg.sd.gov/			dc4657e4-39b5-4f58-ae8e-7120d51d9d4a	Marty J. Jackley	Republican Party	Republican Party
SD	administrativeArea1	governmentOfficer	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	2a079ee8-6728-485a-9b12-15baeb60101d		SD State Auditor	State Auditor			2027-01-04		2003-01-07		2026-11-03		Rich_Sattgast					https://sdauditor.sd.gov/Content/Images/RichBannerPic.jpg		stateauditor@state.sd.us	500 E Capitol Ave, Ste 209, Pierre, SD 57501-5070	(605) 773-3341	https://sdauditor.sd.gov/			e0e3e9fc-95bf-47be-93f9-a7531741018f	Rich Sattgast	Republican Party	Republican Party
SD	administrativeArea1	governmentOfficer	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	caeb0692-efb9-45ec-83d3-4c29c4559bd1		SD State Commissioner of School and Public Lands	State Land Commissioner			2027-01-04		2023-01-07		2026-11-03	1975-10-05	Brock_Greenfield					https://sdpubliclands.sd.gov/Content/Images/brock-greenfield.jpg		brock.greenfield@state.sd.us	500 E. Capitol Avenue, Suite 212 Pierre, SD 57501	(605) 773-3303	https://sdpubliclands.sd.gov/			818f20b2-5a0c-47d2-b037-0f7be4674043	Brock Greenfield	Republican Party	Republican Party
SD	administrativeArea1	governmentOfficer	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	a23e7508-1bbe-46ac-8783-e763a688e660		SD State Public Utilities Commissioner	State Public Service Commissioner	SD State Public Utilities Commission		2027-01-05		2003-01-07		2026-11-03		Gary_W._Hanson					https://puc.sd.gov/garysbio/garylargeshot2.gif		puc@state.sd.us	500 E. Capitol Ave, Pierre, SD 57501-5070	(605) 773-3201	https://puc.sd.gov/			e51561bb-f689-4928-9511-39a934a441e8	Gary Hanson	Republican Party	Republican Party
SD	administrativeArea1	governmentOfficer	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	121fdc9a-0d88-451a-b0d0-b6952bd93525		SD State Public Utilities Commissioner	State Public Service Commissioner	SD State Public Utilities Commission		2029-01-02		2011-01-08		2028-11-07	1964-08-18	Chris_Nelson_(politician)					https://puc.sd.gov/chrisnelsonbio/2021nelsonbio.gif		puc@state.sd.us	500 E. Capitol Ave, Pierre, SD 57501-5070	(605) 773-3201	https://puc.sd.gov/			b0b5ec84-e1b6-45aa-af64-9dec6f4a0394	Chris Nelson	Republican Party	Republican Party
SD	administrativeArea1	governmentOfficer	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	ff2187df-60a5-4e3b-aa50-e23f11f83e2d		SD State Public Utilities Commissioner	State Public Service Commissioner	SD State Public Utilities Commission		2031-01-07		2011-08-09		2030-11-07	1962-09-17	Kristie_Fiegen					https://puc.sd.gov/kristiefiegen/KristieJ.jpg		puc@state.sd.us	500 E. Capitol Ave, Pierre, SD 57501-5070	(605) 773-3201	https://puc.sd.gov/			1d565dc9-4f40-455b-88c5-6f5da1aa9666	Kristie Fiegen	Republican Party	Republican Party
SD	administrativeArea1	governmentOfficer	South Dakota	ocd-division/country:us/state:sd	South Dakota	ocd-division/country:us/state:sd	e6d9875a-f5cf-478d-8513-d82eeb361394		SD State Treasurer	State Treasurer			2027-01-04		2019-01-05		2026-11-03	1980-09-19	Josh_Haeder	https://www.youtube.com/channel/UCSRdWqPAn-BRKuRlHYuCZag			https://www.facebook.com/SDTreasurer/	https://sdtreasurer.gov/wp-content/uploads/2020/02/josh-face.jpg	https://sdtreasurer.gov/contact/		500 E Capitol Ave., Ste 212 Pierre, SD 57501	(605) 773-3378	https://sdtreasurer.gov/			74a69e8f-0217-474c-ada4-b10fdd9fee71	Josh Haeder	Republican Party	Republican Party
SD	administrativeArea1	legislatorLowerBody	South Dakota	ocd-division/country:us/state:sd	South Dakota State House district 26A	ocd-division/country:us/state:sd/sldl:26a	ed9fe352-2c63-4fb2-833c-d172d532a961	District 26A	SD State Representative	State Representative	SD State House		2027-01-12		2023-01-10		2026-11-03		Eric_Emery				https://www.facebook.com/profile.php?id=61566841843882			eric.emery@sdlegislature.gov	500 East Capitol Ave, Pierre, SD 57501	(605) 773-3851	https://sdlegislature.gov/Legislators/Profile/4606/Detail			5c4fb1fb-f050-42f4-a2b7-c96f84727310	Eric Emery	Democratic Party	Democratic Party
SD	administrativeArea1	legislatorLowerBody	South Dakota	ocd-division/country:us/state:sd	South Dakota State House district 26B	ocd-division/country:us/state:sd/sldl:26b	9559af18-cfa5-4b92-95fc-76a33427bf21	District 26B	SD State Representative	State Representative	SD State House		2027-01-12		2018-08-01		2026-11-03		Rebecca_Reimer				https://www.facebook.com/ReimerforSDDistrict26B/	https://images.squarespace-cdn.com/content/v1/5efb51e390760a59844e4a7d/be7f1039-f7b6-4301-a385-04c78973ff37/Untitled+design+-+2024-08-18T001227.062.jpg?format=2500w		rebecca.reimer@sdlegislature.gov	500 East Capitol Ave, Pierre, SD 57501	(605) 773-3851	https://sdlegislature.gov/Legislators/Profile/4658/Detail			fd219634-89cc-4457-b10c-0388b52d993d	Rebecca Reimer	Republican Party	Republican Party
SD	administrativeArea1	legislatorLowerBody	South Dakota	ocd-division/country:us/state:sd	South Dakota State House district 28A	ocd-division/country:us/state:sd/sldl:28a	eb6364d1-6aec-46c3-a680-deb207508709	District 28A	SD State Representative	State Representative	SD State House		2027-01-12		2025-01-14		2026-11-03						https://www.facebook.com/janahunt4sd/			jana.hunt@sdlegislature.gov	500 East Capitol Ave, Pierre, SD 57501	(605) 773-3851	https://sdlegislature.gov/Legislators/Profile/4718/Detail			d138f636-67d5-4658-9356-870773b9cd3b	Jana Hunt	Republican Party	Republican Party
SD	administrativeArea1	legislatorLowerBody	South Dakota	ocd-division/country:us/state:sd	South Dakota State House district 28B	ocd-division/country:us/state:sd/sldl:28b	27c96345-c044-47e6-a73b-da6590f2f17b	District 28B	SD State Representative	State Representative	SD State House		2027-01-12		2025-01-14		2026-11-03						https://www.facebook.com/travis.ismay.5			travis.ismay@sdlegislature.gov	500 East Capitol Ave, Pierre, SD 57501	(605) 773-3851	https://sdlegislature.gov/Legislators/Profile/4725/Detail			63fba62d-1ad8-4084-8d71-c40427c8229d	Travis Ismay	Republican Party	Republican Party
SD	administrativeArea1	legislatorLowerBody	South Dakota	ocd-division/country:us/state:sd	South Dakota State Senate district 1	ocd-division/country:us/state:sd/sldu:1	289678df-1353-4b00-81a5-4aa91ca1d084	District 1	SD State Representative	State Representative	SD State House		2027-01-12		2025-01-14		2026-11-03		Logan_Manhart		https://www.instagram.com/logan.manhart/	ManhartLogan	https://www.facebook.com/ManhartLogan/			logan.manhart@sdlegislature.gov	500 East Capitol Ave, Pierre, SD 57501	(605) 773-3851	https://sdlegislature.gov/Legislators/Profile/4685/Detail			72970203-e2fd-4b50-b892-2b7d517cf06e	Logan Manhart	Republican Party	Republican Party
SD	administrativeArea1	legislatorLowerBody	South Dakota	ocd-division/country:us/state:sd	South Dakota State Senate district 1	ocd-division/country:us/state:sd/sldu:1	0a189648-af3c-4029-b40d-e1effef09c9a	District 1	SD State Representative	State Representative	SD State House		2027-01-12		2025-08-05		2026-11-03		Nick_Fosness							nick.fosness@sdlegislature.gov	500 East Capitol Ave, Pierre, SD 57501	(605) 773-3851	https://sdlegislature.gov/Legislators/Profile/4838/Detail			f6be99f4-5902-40b9-ac47-c3254ed496a2	Nick Fosness	Republican Party	Republican Party
