State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
TX	country	legislatorUpperBody	United States	ocd-division/country:us	Texas	ocd-division/country:us/state:tx	2f82adc4-796c-4596-a373-df94480d8388		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2013-01-03		2030-11-05	1970-12-22	Ted_Cruz	https://www.youtube.com/@SenTedCruz	https://www.instagram.com/sentedcruz/	SenTedCruz	https://www.facebook.com/SenatorTedCruz	https://www.congress.gov/img/member/c001098_200.jpg	https://www.cruz.senate.gov/contact/write-ted		167 Russell Senate Office Building, 2 Constitution Ave NE, Washington DC 20510	(202) 224-5922	https://www.cruz.senate.gov/			902f39a1-49f0-4bef-b6ed-e33c133b77b6	Ted Cruz	Republican Party	Republican Party
TX	country	legislatorUpperBody	United States	ocd-division/country:us	Texas	ocd-division/country:us/state:tx	e562a5b0-a5bc-4785-8ec7-d542332bc8d5		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2002-12-02		2026-11-03	1952-02-02	John_Cornyn	https://www.youtube.com/@SenJohnCornyn	https://www.instagram.com/johncornyn/	JohnCornyn	https://www.facebook.com/SenJohnCornyn/	https://www.congress.gov/img/member/c001056_200.jpg	https://www.cornyn.senate.gov/share-opinion/		517 Hart Senate Office Building, 120 Constitution Ave NE, Washington DC 20510	(202) 224-2934	https://www.cornyn.senate.gov/			093f73ca-f537-4f90-bff1-1a2092ecee07	John Cornyn	Republican Party	Republican Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 1st congressional district	ocd-division/country:us/state:tx/cd:1	e2cce323-f21a-4e54-a7fc-38bbff800e0f	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1974-09-23	Nathaniel_Moran		https://www.instagram.com/repnatemoran/	RepNateMoran	https://www.facebook.com/RepNateMoran/	https://moran.house.gov/uploadedphotos/highresolution/88691a90-eaa4-4698-b3fa-0a8f6a3e970f.jpg	https://moran.house.gov/contact		1605 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-3035	https://moran.house.gov/			4d3342b5-72b9-4326-8acb-5425a0f5fe00	Nathaniel Moran	Republican Party	Republican Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 10th congressional district	ocd-division/country:us/state:tx/cd:10	25dd1f47-6235-4a07-a76a-591b2f4a19f0	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2005-01-03		2026-11-03	1962-01-14	Michael_McCaul	https://www.youtube.com/@MichaelTMcCaul	https://www.instagram.com/congressman_mccaul/	RepMcCaul	https://www.facebook.com/michaeltmccaul	https://mccaul.house.gov/sites/evo-subsites/mccaul.house.gov/files/styles/large/public/evo-media-image/screenshot-2023-11-28-at-1.46.23-pm.jpeg?itok=XmpWMS_u	https://mccaul.house.gov/address_authentication?form=/contact/email-me		2300 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-4310	(202) 225-2401	https://mccaul.house.gov/			f50115ef-097f-4648-a29f-095ce31988b5	Michael McCaul	Republican Party	Republican Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 11th congressional district	ocd-division/country:us/state:tx/cd:11	78048f29-ae61-43df-b730-bdeee970e121	District 11	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1978-12-28	August_Pfluger	https://www.youtube.com/channel/UC8bJT16wpa7co50ELvpMTTg	https://www.instagram.com/repaugustpfluger/	RepPfluger	https://www.facebook.com/RepAugustPfluger	https://pfluger.house.gov/uploadedphotos/highresolution/7af8ae14-2d20-4e15-9b8d-541cfff11571.jpg	https://pfluger.house.gov/contact/		2202 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-3605	https://pfluger.house.gov/			cd2b39dc-9d2d-4166-b757-6f8b0c225876	August Pfluger	Republican Party	Republican Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 12th congressional district	ocd-division/country:us/state:tx/cd:12	95eb165d-2f76-4412-8628-0636b52cba34	District 12	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1968-10-03	Craig_Goldman		https://www.instagram.com/repcraiggoldman	RepCraigGoldman	https://www.facebook.com/profile.php?id=61571449239416	https://craiggoldman.house.gov/sites/evo-subsites/craiggoldman.house.gov/files/styles/large/public/evo-media-image/untitled-design-13.png.webp?itok=Rh5cPzxN	https://craiggoldman.house.gov/contact		1716 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-5071	https://craiggoldman.house.gov/			1cb32d73-ff22-4ee9-a0d0-d48f80d466e5	Craig Goldman	Republican Party	Republican Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 13th congressional district	ocd-division/country:us/state:tx/cd:13	3ec01818-cdab-4d43-b305-f1254ce02d36	District 13	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1967-05-04	Ronny_Jackson	https://www.youtube.com/channel/UCXhohNmrQ0R-c-5Nv2VfD9g	https://www.instagram.com/RepRonnyJackson/	RepRonnyJackson	https://www.facebook.com/RepRonnyJackson/	https://jackson.house.gov/uploadedphotos/highresolution/e1fe900a-989f-4d96-9a7f-661128a350ba.jpg	https://jackson.house.gov/contact/		125 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-3706	https://jackson.house.gov/			59257453-4c12-42e3-adbb-3cda8579ae80	Ronny Jackson	Republican Party	Republican Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 14th congressional district	ocd-division/country:us/state:tx/cd:14	4b046e68-698e-4ada-82f5-196f18ee262c	District 14	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2013-01-03		2026-11-03	1953-07-02	Randy_Weber	https://www.youtube.com/@TXRandy14	https://www.instagram.com/TXRandy14/	TXRandy14	https://www.facebook.com/TXRandy14	https://weber.house.gov/uploadedphotos/highresolution/8795724b-1f60-4934-85bc-be664b5a4a03.jpg	https://weber.house.gov/contact/		107 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-4314	(202) 225-2831	https://weber.house.gov/			8e805aed-3204-46bc-86be-5f649716943c	Randy Weber	Republican Party	Republican Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 15th congressional district	ocd-division/country:us/state:tx/cd:15	404b422a-cab8-4d5f-9c7c-06e8166e0145	District 15	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1974-11-11	Monica_De_La_Cruz		https://www.instagram.com/RepMonicaDLC/	RepMonicaDLC	https://www.facebook.com/RepMonicaDLC	https://delacruz.house.gov/images/headshot.jpg	https://delacruz.house.gov/contact/		1415 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-9901	https://delacruz.house.gov/			c58640bd-38c1-4dc9-9a68-60eb130157e2	Monica De La Cruz	Republican Party	Republican Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 16th congressional district	ocd-division/country:us/state:tx/cd:16	5e7cdbcc-b9be-40fc-8cfc-a34c21cfd301	District 16	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1969-09-15	Veronica_Escobar	https://www.youtube.com/channel/UC46TX2P8K0CA_4gZv8_R2Og	https://www.instagram.com/repescobar/	RepEscobar	https://www.facebook.com/RepEscobar	https://www.congress.gov/img/member/e000299_200.jpg	https://escobar.house.gov/contact/		2448 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-4831	https://escobar.house.gov/			9a2eba5f-122c-4624-95d8-ebe162927c5a	Veronica Escobar	Democratic Party	Democratic Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 17th congressional district	ocd-division/country:us/state:tx/cd:17	fdd5ced6-511d-48dc-9d31-3c43f2d3ab44	District 17	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1955-03-22	Pete_Sessions		https://www.instagram.com/congressmanpetesessions/	PeteSessions	https://www.facebook.com/petesessions/	https://sessions.house.gov/_cache/files/5/4/544c8e78-63a9-4fe3-8d3e-2be6533ef0d0/C59D3956D3ED4CFB46CEB87631848816C3FE13B3723036485814ECDC21C2ED2A.sessions-portrait-0-photogallery.jpg	https://sessions.house.gov/email-us		2204 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-6105	https://sessions.house.gov/			b77447a5-6e4a-40cb-86e8-c62209ef2b40	Pete Sessions	Republican Party	Republican Party
TX	country	legislatorLowerBody	United States	ocd-division/country:us	Texas's 18th congressional district	ocd-division/country:us/state:tx/cd:18	35570c86-a663-4d0c-849b-c4592b20fd1d	District 18	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03				2026-11-03															e9e3985b-6e9d-4efa-8955-d034fd4f06e1	VACANT		
