State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
UT	country	legislatorUpperBody	United States	ocd-division/country:us	Utah	ocd-division/country:us/state:ut	15d7fec5-d7a5-4c32-8bb6-fde188ee8969		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2025-01-03		2030-11-05	1960-05-10	John_Curtis	https://www.youtube.com/@SenatorJohnCurtis	https://www.instagram.com/senjohncurtis/	SenJohnCurtis	https://www.facebook.com/SenJohnCurtis	https://www.curtis.senate.gov/wp-content/uploads/2025/01/20250108-donnell-021-768x960.jpg	https://www.curtis.senate.gov/contact/		SR-B11 Russell Senate Office Building, 2 Constitution Ave NE, Washington DC 20510	(202) 224-5251	https://www.curtis.senate.gov/		senjohncurtis	35eb3e3c-f8ce-4eb6-af6f-3f36c97e0440	John Curtis	Republican Party	Republican Party
UT	country	legislatorUpperBody	United States	ocd-division/country:us	Utah	ocd-division/country:us/state:ut	5fbce1b8-a8d4-4c76-848f-6c9028903688		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2011-01-03		2028-11-04	1971-06-04	Mike_Lee_(American_politician)	https://www.youtube.com/senatormikelee	https://www.instagram.com/senmikelee/	SenMikeLee	https://www.facebook.com/senatormikelee	https://www.lee.senate.gov/services/files/33C1D35A-5282-4AA8-A1FD-6958B75F0ECF	https://www.lee.senate.gov/contact		309 Cannon House Office Building Washington DC 20515	(202) 224-5444	https://www.lee.senate.gov/			8008b63d-20a2-4e36-a4f7-03f7d1aa9e1f	Mike Lee	Republican Party	Republican Party
UT	country	legislatorLowerBody	United States	ocd-division/country:us	Utah's 1st congressional district	ocd-division/country:us/state:ut/cd:1	afac23d6-733a-4657-93b5-a2bdd11598fe	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1980-06-22	Blake_Moore		https://www.instagram.com/repblakemoore/	RepBlakeMoore	https://www.facebook.com/RepBlakeMoore/	https://www.congress.gov/img/member/m001213_200.jpg	https://blakemoore.house.gov/contact/email-blake?clear		1131 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-0453	https://blakemoore.house.gov/			dce517ca-8738-41ca-bee5-75b7a9b5bee5	Blake Moore	Republican Party	Republican Party
UT	country	legislatorLowerBody	United States	ocd-division/country:us	Utah's 2nd congressional district	ocd-division/country:us/state:ut/cd:2	fe1f575a-c09a-4bd6-b152-58b817642277	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-11-28		2026-11-03	1981-05-22	Celeste_Maloy	https://www.youtube.com/@RepCelesteMaloy	https://www.instagram.com/RepCelesteMaloy	RepMaloyUtah	https://www.facebook.com/RepCelesteMaloy	https://maloy.house.gov/uploadedphotos/highresolution/12f7b468-b72a-4992-91c6-9b5de7f65e7e.jpg	https://maloy.house.gov/contact/		249 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-9730	https://maloy.house.gov/		repcelestemaloy	40aad60d-a8ed-483a-8b72-a04d65b782be	Celeste Maloy	Republican Party	Republican Party
UT	country	legislatorLowerBody	United States	ocd-division/country:us	Utah's 3rd congressional district	ocd-division/country:us/state:ut/cd:3	a630f988-4990-4ad0-96b8-0897db020839	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1969-02-02	Mike_Kennedy_(politician)		https://www.instagram.com/repmikekennedy/	RepMikeKennedy	https://www.facebook.com/RepMikeKennedy/	https://mikekennedy.house.gov/sites/evo-subsites/mikekennedy.house.gov/files/styles/large/public/evo-media-image/mikekennedy.jpeg.webp?itok=U-Fs4cMY	https://mikekennedy.house.gov/contact		1626 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-7751	https://mikekennedy.house.gov/			40bb30a1-4912-46e2-a666-84e03a960166	Mike Kennedy	Republican Party	Republican Party
UT	country	legislatorLowerBody	United States	ocd-division/country:us	Utah's 4th congressional district	ocd-division/country:us/state:ut/cd:4	039300f1-0970-4bce-b7d4-d937c06ffbe3	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1951-08-02	Burgess_Owens	https://www.youtube.com/channel/UCxeB7xjbLDJM9Yw6brXsX6Q	https://www.instagram.com/repburgessowens/	RepBurgessOwens	https://www.facebook.com/CongressmanBurgessOwens/	https://www.congress.gov/img/member/o000086_200.jpg	https://owens.house.gov/contact		309 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-3011	https://owens.house.gov/			eb6dfb36-2343-4385-80a4-39dea7a40068	Burgess Owens	Republican Party	Republican Party
UT	administrativeArea1	headOfGovernment	Utah	ocd-division/country:us/state:ut	Utah	ocd-division/country:us/state:ut	1ede176c-41cc-4187-9497-cce36247d39b		Governor of Utah	Governor			2029-01-01		2021-01-04		2028-11-07	1975-07-11	Spencer_Cox_(politician)	https://www.youtube.com/channel/UC1vzD0VdVexX8bXfiprwtzg	https://www.instagram.com/GovCoxUtah/	GovCox	https://www.facebook.com/GovCoxUtah	https://images.squarespace-cdn.com/content/v1/64d3f0ebcec583393861b643/b6bbd4b9-67d4-4f60-88c6-03aa2712a062/Cox+Home+Page.png?format=2500w	https://governor.utah.gov/contact/		P.O. Box 142220, Salt Lake City, UT 84114-2220	(801) 538-1000	https://governor.utah.gov/			41011d8c-1a6a-4b91-8162-29a05a82929a	Spencer J. Cox	Republican Party	Republican Party
UT	administrativeArea1	deputyHeadOfGovernment	Utah	ocd-division/country:us/state:ut	Utah	ocd-division/country:us/state:ut	bd11944f-a86b-49a9-ba51-8fbf93442260		Lieutenant Governor of Utah	Lieutenant Governor			2029-01-01		2021-01-04		2028-11-07		Deidre_Henderson	https://www.youtube.com/@LGHendersonUtah	https://www.instagram.com/lt.govhenderson/	LGHendersonUtah	https://www.facebook.com/deidrehendersonutah	https://ltgovernor.utah.gov/wp-content/uploads/Official-portrait-2-728x1024-1-213x300.jpg	https://sf.gov.utah.gov/Contact-LtGov/s/		P.O. Box 142220, Salt Lake City, UT 84114-2220	(801) 538-1041	https://ltgovernor.utah.gov/		lt.govhenderson	cd549d4b-014f-465c-be86-bb5c5adfd6ff	Deidre Henderson	Republican Party	Republican Party
UT	administrativeArea1	governmentOfficer	Utah	ocd-division/country:us/state:ut	Utah	ocd-division/country:us/state:ut	f0654c31-d0a9-4509-a30c-5a92d5207d37		UT State Attorney General	Attorney General			2029-01-01		2025-01-06		2028-11-07	1971-05-26	Derek_Brown_(politician)	https://www.youtube.com/user/UtahAGoffice		UtahAG	https://www.facebook.com/UtahAttorneyGeneral	https://images.squarespace-cdn.com/content/v1/6552eb784ecca209580985f0/77a0be16-4b27-4b5d-a97a-5f3df7c47aa1/Derek-Brown.png?format=2500w		uag@agutah.gov	P.O. Box 142320, Salt Lake City, UT 84114-2320	(801) 366-0260	https://attorneygeneral.utah.gov/			ade8de48-555e-4cd9-8866-f0b659946264	Derek Brown	Republican Party	Republican Party
UT	administrativeArea1	governmentOfficer	Utah	ocd-division/country:us/state:ut	Utah	ocd-division/country:us/state:ut	be1c9b7c-add9-495a-b07e-0cbc15c60682		UT State Auditor	State Auditor			2029-01-01		2025-01-06		2028-11-07		Tina_Cannon			TinaCannonUtah	https://www.facebook.com/TinaCannonUtah/	https://auditor.utah.gov/wp-content/uploads/sites/6/2025/01/Tina-blueblazer-scaled.jpg		tmcannon@utah.gov	350 State St, Ste 260, Salt Lake City, UT 84114	(801) 538-1025	https://auditor.utah.gov/			b9cee37c-1abf-40b0-a7c7-bb56a7754ed5	Tina Cannon	Republican Party	Republican Party
UT	administrativeArea1	highestCourtJudge	Utah	ocd-division/country:us/state:ut	Utah	ocd-division/country:us/state:ut	110fc071-e720-4941-9f53-ed2970ccc6a3		UT State Supreme Court Justice	State Supreme Court Justice	UT Supreme Court		2027-01-04		2022-08-17		2026-11-03		Jill_Pohlman					https://www.utcourts.gov/en/about/courts/judges-bios/appellate-courts/supreme-court/jill-m-pohlman/_jcr_content/root/container/container/columncontainer/col-2-2-1/image.coreimg.jpeg/1663062770799/pohlman-j-hires.jpeg		supremecourt@utcourts.gov	P.O. Box 140210, Salt Lake City, UT 84114-0210	(801) 238-7967	https://www.utcourts.gov/courts/sup/			7b0679db-f8f4-4800-8861-983d87f9f34e	Jill M. Pohlman	Nonpartisan	Nonpartisan
