State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
VI	country	legislatorLowerBody	United States	ocd-division/country:us	US Virgin Islands	ocd-division/country:us/territory:vi	539fc982-ab1b-4e58-9d2b-c64e85620ac3		Delegate to the U.S. House of Representatives	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1966-05-13	Stacey_Plaskett	https://www.youtube.com/channel/UC3V7biFZHDFHDFZy6cCSZUA	https://www.instagram.com/stacey_plaskett/	staceyplaskett	https://www.facebook.com/repstaceyplaskett	https://plaskett.house.gov/images/hero-img.jpg	https://plaskett.house.gov/contact/		2059 Rayburn House Office Building, Washington, DC 20515-5500	(202) 225-1790	https://plaskett.house.gov/			e864a10a-7c6b-43e3-9a18-65cf1fe31060	Stacey E. Plaskett	Democratic Party	Democratic Party
VI	administrativeArea1	headOfGovernment	US Virgin Islands	ocd-division/country:us/territory:vi	US Virgin Islands	ocd-division/country:us/territory:vi	286ff292-5b9a-4953-bb19-851c70662dec		Governor of U.S. Virgin Islands	Governor			2027-01-04		2019-01-07		2026-11-03	1968-02-21	Albert_Bryan_(politician)			govbryan		https://www.vi.gov/wp-content/uploads/2019/11/Gov-Official-Photo.jpg	https://www.vi.gov/contact/		5047 (21-22) Kongens Gade, St. Thomas, VI 00802-6487	(340) 774-0001	https://www.vi.gov/			b955c0e6-d6b7-4e88-8a0e-827ea6a250c5	Albert Bryan, Jr.	Democratic Party	Democratic Party
VI	administrativeArea1	deputyHeadOfGovernment	US Virgin Islands	ocd-division/country:us/territory:vi	US Virgin Islands	ocd-division/country:us/territory:vi	e4226a2f-179c-4062-a53a-684924b19b6f		Lieutenant Governor of U.S. Virgin Islands	Lieutenant Governor			2027-01-04		2019-01-07		2026-11-03		Tregenza_Roach				https://www.facebook.com/Office-of-the-Lieutenant-Governor-US-Virgin-Islands-1465335007120296	https://ltg.gov.vi/wp-content/uploads/2019/01/Roach-Tregenza-A.jpg	https://ltg.gov.vi/contact-us/		1131 King Street Suite 101 Christiansted, St.Croix, Virgin Islands 00820	(340) 773-6449	https://ltg.gov.vi/			4f5b4ddf-c18b-435f-b9cc-e17ed2ee6b7c	Tregenza A. Roach	Democratic Party	Democratic Party
VI	administrativeArea1	legislatorUpperBody	US Virgin Islands	ocd-division/country:us/territory:vi	US Virgin Islands	ocd-division/country:us/territory:vi	9704d9ae-d97e-441b-b55b-65417b9418c2	At Large	U.S. Virgin Islands State Senator	State Senator	U.S. Virgin Islands Legislature		2027-01-11		2025-01-13		2026-11-03		Angel_Bolques_Jr.		https://www.instagram.com/angelbolquesjr/		https://www.facebook.com/angelbolquesjr/	https://legvi.org/wp-content/uploads/2025/01/Angel-Bolques-Jr-Final-scaled.jpg		senatorbolques@legvi.org	P.O. Box 1690, St. Thomas, VI 00804	(340) 774-0880	https://legvi.org/senator/senator-angel-l-bolques-jr-36th/			7ab3b7cd-5908-4f3a-ab41-d8774b0e252c	Angel L. Bolques, Jr.	Democratic Party	Democratic Party
VI	administrativeArea1	schoolBoard	US Virgin Islands	ocd-division/country:us/territory:vi	US Virgin Islands	ocd-division/country:us/territory:vi	6f5adb33-6b03-4d19-8e90-5dea0c5f518a	At Large	VI Board of Education Member	State Public Education Commissioner	VI Board of Education		2029-01-01		2025-01-06		2028-11-07						https://www.facebook.com/myviboe	https://myviboe.com/wp-content/uploads/2025/02/Hendricks-Cagan-scaled.jpg		ahendricks@myviboe.com	PO Box 11900 60B, 61 & 62 Dronningens Gade St. Thomas, VI 00801	(340) 774-4546	https://myviboe.com/member/abigail-hendricks-cagan/			d9c6c84a-2b19-47bd-8e24-cf9489ffd3ab	Abigail Hendricks Cagan	Unaffiliated	Unaffiliated
VI	administrativeArea1	legislatorUpperBody	US Virgin Islands	ocd-division/country:us/territory:vi	Virgin Islands Senate District St. Croix	ocd-division/country:us/territory:vi/sldu:st_croix	8ce444cd-f88a-4ec4-b828-38db37b3339d	St. Croix	U.S. Virgin Islands State Senator	State Senator	U.S. Virgin Islands Legislature		2027-01-11		2025-01-13		2026-11-03		Kurt_Vialet		https://www.instagram.com/readyforvialet/		https://www.facebook.com/profile.php?id=100064835102523&locale=mt_MT	https://legvi.org/wp-content/uploads/2025/01/Kurt-Vialet-Final-scaled.jpg		senatorkurtvialet@legvi.org	P.O. Box 1690, St. Thomas, VI 00804	(340) 774-0880	https://legvi.org/senator/senator-kurt-a-vialet-36th/			c5f2ea40-73bf-4615-8099-6ca78ea5205e	Kurt A. Vialet	Democratic Party	Democratic Party
VI	administrativeArea1	legislatorUpperBody	US Virgin Islands	ocd-division/country:us/territory:vi	Virgin Islands Senate District St. Croix	ocd-division/country:us/territory:vi/sldu:st_croix	cea11633-4bd0-40ad-975c-6e3800078cc5	St. Croix	U.S. Virgin Islands State Senator	State Senator	U.S. Virgin Islands Legislature		2027-01-11		2021-01-11		2026-11-03						https://www.facebook.com/FranklinFrankieJohnson/	https://legvi.org/wp-content/uploads/2025/02/Franklin-D-Johnson-official-scaled.jpg		senatorjohnson@legvi.org	P.O. Box 1690, St. Thomas, VI 00804	(340) 774-0880	https://legvi.org/senator/senator-franklin-d-johnson-36th/			ab515a3b-20d5-4bb6-a408-6dafd1d62a2a	Franklin D. Johnson	Unaffiliated	Unaffiliated
VI	administrativeArea1	legislatorUpperBody	US Virgin Islands	ocd-division/country:us/territory:vi	Virgin Islands Senate District St. Croix	ocd-division/country:us/territory:vi/sldu:st_croix	9c3eb74a-c684-4c11-a922-59731f532042	St. Croix	U.S. Virgin Islands State Senator	State Senator	U.S. Virgin Islands Legislature		2027-01-11		2025-01-13		2026-11-03		Novelle_Francis				https://www.facebook.com/p/Senator-Novelle-E-Francis-Jr-100064876599598/	https://legvi.org/wp-content/uploads/2023/02/Sen.-Novelle-Francis-scaled.jpg		nfrancis@legvi.org	P.O. Box 1690, St. Thomas, VI 00804	(340) 774-0880	https://legvi.org/senator/senator-novelle-e-francis-jr-36th/			947faac2-c8cd-4982-a993-0eb1fd8b9ac6	Novelle E. Francis, Jr.	Democratic Party	Democratic Party
VI	administrativeArea1	legislatorUpperBody	US Virgin Islands	ocd-division/country:us/territory:vi	Virgin Islands Senate District St. Croix	ocd-division/country:us/territory:vi/sldu:st_croix	806982a2-c517-4b2d-ae56-042740b0ee00	St. Croix	U.S. Virgin Islands State Senator	State Senator	U.S. Virgin Islands Legislature		2027-01-11		2025-01-13		2026-11-03							https://legvi.org/wp-content/uploads/2025/01/Clifford-A-Joseph-Final-scaled.jpg		senatorcliffordjoseph@legvi.org	P.O. Box 1690, St. Thomas, VI 00804	(340) 774-0880	https://legvi.org/senator/senator-clifford-a-joseph-36th/			94593038-9bd4-45c4-84a8-66a77e4d2be4	Clifford A. Joseph	Democratic Party	Democratic Party
VI	administrativeArea1	legislatorUpperBody	US Virgin Islands	ocd-division/country:us/territory:vi	Virgin Islands Senate District St. Croix	ocd-division/country:us/territory:vi/sldu:st_croix	3eacb2be-5a2c-4646-b9d9-4189cf4cc615	St. Croix	U.S. Virgin Islands State Senator	State Senator	U.S. Virgin Islands Legislature		2027-01-11		2013-01-14		2026-11-03						https://www.facebook.com/SenatorKennethGittens/	https://legvi.org/senator/senator-kenneth-l-gittens-36th/		kgittens@legvi.org	P.O. Box 1690, St. Thomas, VI 00804	(340) 774-0880	https://legvi.org/index.php/member/senator-kenneth-l-gittens-2/			e18c031d-7843-4f7d-b2a9-120041550ceb	Kenneth L. Gittens	Democratic Party	Democratic Party
