State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
VT	country	legislatorLowerBody	United States	ocd-division/country:us	Vermont	ocd-division/country:us/state:vt	a10f5170-bf01-49c3-89cd-d5f910afc581		U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1968-05-04	Becca_Balint	https://www.youtube.com/@repbeccab	https://www.instagram.com/repbeccab/	RepBeccaB	https://www.facebook.com/RepBeccaB/	https://balint.house.gov/uploadedphotos/highresolution/1a8654c8-393d-4994-aca2-d2a603a91ab9.jpg	https://balint.house.gov/contact/		1510 Longworth House Office Building Washington, DC 20515	(202) 225-4115	https://balint.house.gov/			f0ce6e14-7df3-49f0-9f11-7334744b4a11	Becca Balint	Democratic Party	Democratic Party
VT	country	legislatorUpperBody	United States	ocd-division/country:us	Vermont	ocd-division/country:us/state:vt	d2a2a350-9c6f-4630-9acc-3083e168c76f		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2007-01-03		2030-11-05	1941-09-08	Bernie_Sanders	https://www.youtube.com/user/SenatorSanders	https://www.instagram.com/berniesanders/	sensanders	https://www.facebook.com/senatorsanders	https://pbs.twimg.com/profile_images/794619281271033856/Fs0QQaH7_400x400.jpg	https://www.sanders.senate.gov/contact/contact-form/		332 Dirksen Building, Washington, D.C. 20510	(202) 224-5141	https://www.sanders.senate.gov/			38e8c586-5829-432a-85b2-6f7185ebb2eb	Bernie Sanders	Unaffiliated	Unaffiliated
VT	country	legislatorUpperBody	United States	ocd-division/country:us	Vermont	ocd-division/country:us/state:vt	b815d797-d05d-48f3-9531-5433e79e1a1f		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2023-01-03		2028-11-07	1947-05-02	Peter_Welch	https://www.youtube.com/user/reppeterwelch	https://www.instagram.com/senpeterwelch/	PeterWelch	https://www.facebook.com/PeterWelch	https://www.welch.senate.gov/wp-content/uploads/2022/12/Welch-Initial.jpg	https://www.welch.senate.gov/share-your-opinion/		SDG-12 Dirksen Senate Office Building Washington, DC 20510	(202) 224-4242	https://www.welch.senate.gov/			87653735-5289-4f00-87fc-fcf5ce71e03b	Peter Welch	Democratic Party	Democratic Party
VT	administrativeArea1	headOfGovernment	Vermont	ocd-division/country:us/state:vt	Vermont	ocd-division/country:us/state:vt	6b0b0884-270d-4789-85dd-b3009b91b537		Governor of Vermont	Governor			2027-01-07		2017-01-05		2026-11-03	1958-08-04	Phil_Scott_(politician)	https://www.youtube.com/@gov.philscott	https://www.instagram.com/philscottvt/	GovPhilScott	https://www.facebook.com/GovPhilScott/	https://upload.wikimedia.org/wikipedia/commons/c/cc/Phil_Scott_2019.png	https://vermontce.my.vermont.gov/s/governor-office-ce?_gl=1*1fsoqim*_ga*MTMzOTA1NjgyOC4xNzM4NzEyNzQz*_ga_V9WQH77KLW*MTczODcxMjc0My4xLjEuMTczODcxMjc3NC4wLjAuMA..		109 State Street, Montpelier, VT 05609	(802) 828-3333	https://governor.vermont.gov/			9430a98a-f8e4-4c5c-ac1f-c32c799161d7	Phil Scott	Republican Party	Republican Party
VT	administrativeArea1	deputyHeadOfGovernment	Vermont	ocd-division/country:us/state:vt	Vermont	ocd-division/country:us/state:vt	de9b4c8d-fc56-49ab-a0d0-7c9167438a55		Lieutenant Governor of Vermont	Lieutenant Governor			2027-01-07		2025-01-09		2026-11-03	1965-07-29	John_S._Rodgers		https://www.instagram.com/vtltgov/		https://www.facebook.com/VTLtGov	https://media.licdn.com/dms/image/C4D03AQFpE8HmTzzwjg/profile-displayphoto-shrink_200_200/0/1605789708824?e=2147483647&v=beta&t=SoOn6PbGGsnrAjRCfZVKcqX0KWplWI_Ht22bsYzU6QI	https://ltgov.vermont.gov/form/contact		115 State Street Montpelier, Vermont 05633	(802) 828-2226	https://ltgov.vermont.gov/			7ce7b25a-dd69-4141-848d-938cbd822155	John S. Rodgers	Republican Party	Republican Party
VT	administrativeArea1	governmentOfficer	Vermont	ocd-division/country:us/state:vt	Vermont	ocd-division/country:us/state:vt	748e7245-d658-4da3-a26e-63b3be2ed452		VT Secretary of State	Secretary of State			2027-01-07		2023-01-05		2026-11-03	1970-07-09	Sarah_Copeland-Hanzas		https://www.instagram.com/vtsecretaryofstate	VermontSOS	https://www.facebook.com/profile.php?id=100089369359457	https://upload.wikimedia.org/wikipedia/commons/2/2a/Sarah_Copeland-Hanzas_at_Secretary_of_State_Democratic_Party_Primary_Forum_%28cropped%29.jpg	https://sos.vermont.gov/secretary-s-desk/contact/		128 State Street Montpelier, VT 05633-1101	(802) 828-2363	https://sos.vermont.gov/			75754661-a583-46bd-8c39-7a0ad67469aa	Sarah Copeland Hanzas	Democratic Party	Democratic Party
VT	administrativeArea1	governmentOfficer	Vermont	ocd-division/country:us/state:vt	Vermont	ocd-division/country:us/state:vt	0e655d5e-530e-4294-8ca0-e44765472924		VT State Attorney General	Attorney General			2027-01-07		2023-01-05		2026-11-03	1975-07-15	Charity_Clark		https://www.instagram.com/agcharityclark/	VTAttorneyGen	https://www.facebook.com/VTAttorneyGeneral	https://ago.vermont.gov/sites/ago/files/inline-images/Charity%20R%20Clark_0.JPG	https://ago.vermont.gov/contact-form		109 State St Montpelier, VT 05609	(802) 828-3171	https://ago.vermont.gov/			ea9c7d89-fd9f-496c-965a-0318a9dc1ca1	Charity R. Clark	Democratic Party	Democratic Party
VT	administrativeArea1	governmentOfficer	Vermont	ocd-division/country:us/state:vt	Vermont	ocd-division/country:us/state:vt	cfcff533-bfba-443e-a3a1-11d83ca6855e		VT State Auditor	State Auditor			2027-01-07		2025-01-09		2026-11-03	1953-09-03	Doug_Hoffer			VTstateauditor		https://media.licdn.com/dms/image/C4E03AQE_OJSd0v257A/profile-displayphoto-shrink_200_200/0/1517666228018?e=2147483647&v=beta&t=4lcTanIY3vJM0h0cHq_tJM7v9IBh6WChAC8YTs0Z438		aud.auditor@vermont.gov	132 State Street, Montpelier, VT 05633-5101	(802) 828-2281	https://auditor.vermont.gov/			1e17cd38-4cf5-4701-927e-ed3205143c84	Doug Hoffer	Democratic Party	Democratic Party
VT	administrativeArea1	governmentOfficer	Vermont	ocd-division/country:us/state:vt	Vermont	ocd-division/country:us/state:vt	7ae17bbc-49d4-491c-bf2a-7da5b01d7807		VT State Treasurer	State Treasurer			2027-01-07		2025-01-08		2026-11-03	1983-06-21	Mike_Pieciak		https://www.instagram.com/mikeforvermont/	MikePieciak	https://www.facebook.com/p/Vermont-Treasurer-Mike-Pieciak-100090809777389/	https://www.vermonttreasurer.gov/sites/treasurer/files/inline-images/Mike%20Headshot.jpeg		treasurers.office@vermont.gov	109 State Street Montpelier, Vermont 05609	(802) 828-2301	http://www.vermonttreasurer.gov/about-treasurers-office/meet-state-treasurer-mike-pieciak			6d65a714-7422-4804-abf2-7daf3a98299a	Mike Pieciak	Democratic Party	Democratic Party
VT	administrativeArea1	legislatorLowerBody	Vermont	ocd-division/country:us/state:vt	Vermont Addison-1 State House district	ocd-division/country:us/state:vt/sldl:addison-1	0fb11903-5dce-4a6f-9de2-bc3fa21f8935	District Addison-1	VT State Representative	State Representative	VT State House		2027-01-06		2025-01-08		2026-11-03					RobinScheu	https://www.facebook.com/RepRobinScheu/	https://legislature.vermont.gov/Documents/Legislators/Scheu,Robin%20046.jpg		rscheu@leg.state.vt.us	115 State St., Montpelier, VT 05633-5301	(802) 388-1460	https://legislature.vermont.gov/people/single/2024/27154			6fc3434e-5736-4ed6-adf1-602ee8ca4ae1	Robin Scheu	Democratic Party	Democratic Party
