State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
WA	country	legislatorUpperBody	United States	ocd-division/country:us	Washington	ocd-division/country:us/state:wa	1e6b9182-cd07-4499-84da-c24d716d3576		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		1993-01-03		2028-11-07	1950-10-11	Patty_Murray	https://www.youtube.com/user/SenatorPattyMurray	https://www.instagram.com/senpattymurray/	PattyMurray		https://www.murray.senate.gov/wp-content/uploads/2021/09/bio-5.png	https://www.murray.senate.gov/write-to-patty/		154 Russell Senate Office Building, Washington DC 20510	(202) 224-2621	https://www.murray.senate.gov/			31b8083b-37eb-46b9-829d-3bd8ebd1a4e7	Patty Murray	Democratic Party	Democratic Party
WA	country	legislatorUpperBody	United States	ocd-division/country:us	Washington	ocd-division/country:us/state:wa	7ae627b2-39a9-4d94-b004-8c829d4613aa		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2001-01-03		2030-11-05	1958-10-13	Maria_Cantwell	https://www.youtube.com/user/SenatorCantwell	https://www.instagram.com/senatormariacantwell/	SenatorCantwell	https://www.facebook.com/senatorcantwell/	https://www.congress.gov/img/member/c000127_200.jpg	https://www.cantwell.senate.gov/contact		511 Hart Senate Office Building, 120 Constitution Ave NE, Washington DC 20510	(202) 224-3441	https://www.cantwell.senate.gov/			32500d47-6999-423f-b792-2fb38b204134	Maria Cantwell	Democratic Party	Democratic Party
WA	country	legislatorLowerBody	United States	ocd-division/country:us	Washington's 1st congressional district	ocd-division/country:us/state:wa/cd:1	f4ad5bae-a9a2-4870-aa03-f03cdf9584f0	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2012-11-13		2026-11-03	1962-02-17	Suzan_DelBene	https://www.youtube.com/channel/UCd00b7TpKDZIr-Ujhaktvjg	https://www.instagram.com/repdelbene/	RepDelBene	https://www.facebook.com/RepDelBene	https://www.congress.gov/img/member/d000617_200.jpg	https://delbene.house.gov/contact/		2311 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-6311	https://delbene.house.gov/			308b390b-c353-42a3-ba00-aee2a98b486b	Suzan DelBene	Democratic Party	Democratic Party
WA	country	legislatorLowerBody	United States	ocd-division/country:us	Washington's 10th congressional district	ocd-division/country:us/state:wa/cd:10	347663d7-6529-4bd7-a990-735a8411c460	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1962-09-25	Marilyn_Strickland	https://www.youtube.com/@RepStricklandWA/featured	https://www.instagram.com/repstricklandwa/	RepStricklandWA	https://www.facebook.com/RepStricklandWA/	https://strickland.house.gov/wp-content/uploads/2024/02/Image-1.png	https://strickland.house.gov/contact/		1724 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-9740	https://strickland.house.gov/			49f404f9-c35b-4fc5-a860-73d18fdef72b	Marilyn Strickland	Democratic Party	Democratic Party
WA	country	legislatorLowerBody	United States	ocd-division/country:us	Washington's 2nd congressional district	ocd-division/country:us/state:wa/cd:2	06617ab4-d618-405e-be17-ac5b571c3587	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2001-01-03		2026-11-03	1965-06-15	Rick_Larsen	https://www.youtube.com/user/CongressmanLarsen	https://www.instagram.com/repricklarsen/	RepRickLarsen	https://www.facebook.com/RepRickLarsen	https://larsen.house.gov/uploadedphotos/mediumresolution/cfd9a158-5f9c-4b81-a622-da8b61083fc9.jpg	https://larsen.house.gov/contact/		2163 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-2605	https://larsen.house.gov/			560f45c7-163f-4ba7-98cb-783fcb394e01	Rick Larsen	Democratic Party	Democratic Party
WA	country	legislatorLowerBody	United States	ocd-division/country:us	Washington's 3rd congressional district	ocd-division/country:us/state:wa/cd:3	5785e698-b440-4e10-bb18-02b837cc37e1	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1988-06-04	Marie_Gluesenkamp_Perez	https://www.youtube.com/@RepMGP	https://www.instagram.com/repmgp/	RepMGP	https://www.facebook.com/RepMGP	https://www.congress.gov/img/member/g000600_200.jpg	https://gluesenkampperez.house.gov/contact		1431 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-3536	https://gluesenkampperez.house.gov/		repmgp	1b1e1b21-3da1-4122-98dd-e76d85ca07a1	Marie Gluesenkamp Perez	Democratic Party	Democratic Party
WA	country	legislatorLowerBody	United States	ocd-division/country:us	Washington's 4th congressional district	ocd-division/country:us/state:wa/cd:4	27f32d98-44c5-4b02-b706-20a3223fb57a	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1955-07-10	Dan_Newhouse	https://www.youtube.com/channel/UCllbsv_aoIaPS6W3aSonZlw	https://www.instagram.com/repnewhouse/	RepNewhouse	https://www.facebook.com/RepNewhouse	https://newhouse.house.gov/sites/evo-subsites/newhouse.house.gov/files/styles/evo_image_portrait_480/public/wysiwyg_uploaded/Small%20Rep.%20Dan%20Newhouse.jpg?itok=5fQ_RTdY	https://newhouse.house.gov/address_authentication?form=/contact		460 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-5816	https://newhouse.house.gov/			79465e60-b01b-4d3f-a826-098f0e15577a	Dan Newhouse	Republican Party	Republican Party
WA	country	legislatorLowerBody	United States	ocd-division/country:us	Washington's 5th congressional district	ocd-division/country:us/state:wa/cd:5	3d19ecc3-731c-4c1e-925c-3648c89b84b8	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1975-12-13	Michael_Baumgartner	https://www.youtube.com/@RepBaumgartner	https://www.instagram.com/repbaumgartner	RepBaumgartner	https://www.facebook.com/RepBaumgartner	https://baumgartner.house.gov/sites/evo-subsites/baumgartner.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/2024-11-19_ike_baumgartner_michael_0019_re_web_0.jpg?itok=Gtq5KDcd	https://baumgartner.house.gov/contact/email-me		124 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-2006	https://baumgartner.house.gov/			43cd96fc-22fd-4ba1-9ac4-9269fb9b3e17	Michael Baumgartner	Republican Party	Republican Party
WA	country	legislatorLowerBody	United States	ocd-division/country:us	Washington's 6th congressional district	ocd-division/country:us/state:wa/cd:6	4664f53d-358a-4ae6-bd44-ee01a726e194	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1985-10-30	Emily_Randall		https://www.instagram.com/repemilyrandall	EmilyRandallWA	https://www.facebook.com/RepEmilyRandall	https://randall.house.gov/sites/evo-subsites/randall.house.gov/files/styles/large/public/evo-media-image/2024_randall_emily_official.jpg.webp?itok=rs8a77hp	https://randall.house.gov/address_authentication?form=/contact/email-me		1531 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-5916	https://randall.house.gov/		repemilyrandall	8f137ae4-7495-4524-990d-51c08a224639	Emily Randall	Democratic Party	Democratic Party
WA	country	legislatorLowerBody	United States	ocd-division/country:us	Washington's 7th congressional district	ocd-division/country:us/state:wa/cd:7	dd1209b3-3a45-45a3-80e6-f885329b4fac	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-01-03		2026-11-03	1965-09-21	Pramila_Jayapal	https://www.youtube.com/repjayapal	https://www.instagram.com/repjayapal/	RepJayapal	https://www.facebook.com/RepJayapal/	https://jayapal.house.gov/wp-content/uploads/2019/09/PJ-updated-headshot-214x300.jpg	https://jayapal.house.gov/contact/email/		2346 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-3106	https://jayapal.house.gov/			d8c5143e-df01-46d8-996c-2797dfe9cefd	Pramila Jayapal	Democratic Party	Democratic Party
