State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
WV	country	legislatorUpperBody	United States	ocd-division/country:us	West Virginia	ocd-division/country:us/state:wv	7f50ff3e-e1e1-4e4a-9c1d-9689085ccb56		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2015-01-03		2026-11-03	1953-11-26	Shelley_Moore_Capito	https://www.youtube.com/channel/UCbiXdR4XQ3vD9Xp5lfR9QXw	https://www.instagram.com/sencapito/	SenCapito	https://www.facebook.com/senshelley/	https://upload.wikimedia.org/wikipedia/commons/7/75/Shelley_Moore_Capito_official_Senate_photo.jpg	https://www.capito.senate.gov/contact/contact-my-office		172 Russell Senate Office Building, Washington DC 20510	(202) 224-6472	https://www.capito.senate.gov/			722d61e5-fcf7-4d8a-8db5-c38954a60607	Shelley Moore Capito	Republican Party	Republican Party
WV	country	legislatorUpperBody	United States	ocd-division/country:us	West Virginia	ocd-division/country:us/state:wv	611a8d75-9951-4e51-8de9-050870147ee0		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2025-01-03		2030-11-05	1951-04-27	Jim_Justice		https://www.instagram.com/senjimjustice/	JimJustice_WV	https://www.facebook.com/profile.php?id=100044187231175	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Senator_Jim_Justice_Official_Portrait.jpg/500px-Senator_Jim_Justice_Official_Portrait.jpg	https://www.justice.senate.gov/share-your-opinion/		SD-G12 Dirksen Senate Office Building, Washington, DC 20510	(202) 224-3954	https://www.justice.senate.gov/			1bb148b8-8b8e-4e0f-a2b8-89fa29d44369	Jim Justice	Republican Party	Republican Party
WV	country	legislatorLowerBody	United States	ocd-division/country:us	West Virginia's 1st congressional district	ocd-division/country:us/state:wv/cd:1	137d151e-9aba-434c-9650-8663e6721031	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1950-11-04	Carol_Miller_(politician)	https://www.youtube.com/@repcarolmiller/	https://www.instagram.com/repcarolmiller/	RepCarolMiller	https://www.facebook.com/RepCarolMiller	https://miller.house.gov/sites/evo-subsites/miller.house.gov/files/styles/large/public/evo-media-image/RepMillerHeadshot2024.jpg?itok=6k7auQ2N	https://millerforms.house.gov/contact/		465 Cannon House Office Building, Washington, DC 20515	(202) 225-3452	https://miller.house.gov/			6e25ba7a-fcf8-4b30-af84-945c3ebc2132	Carol Miller	Republican Party	Republican Party
WV	country	legislatorLowerBody	United States	ocd-division/country:us	West Virginia's 2nd congressional district	ocd-division/country:us/state:wv/cd:2	76ce3b69-4cd1-4f7e-924e-6a01f10d8392	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1980-07-01	Riley_Moore	https://www.youtube.com/@RileyMoorePress	https://www.instagram.com/reprileymoore	RepRileyMoore	https://www.facebook.com/people/Congressman-Riley-M-Moore/61571405527142/	https://rileymoore.house.gov/sites/evo-subsites/rileymoore.house.gov/files/styles/large/public/evo-media-image/2024_moore_riley_official.jpg.webp?itok=FyXE7pYg	https://rileymoore.house.gov/contact/email-me		1337 Longworth House Office Building, Washington, DC 20515	(202) 225-2711	https://rileymoore.house.gov/			843f3b37-806c-48bb-b056-a365d4ee7a6f	Riley Moore	Republican Party	Republican Party
WV	administrativeArea1	headOfGovernment	West Virginia	ocd-division/country:us/state:wv	West Virginia	ocd-division/country:us/state:wv	d740d9b5-3f95-42cd-876e-e141e0907f50		Governor of West Virginia	Governor			2029-01-15		2025-01-13		2028-11-07	1967-12-21	Patrick_Morrisey	https://www.youtube.com/@WVGovernor		wvgovernor	https://www.facebook.com/WVGovernor/	https://governor.wv.gov/sites/g/files/uyhtqs246/files/2024-12/morrissey.jpg	https://wv.accessgov.com/governor/Forms/Page/submitcomment-governor/contact-governor/0		1900 Kanawha Blvd. E, Charleston, WV 25305	(304) 558-2000	https://governor.wv.gov/			7fdb84c9-008a-48a9-aa5f-eb9e2cbcf51b	Patrick Morrisey	Republican Party	Republican Party
WV	administrativeArea1	governmentOfficer	West Virginia	ocd-division/country:us/state:wv	West Virginia	ocd-division/country:us/state:wv	24b6e079-5e76-4946-93f5-8a18af635c53		WV Secretary of State	Secretary of State			2029-01-15		2025-01-13		2028-11-07		Kris_Warner	https://www.youtube.com/@wvsos	https://www.instagram.com/wvsecofstate	wvsosoffice	https://www.facebook.com/wvsos	https://sos.wv.gov/about/PublishingImages/Past%20Secretaries/KrisWarner.JPG		communications@wvsos.gov	1900 Kanawha Boulevard East, Charleston, WV 25305	(304) 558-6000	https://sos.wv.gov/Pages/default.aspx			4ceec276-93e2-47c6-8431-3d99bdf7b56f	Kris Warner	Republican Party	Republican Party
WV	administrativeArea1	governmentOfficer	West Virginia	ocd-division/country:us/state:wv	West Virginia	ocd-division/country:us/state:wv	594aceb1-28fe-4a3c-b3fb-1ae59984d813		WV State Attorney General	Attorney General			2029-01-15		2025-01-13		2028-11-07		JB_McCuskey		https://www.instagram.com/wvattorneygeneral/	WestVirginiaAG	https://www.facebook.com/wvago	https://ago.wv.gov/about/SiteAssets/Pages/Meet-The-Attorney-General/AG%20McCusker%20pic.jpeg			1900 Kanawha Boulevard East, State Capitol Complex, Bldg. 1, Rm E-26, Charleston, WV 25305	(304) 558-2021	https://ago.wv.gov/Pages/default.aspx			f325131b-3382-42d9-9b9b-6c293949cdd9	"John ""JB"" McCuskey"	Republican Party	Republican Party
WV	administrativeArea1	governmentOfficer	West Virginia	ocd-division/country:us/state:wv	West Virginia	ocd-division/country:us/state:wv	0b7db25e-8b52-4d1b-a78c-0d282a1d15b8		WV State Auditor	State Auditor			2029-01-15		2025-01-13		2028-11-07	1960-01-23	Mark_Hunt_(politician)					https://www.wvsao.gov/Content/img/Auditor-Hunt-Bio-pic.jpg	https://www.wvsao.gov/ContactUs/Contact		1900 Kanawha Boulevard East, Building 1, Room W-100, Charleston, WV 25305	(304) 558-2251	https://www.wvsao.gov/			6b614cb3-7382-4c76-9cf7-817eb83b4005	Mark Hunt	Republican Party	Republican Party
WV	administrativeArea1	governmentOfficer	West Virginia	ocd-division/country:us/state:wv	West Virginia	ocd-division/country:us/state:wv	11b99f93-1648-425a-9f6c-24289cf7c2a2		WV State Commissioner of Agriculture	State Agriculture Commissioner			2029-01-15		2017-01-16		2028-11-07	1954-04-02	Kent_Leonhardt	https://www.youtube.com/@wvdepartmentofagriculture5524/		WVDeptofAg	https://www.facebook.com/West.Virginia.Department.of.Agriculture	https://pbs.twimg.com/profile_images/892046779075756036/MVbxxeQ7_400x400.jpg	https://agriculture.wv.gov/contact-us/		1900 Kanawha Blvd E, East State Capitol, Room E-28, Charleston, WV 23505-0170	(304) 558-3550	https://agriculture.wv.gov/			6bba79d1-ef80-4b9b-8dce-57b9635e0d0d	Kent Leonhardt	Republican Party	Republican Party
WV	administrativeArea1	highestCourtJudge	West Virginia	ocd-division/country:us/state:wv	West Virginia	ocd-division/country:us/state:wv	7691bca9-7405-4ad7-8adf-4f80c2ee63ff		WV State Supreme Court of Appeals Justice	State Supreme Court Justice	WV Supreme Court of Appeals		2037-01-01		2019-01-04		2036-11-04	1960-10-03	Charles_S._Trump	https://www.youtube.com/@wvsupremecourt/	https://www.instagram.com/wvcourts/	WVcourts	https://www.facebook.com/wvjudiciary	https://www.courtswv.gov/sites/default/pubfilesmnt/styles/headshots992/public/2025-01/TrumpHeadshot.jpg		charles.trump@courtswv.gov	Capitol Complex, Building One, Room E-305, Charleston, WV 25305	(304) 558-4282	https://www.courtswv.gov/appellate-courts/supreme-court-of-appeals/about-the-court			c4fc3ac7-517a-4da5-ba76-73c3a7987368	Charles S. Trump IV	Nonpartisan	Nonpartisan
