State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
WY	country	legislatorLowerBody	United States	ocd-division/country:us	Wyoming	ocd-division/country:us/state:wy	b285b294-e815-464c-bd41-a72a879b389d		U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1962-10-18	Harriet_Hageman	https://www.youtube.com/@rephageman	https://www.instagram.com/rephageman/	RepHageman	https://www.facebook.com/RepHageman/	https://hageman.house.gov/sites/evo-subsites/hageman.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/official-harriet-hageman-wy00.jpg	https://hageman.house.gov/contact		1227 Longworth House Office Building, Washington, DC 20515	(202) 225-2311	https://hageman.house.gov/			9b7477fe-e25f-4eca-bee5-4a7e41dcfe05	Harriet Hageman	Republican Party	Republican Party
WY	country	legislatorUpperBody	United States	ocd-division/country:us	Wyoming	ocd-division/country:us/state:wy	1d7af609-4b10-49ca-a7f6-bc27eb6ec944		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2021-01-03		2026-11-03	1954-09-10	Cynthia_Lummis	https://www.youtube.com/@SenatorCynthiaLummis	https://www.instagram.com/sencynthialummis/	SenLummis	https://www.facebook.com/sencynthialummis	https://www.lummis.senate.gov/wp-content/uploads/CL-Official-portrait-1.png	https://www.lummis.senate.gov/contact/contact-form/		124 Russell Senate Office Building, Washington, DC 20510	(202) 224-3424	https://www.lummis.senate.gov/			f0c7c962-06df-4ebb-b400-055f72e6340d	Cynthia M. Lummis	Republican Party	Republican Party
WY	country	legislatorUpperBody	United States	ocd-division/country:us	Wyoming	ocd-division/country:us/state:wy	f042c3e7-c7d4-459f-b431-92e7fc04c610		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2007-06-25		2030-11-07	1952-07-21	John_Barrasso	https://www.youtube.com/@barrassowyo	https://www.instagram.com/senjohnbarrasso/	SenJohnBarrasso	https://www.facebook.com/johnbarrasso	https://www.barrasso.senate.gov/public/_cache/files/f67d81b7-6041-45c2-bc9e-bc42aed4e276/support.1441806276226.sen.-john-barrasso-r-wyo-photogallery.jpg	https://www.barrasso.senate.gov/public/index.cfm/contact-form		307 Dirksen Senate Office Building, Washington, DC 20510	(202) 224-6441	https://www.barrasso.senate.gov/			13e72b74-34c9-42b0-bda4-8194460157fc	John Barrasso	Republican Party	Republican Party
WY	administrativeArea1	headOfGovernment	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	f81d4395-e043-4fad-9095-8d74c0095b24		Governor of Wyoming	Governor			2027-01-04		2019-01-07		2026-11-03	1957-03-14	Mark_Gordon_(politician)		https://www.instagram.com/governormarkgordon/	GovernorGordon	https://www.facebook.com/governormarkgordon/	https://governor.wyo.gov/assets/markgordon.f95f0f3f.jpg	https://governor.wyo.gov/contact/governor		200 West 24th Street, Cheyenne, WY 82002	(307) 777-7434	https://governor.wyo.gov/			12fa5e38-e5d2-4f71-bb4f-fce43ac4c7d0	Mark Gordon	Republican Party	Republican Party
WY	administrativeArea1	governmentOfficer	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	1f20bcba-f053-4b29-8ebe-71d64db4b838		WY Secretary of State	Secretary of State			2027-01-07		2023-01-02		2026-11-03		Chuck_Gray_(Wyoming_politician)		https://www.instagram.com/wyomingsos/	wyomingsos	https://www.facebook.com/wyosos			secofstate@wyo.gov	122 West 25th Street Suite 100 Cheyenne, WY 82002-0020	(307) 777-7378	https://sos.wyo.gov/			827791d5-0bdc-4bca-b5f6-4c6a50fda077	Chuck Gray	Republican Party	Republican Party
WY	administrativeArea1	governmentOfficer	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	36da8b01-90d2-4835-bb3c-204de3005c58		WY State Auditor	State Auditor			2027-01-07		2019-01-07		2026-11-03		Kristi_Racines					https://sao.wyo.gov/wp-content/uploads/2022/02/Kristibluejacket_resize_web.png		saoadmin@wyo.gov	122 W. 25th Street, Suite E400 Cheyenne, WY 82002	(307) 777-7831	https://sao.wyo.gov/			e1230378-90e9-4051-981d-0d07a37894ad	Kristi Racines	Republican Party	Republican Party
WY	administrativeArea1	governmentOfficer	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	1dc5c9b7-e407-4427-ad6b-56daa42a836a		WY State Superintendent of Public Instruction	State Public Education Commissioner			2027-01-07		2023-01-10		2026-11-03		Megan_Degenfelder					https://edu.wyoming.gov/wp-content/uploads/2023/01/MDegenfelder.jpg-1025x1536.jpg		askthesuperintendent@wyo.gov	122 W. 25th St, Ste E200 Cheyenne, WY 82002	(307) 777-7675	https://edu.wyoming.gov/			42ec8423-aa67-45a2-8ceb-9000f7cc0fb5	Megan Degenfelder	Republican Party	Republican Party
WY	administrativeArea1	highestCourtJudge	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	aacccc51-e8bb-45ec-b35f-77b807d61152		WY State Supreme Court Justice	State Supreme Court Justice	WY Supreme Court		2027-01-04		2025-05-28		2026-11-03		Bridget_Hill_(politician)					https://www.wyocourts.gov/app/uploads/2025/01/Justice-Bridget-Hill-scaled-e1751407581719.jpg			2301 Capitol Ave, Cheyenne, WY 82001	(307) 777-7316	https://www.wyocourts.gov/supreme-court/			954df5c8-6976-42b1-a40e-6f3a547354e6	Bridget Hill	Nonpartisan	Nonpartisan
WY	administrativeArea1	highestCourtJudge	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	7046281b-7437-4d9f-87e9-bf69a1cae2a1		WY State Supreme Court Justice	State Supreme Court Justice	WY Supreme Court		2029-01-01		2018-02-20		2028-11-07		Lynne_J._Boomgaarden					https://www.wyocourts.gov/app/uploads/2025/01/082ef11348e53e2515cf308957811ac0.png			2301 Capitol Ave, Cheyenne, WY 82001	(307) 777-7316	https://www.wyocourts.gov/supreme-court/			967bc738-cd14-4fe6-a849-f4339cfa0ab7	Lynne Boomgaarden	Nonpartisan	Nonpartisan
WY	administrativeArea1	highestCourtJudge	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	1dcbafda-df84-4de4-b238-8cd973929840		WY State Supreme Court Justice	State Supreme Court Justice	WY Supreme Court		2027-01-04		2024-03-27		2026-11-03		Robert_Jarosh					https://www.wyocourts.gov/app/uploads/2025/01/effe936b5e076a0718f3a992ac88ef03.png			2301 Capitol Ave, Cheyenne, WY 82001	(307) 777-7316	https://www.wyocourts.gov/supreme-court/			5cae2e80-dc3d-4501-b169-8cfacdf1231f	Robert C. Jarosh	Nonpartisan	Nonpartisan
WY	administrativeArea1	highestCourtJudge	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	cb021b10-cc14-40ee-96be-b93ed89616c9		WY State Supreme Court Justice	State Supreme Court Justice	WY Supreme Court		2033-01-03		2022-01-17		2032-11-02		John_G._Fenn					https://www.wyocourts.gov/app/uploads/2025/01/415f98756ffedec1eb23f20ba195a580.png			2301 Capitol Ave, Cheyenne, WY 82001	(307) 777-7316	https://www.wyocourts.gov/supreme-court/			1240f31e-2e31-4480-944c-39ef16eb6335	John G. Fenn	Nonpartisan	Nonpartisan
WY	administrativeArea1	highestCourtJudge	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	b8c6646c-ff61-492d-bc77-4b8380cb7f30		WY State Supreme Court Justice	State Supreme Court Justice	WY Supreme Court		2029-01-01		2018-10-09		2028-11-07		Kari_Jo_Gray					https://www.wyocourts.gov/app/uploads/2025/01/5ea31bf2b857b74948458ec2cd800e92.png			2301 Capitol Ave, Cheyenne, WY 82001	(307) 777-7316	https://www.wyocourts.gov/supreme-court/			449893c3-d974-4474-88c2-666c9e0fbaa1	Kari Gray	Nonpartisan	Nonpartisan
WY	administrativeArea1	governmentOfficer	Wyoming	ocd-division/country:us/state:wy	Wyoming	ocd-division/country:us/state:wy	28f7212c-1d58-40c1-b8a0-819fc9cc8310		WY State Treasurer	State Treasurer			2027-01-07		2019-01-07		2026-11-03	1953-01-01	Curt_Meier					https://statetreasurer.wyo.gov/wp-content/uploads/2019/10/Treasurer_Meier.jpg		treasurer@wyo.gov	122 W 25th St, Ste E300, Cheyenne, WY 82002	(307) 777-7408	https://statetreasurer.wyo.gov/			7ddc5a3b-8546-4205-af21-3e914e29c8ce	Curtis E. Meier, Jr.	Republican Party	Republican Party
WY	administrativeArea1	legislatorLowerBody	Wyoming	ocd-division/country:us/state:wy	Wyoming State House district 1	ocd-division/country:us/state:wy/sldl:1	fcce072a-23e7-4aea-851d-1e572bdfb307	District 1	WY State Representative	State Representative	WY State House		2027-01-04		2021-01-12		2026-11-03		Chip_Neiman				https://www.facebook.com/ChipNeimanWY/	https://wyoleg.gov/LegislatorSummary/Photos/68th-NeimanChip.jpg		chip.neiman@wyoleg.gov	200 W. 24th Street, Cheyenne, WY 82002	(307) 777-7881	https://www.wyoleg.gov/Legislators/2025/H/2070			04beb863-ec25-47f8-8d49-dc7ce54c0fd4	Chip Neiman	Republican Party	Republican Party
WY	administrativeArea1	legislatorLowerBody	Wyoming	ocd-division/country:us/state:wy	Wyoming State House district 10	ocd-division/country:us/state:wy/sldl:10	f0b38319-fc02-4d98-b2da-c35649af9883	District 10	WY State Representative	State Representative	WY State House		2027-01-04		2011-01-11		2026-11-03		John_Eklund_Jr.					https://wyoleg.gov/LegislatorSummary/Photos/68th-EklundJohn.jpg		john.eklund@wyoleg.gov	200 W. 24th Street, Cheyenne, WY 82002	(307) 777-7881	https://www.wyoleg.gov/Legislators/2025/H/1978			ad7ca18d-a0b9-441a-9d41-7ec7d350d723	John Eklund	Republican Party	Republican Party
WY	administrativeArea1	legislatorLowerBody	Wyoming	ocd-division/country:us/state:wy	Wyoming State House district 11	ocd-division/country:us/state:wy/sldl:11	5b798367-8151-4557-aef6-f9263e0493d8	District 11	WY State Representative	State Representative	WY State House		2027-01-04		2025-01-06		2026-11-03							https://wyoleg.gov/LegislatorSummary/Photos/68th-WasserburgerJacob.jpg		jacob.wasserburger@wyoleg.gov	200 W. 24th Street, Cheyenne, WY 82002	(307) 777-7881	https://www.wyoleg.gov/Legislators/2025/H/2139			8d248652-aadb-4e17-b282-c82d1dc8b662	Jacob Wasserburger	Republican Party	Republican Party
WY	administrativeArea1	legislatorLowerBody	Wyoming	ocd-division/country:us/state:wy	Wyoming State House district 12	ocd-division/country:us/state:wy/sldl:12	6dbdc779-3f99-47d1-913e-561916d37bf2	District 12	WY State Representative	State Representative	WY State House		2027-01-04		2018-09-21		2026-11-03		Clarence_Styvar				https://www.facebook.com/ClarenceStyvar1	https://wyoleg.gov/LegislatorSummary/Photos/68th-StyvarClarence.jpg		clarence.styvar@wyoleg.gov	200 W. 24th Street, Cheyenne, WY 82002	(307) 777-7881	https://www.wyoleg.gov/Legislators/2025/H/2051			0cb034a2-3607-41d3-83f3-a63b451afb80	Clarence Styvar	Republican Party	Republican Party
